|dates|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Neshoba_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|4.0|0|0.0|0|0.0|0
0|2020-03-31|4.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|4.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|6.0|0|0.0|0|0.0|0
0|2020-04-05|9.0|0|0.0|0|0.0|0
0|2020-04-06|11.0|0|0.0|0|0.0|0
0|2020-04-07|12.0|0|0.0|0|0.0|0
0|2020-04-08|13.0|0|0.0|0|0.0|0
0|2020-04-09|17.0|0|0.0|0|0.0|0
0|2020-04-10|21.0|0|0.0|0|0.0|0
0|2020-04-11|26.0|0|0.0|0|0.0|0
0|2020-04-12|31.0|0|0.0|0|0.0|0
0|2020-04-13|34.0|0|0.0|0|0.0|0
0|2020-04-14|33.0|0|1.0|0|0.0|0
0|2020-04-15|35.0|0|1.0|0|0.0|0
0|2020-04-16|39.0|0|1.0|0|0.0|0
0|2020-04-17|46.0|0|1.0|0|0.0|0
0|2020-04-18|55.0|0|1.0|0|0.0|0
0|2020-04-19|65.0|0|2.0|0|0.0|0
0|2020-04-20|73.0|0|2.0|0|0.0|0
0|2020-04-21|82.0|0|2.0|0|0.0|0
0|2020-04-22|91.0|0|2.0|0|0.0|0
0|2020-04-23|102.0|0|2.0|0|0.0|0
0|2020-04-24|116.0|0|2.0|0|0.0|0
0|2020-04-25|119.0|0|2.0|0|0.0|0
0|2020-04-26|153.0|0|3.0|0|0.0|0
0|2020-04-27|156.0|0|3.0|0|0.0|0
0|2020-04-28|169.0|0|3.0|0|0.0|0
0|2020-04-29|174.0|0|3.0|0|0.0|0
0|2020-04-30|187.0|0|3.0|0|0.0|0
0|2020-05-01|205.0|0|4.0|0|0.0|0
0|2020-05-02|212.0|0|4.0|0|0.0|0
0|2020-05-03|214.0|0|4.0|0|0.0|0
0|2020-05-04|222.0|0|4.0|0|0.0|0
0|2020-05-05|243.0|0|10.0|0|0.0|0
0|2020-05-06|254.0|0|11.0|0|0.0|0
0|2020-05-07|261.0|0|11.0|0|0.0|0
0|2020-05-08|287.0|0|12.0|0|0.0|0
0|2020-05-09|307.0|0|13.0|0|0.0|0
0|2020-05-10|315.0|0|14.0|0|0.0|0
0|2020-05-11|315.0|0|14.0|0|0.0|0
0|2020-05-12|326.0|0|16.0|0|0.0|0
0|2020-05-13|338.0|0|16.0|0|0.0|0
