|dates|Jones_SouthDakota_UnitedStates.JHU_ConfirmedCases.data|Jones_SouthDakota_UnitedStates.JHU_ConfirmedCases.missing|Jones_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.data|Jones_SouthDakota_UnitedStates.JHU_ConfirmedDeaths.missing|Jones_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.data|Jones_SouthDakota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|8.0|0|1.0|0|0.0|0
0|2020-03-12|7.0|0|1.0|0|0.0|0
0|2020-03-13|8.0|0|1.0|0|0.0|0
0|2020-03-14|8.0|0|1.0|0|0.0|0
0|2020-03-15|8.0|0|1.0|0|0.0|0
0|2020-03-16|10.0|0|1.0|0|0.0|0
0|2020-03-17|11.0|0|1.0|0|0.0|0
0|2020-03-18|11.0|0|1.0|0|0.0|0
0|2020-03-19|14.0|0|1.0|0|0.0|0
0|2020-03-20|14.0|0|1.0|0|0.0|0
0|2020-03-21|14.0|0|1.0|0|0.0|0
0|2020-03-22|21.0|0|1.0|0|0.0|0
0|2020-03-23|28.0|0|1.0|0|0.0|0
0|2020-03-24|30.0|0|1.0|0|0.0|0
0|2020-03-25|41.0|0|1.0|0|0.0|0
0|2020-03-26|46.0|0|1.0|0|0.0|0
0|2020-03-27|58.0|0|1.0|0|0.0|0
0|2020-03-28|68.0|0|1.0|0|0.0|0
0|2020-03-29|90.0|0|1.0|0|0.0|0
0|2020-03-30|101.0|0|1.0|0|0.0|0
0|2020-03-31|108.0|0|1.0|0|0.0|0
0|2020-04-01|129.0|0|2.0|0|0.0|0
0|2020-04-02|165.0|0|2.0|0|0.0|0
0|2020-04-03|187.0|0|2.0|0|0.0|0
0|2020-04-04|212.0|0|2.0|0|0.0|0
0|2020-04-05|240.0|0|2.0|0|0.0|0
0|2020-04-06|288.0|0|4.0|0|0.0|0
0|2020-04-07|320.0|0|6.0|0|0.0|0
0|2020-04-08|393.0|0|6.0|0|0.0|0
0|2020-04-09|447.0|0|6.0|0|0.0|0
0|2020-04-10|536.0|0|6.0|0|0.0|0
0|2020-04-11|626.0|0|6.0|0|0.0|0
0|2020-04-12|730.0|0|6.0|0|0.0|0
0|2020-04-13|868.0|0|6.0|0|0.0|0
0|2020-04-14|988.0|0|6.0|0|0.0|0
0|2020-04-15|1168.0|0|6.0|0|0.0|0
0|2020-04-16|1311.0|0|7.0|0|0.0|0
0|2020-04-17|1411.0|0|7.0|0|0.0|0
0|2020-04-18|1542.0|0|7.0|0|0.0|0
0|2020-04-19|1635.0|0|7.0|0|0.0|0
0|2020-04-20|1685.0|0|7.0|0|0.0|0
0|2020-04-21|1755.0|0|8.0|0|0.0|0
0|2020-04-22|1858.0|0|9.0|0|0.0|0
0|2020-04-23|1956.0|0|9.0|0|0.0|0
0|2020-04-24|2040.0|0|10.0|0|0.0|0
0|2020-04-25|2147.0|0|10.0|0|0.0|0
0|2020-04-26|2212.0|0|11.0|0|0.0|0
0|2020-04-27|2244.0|0|11.0|0|0.0|0
0|2020-04-28|2313.0|0|11.0|0|0.0|0
0|2020-04-29|2373.0|0|13.0|0|0.0|0
0|2020-04-30|2449.0|0|17.0|0|0.0|0
0|2020-05-01|2525.0|0|21.0|0|0.0|0
0|2020-05-02|2588.0|0|21.0|0|0.0|0
0|2020-05-03|2631.0|0|21.0|0|0.0|0
0|2020-05-04|2668.0|0|21.0|0|0.0|0
0|2020-05-05|2721.0|0|24.0|0|0.0|0
0|2020-05-06|2721.0|0|24.0|0|0.0|0
0|2020-05-07|2721.0|0|24.0|0|0.0|0
0|2020-05-08|2721.0|0|24.0|0|0.0|0
0|2020-05-09|2721.0|0|24.0|0|0.0|0
0|2020-05-10|2721.0|0|24.0|0|0.0|0
0|2020-05-11|2721.0|0|24.0|0|0.0|0
0|2020-05-12|2721.0|0|24.0|0|0.0|0
0|2020-05-13|2721.0|0|24.0|0|0.0|0
