|dates|St.James_Louisiana_UnitedStates.JHU_ConfirmedCases.data|St.James_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|St.James_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|St.James_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.James_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.James_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|1.0|0|0.0|0
0|2020-03-20|1.0|0|1.0|0|0.0|0
0|2020-03-21|1.0|0|1.0|0|0.0|0
0|2020-03-22|1.0|0|1.0|0|0.0|0
0|2020-03-23|8.0|0|1.0|0|0.0|0
0|2020-03-24|9.0|0|1.0|0|0.0|0
0|2020-03-25|14.0|0|1.0|0|0.0|0
0|2020-03-26|29.0|0|1.0|0|0.0|0
0|2020-03-27|40.0|0|3.0|0|0.0|0
0|2020-03-28|48.0|0|3.0|0|0.0|0
0|2020-03-29|55.0|0|3.0|0|0.0|0
0|2020-03-30|65.0|0|3.0|0|0.0|0
0|2020-03-31|77.0|0|4.0|0|0.0|0
0|2020-04-01|86.0|0|4.0|0|0.0|0
0|2020-04-02|110.0|0|4.0|0|0.0|0
0|2020-04-03|116.0|0|4.0|0|0.0|0
0|2020-04-04|150.0|0|6.0|0|0.0|0
0|2020-04-05|155.0|0|6.0|0|0.0|0
0|2020-04-06|167.0|0|6.0|0|0.0|0
0|2020-04-07|176.0|0|6.0|0|0.0|0
0|2020-04-08|181.0|0|7.0|0|0.0|0
0|2020-04-09|191.0|0|7.0|0|0.0|0
0|2020-04-10|194.0|0|9.0|0|0.0|0
0|2020-04-11|197.0|0|9.0|0|0.0|0
0|2020-04-12|204.0|0|10.0|0|0.0|0
0|2020-04-13|207.0|0|11.0|0|0.0|0
0|2020-04-14|208.0|0|13.0|0|0.0|0
0|2020-04-15|210.0|0|13.0|0|0.0|0
0|2020-04-16|214.0|0|14.0|0|0.0|0
0|2020-04-17|216.0|0|14.0|0|0.0|0
0|2020-04-18|217.0|0|14.0|0|0.0|0
0|2020-04-19|218.0|0|15.0|0|0.0|0
0|2020-04-20|222.0|0|15.0|0|0.0|0
0|2020-04-21|228.0|0|16.0|0|0.0|0
0|2020-04-22|231.0|0|18.0|0|0.0|0
0|2020-04-23|235.0|0|17.0|0|0.0|0
0|2020-04-24|237.0|0|19.0|0|0.0|0
0|2020-04-25|237.0|0|18.0|0|0.0|0
0|2020-04-26|239.0|0|18.0|0|0.0|0
0|2020-04-27|239.0|0|18.0|0|0.0|0
0|2020-04-28|240.0|0|19.0|0|0.0|0
0|2020-04-29|243.0|0|19.0|0|0.0|0
0|2020-04-30|246.0|0|19.0|0|0.0|0
0|2020-05-01|247.0|0|19.0|0|0.0|0
0|2020-05-02|247.0|0|19.0|0|0.0|0
0|2020-05-03|250.0|0|20.0|0|0.0|0
0|2020-05-04|253.0|0|20.0|0|0.0|0
0|2020-05-05|254.0|0|20.0|0|0.0|0
0|2020-05-06|256.0|0|20.0|0|0.0|0
0|2020-05-07|256.0|0|20.0|0|0.0|0
0|2020-05-08|257.0|0|20.0|0|0.0|0
0|2020-05-09|257.0|0|20.0|0|0.0|0
0|2020-05-10|257.0|0|20.0|0|0.0|0
0|2020-05-11|257.0|0|20.0|0|0.0|0
0|2020-05-12|256.0|0|20.0|0|0.0|0
0|2020-05-13|268.0|0|22.0|0|0.0|0
