|dates|Manassas_Virginia_UnitedStates.JHU_ConfirmedCases.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Manassas_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Manassas_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Manassas_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|0.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|7.0|0|0.0|0|0.0|0
0|2020-03-31|8.0|0|0.0|0|0.0|0
0|2020-04-01|9.0|0|0.0|0|0.0|0
0|2020-04-02|12.0|0|0.0|0|0.0|0
0|2020-04-03|13.0|0|0.0|0|0.0|0
0|2020-04-04|14.0|0|0.0|0|0.0|0
0|2020-04-05|14.0|0|0.0|0|0.0|0
0|2020-04-06|17.0|0|0.0|0|0.0|0
0|2020-04-07|20.0|0|0.0|0|0.0|0
0|2020-04-08|20.0|0|0.0|0|0.0|0
0|2020-04-09|25.0|0|0.0|0|0.0|0
0|2020-04-10|29.0|0|0.0|0|0.0|0
0|2020-04-11|34.0|0|0.0|0|0.0|0
0|2020-04-12|34.0|0|0.0|0|0.0|0
0|2020-04-13|41.0|0|0.0|0|0.0|0
0|2020-04-14|49.0|0|0.0|0|0.0|0
0|2020-04-15|53.0|0|0.0|0|0.0|0
0|2020-04-16|62.0|0|0.0|0|0.0|0
0|2020-04-17|72.0|0|0.0|0|0.0|0
0|2020-04-18|82.0|0|0.0|0|0.0|0
0|2020-04-19|93.0|0|0.0|0|0.0|0
0|2020-04-20|96.0|0|0.0|0|0.0|0
0|2020-04-21|110.0|0|0.0|0|0.0|0
0|2020-04-22|117.0|0|0.0|0|0.0|0
0|2020-04-23|127.0|0|1.0|0|0.0|0
0|2020-04-24|137.0|0|1.0|0|0.0|0
0|2020-04-25|154.0|0|1.0|0|0.0|0
0|2020-04-26|158.0|0|2.0|0|0.0|0
0|2020-04-27|165.0|0|2.0|0|0.0|0
0|2020-04-28|175.0|0|2.0|0|0.0|0
0|2020-04-29|196.0|0|3.0|0|0.0|0
0|2020-04-30|216.0|0|2.0|0|0.0|0
0|2020-05-01|222.0|0|2.0|0|0.0|0
0|2020-05-02|258.0|0|2.0|0|0.0|0
0|2020-05-03|266.0|0|1.0|0|0.0|0
0|2020-05-04|273.0|0|1.0|0|0.0|0
0|2020-05-05|289.0|0|1.0|0|0.0|0
0|2020-05-06|289.0|0|1.0|0|0.0|0
0|2020-05-07|332.0|0|1.0|0|0.0|0
0|2020-05-08|355.0|0|2.0|0|0.0|0
0|2020-05-09|358.0|0|2.0|0|0.0|0
0|2020-05-10|381.0|0|2.0|0|0.0|0
0|2020-05-11|381.0|0|2.0|0|0.0|0
0|2020-05-12|430.0|0|3.0|0|0.0|0
0|2020-05-13|459.0|0|4.0|0|0.0|0
