|dates|Frederick_Maryland_UnitedStates.JHU_ConfirmedCases.data|Frederick_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Frederick_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Frederick_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Frederick_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Frederick_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|14.0|0|0.0|0|0.0|0
0|2020-03-27|15.0|0|0.0|0|0.0|0
0|2020-03-28|22.0|0|0.0|0|0.0|0
0|2020-03-29|24.0|0|0.0|0|0.0|0
0|2020-03-30|26.0|0|0.0|0|0.0|0
0|2020-03-31|33.0|0|0.0|0|0.0|0
0|2020-04-01|35.0|0|1.0|0|0.0|0
0|2020-04-02|45.0|0|3.0|0|0.0|0
0|2020-04-03|54.0|0|3.0|0|0.0|0
0|2020-04-04|73.0|0|3.0|0|0.0|0
0|2020-04-05|120.0|0|3.0|0|0.0|0
0|2020-04-06|138.0|0|4.0|0|0.0|0
0|2020-04-07|151.0|0|4.0|0|0.0|0
0|2020-04-08|199.0|0|4.0|0|0.0|0
0|2020-04-09|233.0|0|4.0|0|0.0|0
0|2020-04-10|289.0|0|9.0|0|0.0|0
0|2020-04-11|341.0|0|11.0|0|0.0|0
0|2020-04-12|368.0|0|12.0|0|0.0|0
0|2020-04-13|417.0|0|12.0|0|0.0|0
0|2020-04-14|441.0|0|14.0|0|0.0|0
0|2020-04-15|442.0|0|20.0|0|0.0|0
0|2020-04-16|497.0|0|22.0|0|0.0|0
0|2020-04-17|525.0|0|23.0|0|0.0|0
0|2020-04-18|557.0|0|31.0|0|0.0|0
0|2020-04-19|591.0|0|30.0|0|0.0|0
0|2020-04-20|616.0|0|30.0|0|0.0|0
0|2020-04-21|632.0|0|33.0|0|0.0|0
0|2020-04-22|658.0|0|35.0|0|0.0|0
0|2020-04-23|690.0|0|36.0|0|0.0|0
0|2020-04-24|690.0|0|36.0|0|0.0|0
0|2020-04-25|814.0|0|45.0|0|0.0|0
0|2020-04-26|834.0|0|45.0|0|0.0|0
0|2020-04-27|865.0|0|48.0|0|0.0|0
0|2020-04-28|870.0|0|48.0|0|0.0|0
0|2020-04-29|893.0|0|51.0|0|0.0|0
0|2020-04-30|918.0|0|56.0|0|0.0|0
0|2020-05-01|942.0|0|56.0|0|0.0|0
0|2020-05-02|976.0|0|59.0|0|0.0|0
0|2020-05-03|1004.0|0|61.0|0|0.0|0
0|2020-05-04|1038.0|0|62.0|0|0.0|0
0|2020-05-05|1071.0|0|66.0|0|0.0|0
0|2020-05-06|1108.0|0|68.0|0|0.0|0
0|2020-05-07|1151.0|0|70.0|0|0.0|0
0|2020-05-08|1182.0|0|70.0|0|0.0|0
0|2020-05-09|1213.0|0|72.0|0|0.0|0
0|2020-05-10|1251.0|0|74.0|0|0.0|0
0|2020-05-11|1251.0|0|74.0|0|0.0|0
0|2020-05-12|1282.0|0|77.0|0|0.0|0
0|2020-05-13|1302.0|0|80.0|0|0.0|0
