|dates|Custer_Montana_UnitedStates.JHU_ConfirmedCases.data|Custer_Montana_UnitedStates.JHU_ConfirmedCases.missing|Custer_Montana_UnitedStates.JHU_ConfirmedDeaths.data|Custer_Montana_UnitedStates.JHU_ConfirmedDeaths.missing|Custer_Montana_UnitedStates.JHU_ConfirmedRecoveries.data|Custer_Montana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|5.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|6.0|0|0.0|0|0.0|0
0|2020-03-17|8.0|0|0.0|0|0.0|0
0|2020-03-18|10.0|0|0.0|0|0.0|0
0|2020-03-19|11.0|0|0.0|0|0.0|0
0|2020-03-20|20.0|0|0.0|0|0.0|0
0|2020-03-21|27.0|0|0.0|0|0.0|0
0|2020-03-22|34.0|0|0.0|0|0.0|0
0|2020-03-23|34.0|0|0.0|0|0.0|0
0|2020-03-24|51.0|0|0.0|0|0.0|0
0|2020-03-25|71.0|0|0.0|0|0.0|0
0|2020-03-26|96.0|0|0.0|0|0.0|0
0|2020-03-27|109.0|0|1.0|0|0.0|0
0|2020-03-28|129.0|0|1.0|0|0.0|0
0|2020-03-29|154.0|0|1.0|0|0.0|0
0|2020-03-30|171.0|0|5.0|0|0.0|0
0|2020-03-31|198.0|0|5.0|0|0.0|0
0|2020-04-01|208.0|0|6.0|0|0.0|0
0|2020-04-02|241.0|0|6.0|0|0.0|0
0|2020-04-03|243.0|0|5.0|0|0.0|0
0|2020-04-04|265.0|0|6.0|0|0.0|0
0|2020-04-05|286.0|0|6.0|0|0.0|0
0|2020-04-06|299.0|0|6.0|0|0.0|0
0|2020-04-07|319.0|0|6.0|0|0.0|0
0|2020-04-08|332.0|0|6.0|0|0.0|0
0|2020-04-09|354.0|0|6.0|0|0.0|0
0|2020-04-10|365.0|0|6.0|0|0.0|0
0|2020-04-11|377.0|0|6.0|0|0.0|0
0|2020-04-12|387.0|0|6.0|0|0.0|0
0|2020-04-13|394.0|0|7.0|0|0.0|0
0|2020-04-14|399.0|0|7.0|0|0.0|0
0|2020-04-15|404.0|0|7.0|0|0.0|0
0|2020-04-16|415.0|0|7.0|0|0.0|0
0|2020-04-17|422.0|0|8.0|0|0.0|0
0|2020-04-18|426.0|0|10.0|0|0.0|0
0|2020-04-19|433.0|0|10.0|0|0.0|0
0|2020-04-20|433.0|0|10.0|0|0.0|0
0|2020-04-21|437.0|0|12.0|0|0.0|0
0|2020-04-22|439.0|0|14.0|0|0.0|0
0|2020-04-23|442.0|0|14.0|0|0.0|0
0|2020-04-24|444.0|0|14.0|0|0.0|0
0|2020-04-25|445.0|0|14.0|0|0.0|0
0|2020-04-26|448.0|0|14.0|0|0.0|0
0|2020-04-27|449.0|0|14.0|0|0.0|0
0|2020-04-28|451.0|0|15.0|0|0.0|0
0|2020-04-29|451.0|0|16.0|0|0.0|0
0|2020-04-30|453.0|0|16.0|0|0.0|0
0|2020-05-01|453.0|0|16.0|0|0.0|0
0|2020-05-02|455.0|0|16.0|0|0.0|0
0|2020-05-03|455.0|0|16.0|0|0.0|0
0|2020-05-04|457.0|0|16.0|0|0.0|0
0|2020-05-05|456.0|0|16.0|0|0.0|0
0|2020-05-06|456.0|0|16.0|0|0.0|0
0|2020-05-07|456.0|0|16.0|0|0.0|0
0|2020-05-08|456.0|0|16.0|0|0.0|0
0|2020-05-09|456.0|0|16.0|0|0.0|0
0|2020-05-10|456.0|0|16.0|0|0.0|0
0|2020-05-11|456.0|0|16.0|0|0.0|0
0|2020-05-12|456.0|0|16.0|0|0.0|0
0|2020-05-13|456.0|0|16.0|0|0.0|0
