|dates|Madison_Illinois_UnitedStates.JHU_ConfirmedCases.data|Madison_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Madison_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Madison_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Madison_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Madison_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|10.0|0|0.0|0|0.0|0
0|2020-03-29|12.0|0|0.0|0|0.0|0
0|2020-03-30|13.0|0|0.0|0|0.0|0
0|2020-03-31|16.0|0|0.0|0|0.0|0
0|2020-04-01|25.0|0|0.0|0|0.0|0
0|2020-04-02|29.0|0|0.0|0|0.0|0
0|2020-04-03|31.0|0|0.0|0|0.0|0
0|2020-04-04|47.0|0|0.0|0|0.0|0
0|2020-04-05|48.0|0|0.0|0|0.0|0
0|2020-04-06|52.0|0|0.0|0|0.0|0
0|2020-04-07|52.0|0|0.0|0|0.0|0
0|2020-04-08|82.0|0|2.0|0|0.0|0
0|2020-04-09|82.0|0|2.0|0|0.0|0
0|2020-04-10|101.0|0|2.0|0|0.0|0
0|2020-04-11|103.0|0|2.0|0|0.0|0
0|2020-04-12|110.0|0|2.0|0|0.0|0
0|2020-04-13|115.0|0|2.0|0|0.0|0
0|2020-04-14|128.0|0|2.0|0|0.0|0
0|2020-04-15|135.0|0|2.0|0|0.0|0
0|2020-04-16|151.0|0|3.0|0|0.0|0
0|2020-04-17|157.0|0|5.0|0|0.0|0
0|2020-04-18|169.0|0|5.0|0|0.0|0
0|2020-04-19|180.0|0|6.0|0|0.0|0
0|2020-04-20|184.0|0|8.0|0|0.0|0
0|2020-04-21|190.0|0|10.0|0|0.0|0
0|2020-04-22|226.0|0|13.0|0|0.0|0
0|2020-04-23|235.0|0|13.0|0|0.0|0
0|2020-04-24|268.0|0|15.0|0|0.0|0
0|2020-04-25|280.0|0|16.0|0|0.0|0
0|2020-04-26|305.0|0|16.0|0|0.0|0
0|2020-04-27|306.0|0|17.0|0|0.0|0
0|2020-04-28|318.0|0|18.0|0|0.0|0
0|2020-04-29|324.0|0|19.0|0|0.0|0
0|2020-04-30|333.0|0|21.0|0|0.0|0
0|2020-05-01|335.0|0|22.0|0|0.0|0
0|2020-05-02|337.0|0|22.0|0|0.0|0
0|2020-05-03|365.0|0|24.0|0|0.0|0
0|2020-05-04|365.0|0|26.0|0|0.0|0
0|2020-05-05|369.0|0|27.0|0|0.0|0
0|2020-05-06|374.0|0|28.0|0|0.0|0
0|2020-05-07|396.0|0|28.0|0|0.0|0
0|2020-05-08|401.0|0|30.0|0|0.0|0
0|2020-05-09|414.0|0|31.0|0|0.0|0
0|2020-05-10|427.0|0|31.0|0|0.0|0
0|2020-05-11|427.0|0|31.0|0|0.0|0
0|2020-05-12|445.0|0|32.0|0|0.0|0
0|2020-05-13|449.0|0|35.0|0|0.0|0
