|dates|Kendall_Illinois_UnitedStates.JHU_ConfirmedCases.data|Kendall_Illinois_UnitedStates.JHU_ConfirmedCases.missing|Kendall_Illinois_UnitedStates.JHU_ConfirmedDeaths.data|Kendall_Illinois_UnitedStates.JHU_ConfirmedDeaths.missing|Kendall_Illinois_UnitedStates.JHU_ConfirmedRecoveries.data|Kendall_Illinois_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|11.0|0|0.0|0|0.0|0
0|2020-03-29|15.0|0|1.0|0|0.0|0
0|2020-03-30|18.0|0|2.0|0|0.0|0
0|2020-03-31|19.0|0|2.0|0|0.0|0
0|2020-04-01|27.0|0|2.0|0|0.0|0
0|2020-04-02|36.0|0|2.0|0|0.0|0
0|2020-04-03|37.0|0|2.0|0|0.0|0
0|2020-04-04|47.0|0|2.0|0|0.0|0
0|2020-04-05|49.0|0|2.0|0|0.0|0
0|2020-04-06|55.0|0|2.0|0|0.0|0
0|2020-04-07|55.0|0|2.0|0|0.0|0
0|2020-04-08|79.0|0|2.0|0|0.0|0
0|2020-04-09|79.0|0|2.0|0|0.0|0
0|2020-04-10|92.0|0|2.0|0|0.0|0
0|2020-04-11|103.0|0|2.0|0|0.0|0
0|2020-04-12|105.0|0|2.0|0|0.0|0
0|2020-04-13|114.0|0|2.0|0|0.0|0
0|2020-04-14|114.0|0|2.0|0|0.0|0
0|2020-04-15|116.0|0|2.0|0|0.0|0
0|2020-04-16|119.0|0|2.0|0|0.0|0
0|2020-04-17|123.0|0|2.0|0|0.0|0
0|2020-04-18|135.0|0|3.0|0|0.0|0
0|2020-04-19|135.0|0|3.0|0|0.0|0
0|2020-04-20|138.0|0|3.0|0|0.0|0
0|2020-04-21|146.0|0|3.0|0|0.0|0
0|2020-04-22|157.0|0|4.0|0|0.0|0
0|2020-04-23|171.0|0|5.0|0|0.0|0
0|2020-04-24|191.0|0|5.0|0|0.0|0
0|2020-04-25|203.0|0|5.0|0|0.0|0
0|2020-04-26|208.0|0|5.0|0|0.0|0
0|2020-04-27|218.0|0|5.0|0|0.0|0
0|2020-04-28|235.0|0|5.0|0|0.0|0
0|2020-04-29|255.0|0|7.0|0|0.0|0
0|2020-04-30|266.0|0|7.0|0|0.0|0
0|2020-05-01|281.0|0|7.0|0|0.0|0
0|2020-05-02|291.0|0|6.0|0|0.0|0
0|2020-05-03|305.0|0|6.0|0|0.0|0
0|2020-05-04|326.0|0|6.0|0|0.0|0
0|2020-05-05|334.0|0|9.0|0|0.0|0
0|2020-05-06|346.0|0|10.0|0|0.0|0
0|2020-05-07|363.0|0|10.0|0|0.0|0
0|2020-05-08|373.0|0|10.0|0|0.0|0
0|2020-05-09|388.0|0|12.0|0|0.0|0
0|2020-05-10|421.0|0|12.0|0|0.0|0
0|2020-05-11|421.0|0|12.0|0|0.0|0
0|2020-05-12|477.0|0|15.0|0|0.0|0
0|2020-05-13|496.0|0|15.0|0|0.0|0
