|dates|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Bucks_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|2.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|5.0|0|0.0|0|0.0|0
0|2020-03-17|8.0|0|0.0|0|0.0|0
0|2020-03-18|9.0|0|0.0|0|0.0|0
0|2020-03-19|12.0|0|0.0|0|0.0|0
0|2020-03-20|24.0|0|0.0|0|0.0|0
0|2020-03-21|28.0|0|0.0|0|0.0|0
0|2020-03-22|34.0|0|0.0|0|0.0|0
0|2020-03-23|43.0|0|0.0|0|0.0|0
0|2020-03-24|69.0|0|0.0|0|0.0|0
0|2020-03-25|86.0|0|0.0|0|0.0|0
0|2020-03-26|110.0|0|0.0|0|0.0|0
0|2020-03-27|144.0|0|0.0|0|0.0|0
0|2020-03-28|152.0|0|0.0|0|0.0|0
0|2020-03-29|216.0|0|1.0|0|0.0|0
0|2020-03-30|249.0|0|4.0|0|0.0|0
0|2020-03-31|288.0|0|3.0|0|0.0|0
0|2020-04-01|319.0|0|6.0|0|0.0|0
0|2020-04-02|373.0|0|6.0|0|0.0|0
0|2020-04-03|450.0|0|8.0|0|0.0|0
0|2020-04-04|517.0|0|11.0|0|0.0|0
0|2020-04-05|580.0|0|14.0|0|0.0|0
0|2020-04-06|634.0|0|17.0|0|0.0|0
0|2020-04-07|713.0|0|21.0|0|0.0|0
0|2020-04-08|816.0|0|24.0|0|0.0|0
0|2020-04-09|931.0|0|25.0|0|0.0|0
0|2020-04-10|1022.0|0|28.0|0|0.0|0
0|2020-04-11|1107.0|0|32.0|0|0.0|0
0|2020-04-12|1170.0|0|35.0|0|0.0|0
0|2020-04-13|1229.0|0|38.0|0|0.0|0
0|2020-04-14|1273.0|0|41.0|0|0.0|0
0|2020-04-15|1399.0|0|52.0|0|0.0|0
0|2020-04-16|1490.0|0|60.0|0|0.0|0
0|2020-04-17|1546.0|0|67.0|0|0.0|0
0|2020-04-18|1689.0|0|75.0|0|0.0|0
0|2020-04-19|1797.0|0|84.0|0|0.0|0
0|2020-04-20|1886.0|0|90.0|0|0.0|0
0|2020-04-21|1977.0|0|116.0|0|0.0|0
0|2020-04-22|2067.0|0|126.0|0|0.0|0
0|2020-04-23|2321.0|0|126.0|0|0.0|0
0|2020-04-24|2469.0|0|135.0|0|0.0|0
0|2020-04-25|2541.0|0|141.0|0|0.0|0
0|2020-04-26|2541.0|0|141.0|0|0.0|0
0|2020-04-27|2585.0|0|148.0|0|0.0|0
0|2020-04-28|2675.0|0|168.0|0|0.0|0
0|2020-04-29|2776.0|0|185.0|0|0.0|0
0|2020-04-30|2907.0|0|205.0|0|0.0|0
0|2020-05-01|3070.0|0|225.0|0|0.0|0
0|2020-05-02|3182.0|0|237.0|0|0.0|0
0|2020-05-03|3286.0|0|240.0|0|0.0|0
0|2020-05-04|3356.0|0|240.0|0|0.0|0
0|2020-05-05|3505.0|0|280.0|0|0.0|0
0|2020-05-06|3508.0|0|304.0|0|0.0|0
0|2020-05-07|3613.0|0|320.0|0|0.0|0
0|2020-05-08|3750.0|0|331.0|0|0.0|0
0|2020-05-09|3852.0|0|336.0|0|0.0|0
0|2020-05-10|3966.0|0|341.0|0|0.0|0
0|2020-05-11|3966.0|0|341.0|0|0.0|0
0|2020-05-12|4116.0|0|364.0|0|0.0|0
0|2020-05-13|4166.0|0|373.0|0|0.0|0
