|dates|Hamilton_Ohio_UnitedStates.JHU_ConfirmedCases.data|Hamilton_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Hamilton_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Hamilton_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Hamilton_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Hamilton_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|7.0|0|0.0|0|0.0|0
0|2020-03-21|8.0|0|0.0|0|0.0|0
0|2020-03-22|19.0|0|0.0|0|0.0|0
0|2020-03-23|26.0|0|0.0|0|0.0|0
0|2020-03-24|38.0|0|0.0|0|0.0|0
0|2020-03-25|48.0|0|0.0|0|0.0|0
0|2020-03-26|53.0|0|0.0|0|0.0|0
0|2020-03-27|63.0|0|0.0|0|0.0|0
0|2020-03-28|71.0|0|0.0|0|0.0|0
0|2020-03-29|85.0|0|0.0|0|0.0|0
0|2020-03-30|101.0|0|0.0|0|0.0|0
0|2020-03-31|124.0|0|0.0|0|0.0|0
0|2020-04-01|154.0|0|0.0|0|0.0|0
0|2020-04-02|178.0|0|2.0|0|0.0|0
0|2020-04-03|203.0|0|2.0|0|0.0|0
0|2020-04-04|288.0|0|2.0|0|0.0|0
0|2020-04-05|319.0|0|3.0|0|0.0|0
0|2020-04-06|394.0|0|9.0|0|0.0|0
0|2020-04-07|411.0|0|12.0|0|0.0|0
0|2020-04-08|437.0|0|13.0|0|0.0|0
0|2020-04-09|473.0|0|14.0|0|0.0|0
0|2020-04-10|504.0|0|14.0|0|0.0|0
0|2020-04-11|529.0|0|17.0|0|0.0|0
0|2020-04-12|535.0|0|17.0|0|0.0|0
0|2020-04-13|558.0|0|21.0|0|0.0|0
0|2020-04-14|576.0|0|24.0|0|0.0|0
0|2020-04-15|594.0|0|27.0|0|0.0|0
0|2020-04-16|615.0|0|29.0|0|0.0|0
0|2020-04-17|658.0|0|30.0|0|0.0|0
0|2020-04-18|701.0|0|30.0|0|0.0|0
0|2020-04-19|718.0|0|33.0|0|0.0|0
0|2020-04-20|735.0|0|37.0|0|0.0|0
0|2020-04-21|768.0|0|39.0|0|0.0|0
0|2020-04-22|785.0|0|45.0|0|0.0|0
0|2020-04-23|868.0|0|47.0|0|0.0|0
0|2020-04-24|932.0|0|51.0|0|0.0|0
0|2020-04-25|975.0|0|54.0|0|0.0|0
0|2020-04-26|1005.0|0|56.0|0|0.0|0
0|2020-04-27|1048.0|0|56.0|0|0.0|0
0|2020-04-28|1091.0|0|58.0|0|0.0|0
0|2020-04-29|1150.0|0|68.0|0|0.0|0
0|2020-04-30|1218.0|0|71.0|0|0.0|0
0|2020-05-01|1297.0|0|75.0|0|0.0|0
0|2020-05-02|1353.0|0|78.0|0|0.0|0
0|2020-05-03|1380.0|0|80.0|0|0.0|0
0|2020-05-04|1434.0|0|80.0|0|0.0|0
0|2020-05-05|1480.0|0|83.0|0|0.0|0
0|2020-05-06|1527.0|0|93.0|0|0.0|0
0|2020-05-07|1572.0|0|93.0|0|0.0|0
0|2020-05-08|1664.0|0|100.0|0|0.0|0
0|2020-05-09|1731.0|0|99.0|0|0.0|0
0|2020-05-10|1757.0|0|101.0|0|0.0|0
0|2020-05-11|1757.0|0|101.0|0|0.0|0
0|2020-05-12|1859.0|0|102.0|0|0.0|0
0|2020-05-13|1886.0|0|105.0|0|0.0|0
