|dates|Rockingham_Virginia_UnitedStates.JHU_ConfirmedCases.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Rockingham_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Rockingham_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Rockingham_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|3.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|5.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|9.0|0|0.0|0|0.0|0
0|2020-04-02|11.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|15.0|0|0.0|0|0.0|0
0|2020-04-05|16.0|0|0.0|0|0.0|0
0|2020-04-06|15.0|0|0.0|0|0.0|0
0|2020-04-07|16.0|0|0.0|0|0.0|0
0|2020-04-08|20.0|0|0.0|0|0.0|0
0|2020-04-09|21.0|0|0.0|0|0.0|0
0|2020-04-10|31.0|0|0.0|0|0.0|0
0|2020-04-11|44.0|0|0.0|0|0.0|0
0|2020-04-12|43.0|0|0.0|0|0.0|0
0|2020-04-13|49.0|0|0.0|0|0.0|0
0|2020-04-14|56.0|0|0.0|0|0.0|0
0|2020-04-15|67.0|0|0.0|0|0.0|0
0|2020-04-16|69.0|0|0.0|0|0.0|0
0|2020-04-17|83.0|0|0.0|0|0.0|0
0|2020-04-18|100.0|0|0.0|0|0.0|0
0|2020-04-19|100.0|0|0.0|0|0.0|0
0|2020-04-20|106.0|0|0.0|0|0.0|0
0|2020-04-21|122.0|0|0.0|0|0.0|0
0|2020-04-22|145.0|0|1.0|0|0.0|0
0|2020-04-23|163.0|0|1.0|0|0.0|0
0|2020-04-24|176.0|0|1.0|0|0.0|0
0|2020-04-25|184.0|0|1.0|0|0.0|0
0|2020-04-26|184.0|0|1.0|0|0.0|0
0|2020-04-27|193.0|0|1.0|0|0.0|0
0|2020-04-28|216.0|0|1.0|0|0.0|0
0|2020-04-29|220.0|0|1.0|0|0.0|0
0|2020-04-30|240.0|0|1.0|0|0.0|0
0|2020-05-01|249.0|0|1.0|0|0.0|0
0|2020-05-02|259.0|0|1.0|0|0.0|0
0|2020-05-03|265.0|0|1.0|0|0.0|0
0|2020-05-04|269.0|0|1.0|0|0.0|0
0|2020-05-05|282.0|0|1.0|0|0.0|0
0|2020-05-06|282.0|0|1.0|0|0.0|0
0|2020-05-07|310.0|0|1.0|0|0.0|0
0|2020-05-08|320.0|0|1.0|0|0.0|0
0|2020-05-09|339.0|0|1.0|0|0.0|0
0|2020-05-10|344.0|0|2.0|0|0.0|0
0|2020-05-11|344.0|0|2.0|0|0.0|0
0|2020-05-12|364.0|0|2.0|0|0.0|0
0|2020-05-13|373.0|0|2.0|0|0.0|0
