|dates|Mercer_Missouri_UnitedStates.JHU_ConfirmedCases.data|Mercer_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Mercer_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Mercer_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Mercer_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Mercer_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|4.0|0|0.0|0|0.0|0
0|2020-03-14|4.0|0|0.0|0|0.0|0
0|2020-03-15|5.0|0|0.0|0|0.0|0
0|2020-03-16|6.0|0|0.0|0|0.0|0
0|2020-03-17|12.0|0|0.0|0|0.0|0
0|2020-03-18|18.0|0|1.0|0|0.0|0
0|2020-03-19|39.0|0|1.0|0|0.0|0
0|2020-03-20|73.0|0|3.0|0|0.0|0
0|2020-03-21|81.0|0|3.0|0|0.0|0
0|2020-03-22|99.0|0|3.0|0|0.0|0
0|2020-03-23|187.0|0|4.0|0|0.0|0
0|2020-03-24|257.0|0|7.0|0|0.0|0
0|2020-03-25|354.0|0|8.0|0|0.0|0
0|2020-03-26|520.0|0|9.0|0|0.0|0
0|2020-03-27|666.0|0|9.0|0|0.0|0
0|2020-03-28|836.0|0|10.0|0|0.0|0
0|2020-03-29|915.0|0|13.0|0|0.0|0
0|2020-03-30|1051.0|0|13.0|0|0.0|0
0|2020-03-31|1357.0|0|15.0|0|0.0|0
0|2020-04-01|1613.0|0|18.0|0|0.0|0
0|2020-04-02|1857.0|0|22.0|0|0.0|0
0|2020-04-03|1864.0|0|25.0|0|0.0|0
0|2020-04-04|2310.0|0|33.0|0|0.0|0
0|2020-04-05|2347.0|0|44.0|0|0.0|0
0|2020-04-06|2736.0|0|47.0|0|0.0|0
0|2020-04-07|3130.0|0|65.0|0|0.0|0
0|2020-04-08|3209.0|0|86.0|0|0.0|0
0|2020-04-09|3432.0|0|93.0|0|0.0|0
0|2020-04-10|3897.0|0|99.0|0|0.0|0
0|2020-04-11|4108.0|0|116.0|0|0.0|0
0|2020-04-12|4269.0|0|118.0|0|0.0|0
0|2020-04-13|4515.0|0|123.0|0|0.0|0
0|2020-04-14|4746.0|0|149.0|0|0.0|0
0|2020-04-15|4791.0|0|153.0|0|0.0|0
0|2020-04-16|5174.0|0|169.0|0|0.0|0
0|2020-04-17|5371.0|0|184.0|0|0.0|0
0|2020-04-18|5579.0|0|197.0|0|0.0|0
0|2020-04-19|5743.0|0|199.0|0|0.0|0
0|2020-04-20|5890.0|0|200.0|0|0.0|0
0|2020-04-21|6066.0|0|224.0|0|0.0|0
0|2020-04-22|6277.0|0|238.0|0|0.0|0
0|2020-04-23|6506.0|0|252.0|0|0.0|0
0|2020-04-24|6788.0|0|272.0|0|0.0|0
0|2020-04-25|6935.0|0|281.0|0|0.0|0
0|2020-04-26|7120.0|0|283.0|0|0.0|0
0|2020-04-27|7305.0|0|343.0|0|0.0|0
0|2020-04-28|7450.0|0|330.0|0|0.0|0
0|2020-04-29|7660.0|0|338.0|0|0.0|0
0|2020-04-30|7818.0|0|350.0|0|0.0|0
0|2020-05-01|8067.0|0|360.0|0|0.0|0
0|2020-05-02|8356.0|0|376.0|0|0.0|0
0|2020-05-03|8618.0|0|381.0|0|0.0|0
0|2020-05-04|8946.0|0|386.0|0|0.0|0
0|2020-05-05|9121.0|0|409.0|0|0.0|0
0|2020-05-06|9121.0|0|409.0|0|0.0|0
0|2020-05-07|9121.0|0|409.0|0|0.0|0
0|2020-05-08|9121.0|0|409.0|0|0.0|0
0|2020-05-09|9121.0|0|409.0|0|0.0|0
0|2020-05-10|9121.0|0|409.0|0|0.0|0
0|2020-05-11|9121.0|0|409.0|0|0.0|0
0|2020-05-12|9121.0|0|409.0|0|0.0|0
0|2020-05-13|9121.0|0|409.0|0|0.0|0
