|dates|Washtenaw_Michigan_UnitedStates.JHU_ConfirmedCases.data|Washtenaw_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Washtenaw_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Washtenaw_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Washtenaw_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Washtenaw_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|7.0|0|0.0|0|0.0|0
0|2020-03-17|7.0|0|0.0|0|0.0|0
0|2020-03-18|7.0|0|0.0|0|0.0|0
0|2020-03-19|14.0|0|0.0|0|0.0|0
0|2020-03-20|16.0|0|0.0|0|0.0|0
0|2020-03-21|29.0|0|0.0|0|0.0|0
0|2020-03-22|35.0|0|0.0|0|0.0|0
0|2020-03-23|42.0|0|0.0|0|0.0|0
0|2020-03-24|50.0|0|3.0|0|0.0|0
0|2020-03-25|72.0|0|3.0|0|0.0|0
0|2020-03-26|92.0|0|3.0|0|0.0|0
0|2020-03-27|150.0|0|3.0|0|0.0|0
0|2020-03-28|185.0|0|3.0|0|0.0|0
0|2020-03-29|233.0|0|5.0|0|0.0|0
0|2020-03-30|266.0|0|6.0|0|0.0|0
0|2020-03-31|305.0|0|7.0|0|0.0|0
0|2020-04-01|401.0|0|8.0|0|0.0|0
0|2020-04-02|438.0|0|8.0|0|0.0|0
0|2020-04-03|477.0|0|8.0|0|0.0|0
0|2020-04-04|501.0|0|8.0|0|0.0|0
0|2020-04-05|518.0|0|8.0|0|0.0|0
0|2020-04-06|539.0|0|10.0|0|0.0|0
0|2020-04-07|559.0|0|11.0|0|0.0|0
0|2020-04-08|610.0|0|13.0|0|0.0|0
0|2020-04-09|637.0|0|15.0|0|0.0|0
0|2020-04-10|659.0|0|15.0|0|0.0|0
0|2020-04-11|685.0|0|18.0|0|0.0|0
0|2020-04-12|716.0|0|18.0|0|0.0|0
0|2020-04-13|736.0|0|18.0|0|0.0|0
0|2020-04-14|772.0|0|21.0|0|0.0|0
0|2020-04-15|798.0|0|24.0|0|0.0|0
0|2020-04-16|826.0|0|25.0|0|0.0|0
0|2020-04-17|855.0|0|25.0|0|0.0|0
0|2020-04-18|870.0|0|29.0|0|0.0|0
0|2020-04-19|870.0|0|30.0|0|0.0|0
0|2020-04-20|878.0|0|31.0|0|0.0|0
0|2020-04-21|900.0|0|38.0|0|0.0|0
0|2020-04-22|912.0|0|40.0|0|0.0|0
0|2020-04-23|960.0|0|42.0|0|0.0|0
0|2020-04-24|974.0|0|47.0|0|0.0|0
0|2020-04-25|1002.0|0|50.0|0|0.0|0
0|2020-04-26|1001.0|0|50.0|0|0.0|0
0|2020-04-27|1004.0|0|55.0|0|0.0|0
0|2020-04-28|1033.0|0|56.0|0|0.0|0
0|2020-04-29|1049.0|0|59.0|0|0.0|0
0|2020-04-30|1075.0|0|61.0|0|0.0|0
0|2020-05-01|1091.0|0|66.0|0|0.0|0
0|2020-05-02|1101.0|0|70.0|0|0.0|0
0|2020-05-03|1113.0|0|71.0|0|0.0|0
0|2020-05-04|1118.0|0|76.0|0|0.0|0
0|2020-05-05|1123.0|0|76.0|0|0.0|0
0|2020-05-06|1129.0|0|77.0|0|0.0|0
0|2020-05-07|1140.0|0|77.0|0|0.0|0
0|2020-05-08|1160.0|0|80.0|0|0.0|0
0|2020-05-09|1176.0|0|81.0|0|0.0|0
0|2020-05-10|1182.0|0|81.0|0|0.0|0
0|2020-05-11|1182.0|0|81.0|0|0.0|0
0|2020-05-12|1206.0|0|82.0|0|0.0|0
0|2020-05-13|1210.0|0|83.0|0|0.0|0
