|dates|Wayne_Utah_UnitedStates.JHU_ConfirmedCases.data|Wayne_Utah_UnitedStates.JHU_ConfirmedCases.missing|Wayne_Utah_UnitedStates.JHU_ConfirmedDeaths.data|Wayne_Utah_UnitedStates.JHU_ConfirmedDeaths.missing|Wayne_Utah_UnitedStates.JHU_ConfirmedRecoveries.data|Wayne_Utah_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|2.0|0|0.0|0|0.0|0
0|2020-03-11|3.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|9.0|0|0.0|0|0.0|0
0|2020-03-14|10.0|0|0.0|0|0.0|0
0|2020-03-15|18.0|0|0.0|0|0.0|0
0|2020-03-16|28.0|0|0.0|0|0.0|0
0|2020-03-17|39.0|0|0.0|0|0.0|0
0|2020-03-18|47.0|0|0.0|0|0.0|0
0|2020-03-19|62.0|0|0.0|0|0.0|0
0|2020-03-20|95.0|0|0.0|0|0.0|0
0|2020-03-21|118.0|0|0.0|0|0.0|0
0|2020-03-22|162.0|0|1.0|0|0.0|0
0|2020-03-23|257.0|0|1.0|0|0.0|0
0|2020-03-24|298.0|0|1.0|0|0.0|0
0|2020-03-25|340.0|0|1.0|0|0.0|0
0|2020-03-26|396.0|0|1.0|0|0.0|0
0|2020-03-27|472.0|0|1.0|0|0.0|0
0|2020-03-28|602.0|0|1.0|0|0.0|0
0|2020-03-29|719.0|0|2.0|0|0.0|0
0|2020-03-30|804.0|0|4.0|0|0.0|0
0|2020-03-31|888.0|0|5.0|0|0.0|0
0|2020-04-01|888.0|0|5.0|0|0.0|0
0|2020-04-02|1092.0|0|7.0|0|0.0|0
0|2020-04-03|1277.0|0|7.0|0|0.0|0
0|2020-04-04|1457.0|0|8.0|0|0.0|0
0|2020-04-05|1630.0|0|8.0|0|0.0|0
0|2020-04-06|1707.0|0|13.0|0|0.0|0
0|2020-04-07|1773.0|0|13.0|0|0.0|0
0|2020-04-08|1882.0|0|13.0|0|0.0|0
0|2020-04-09|1883.0|0|13.0|0|0.0|0
0|2020-04-10|2130.0|0|17.0|0|0.0|0
0|2020-04-11|2234.0|0|18.0|0|0.0|0
0|2020-04-12|2330.0|0|18.0|0|0.0|0
0|2020-04-13|2394.0|0|18.0|0|0.0|0
0|2020-04-14|2448.0|0|23.0|0|0.0|0
0|2020-04-15|2579.0|0|25.0|0|0.0|0
0|2020-04-16|2714.0|0|25.0|0|0.0|0
0|2020-04-17|2895.0|0|28.0|0|0.0|0
0|2020-04-18|3019.0|0|30.0|0|0.0|0
0|2020-04-19|3412.0|0|34.0|0|0.0|0
0|2020-04-20|3556.0|0|35.0|0|0.0|0
0|2020-04-21|3640.0|0|39.0|0|0.0|0
0|2020-04-22|3788.0|0|39.0|0|0.0|0
0|2020-04-23|3955.0|0|42.0|0|0.0|0
0|2020-04-24|4125.0|0|46.0|0|0.0|0
0|2020-04-25|4291.0|0|48.0|0|0.0|0
0|2020-04-26|4466.0|0|48.0|0|0.0|0
0|2020-04-27|4579.0|0|48.0|0|0.0|0
0|2020-04-28|4688.0|0|48.0|0|0.0|0
0|2020-04-29|4840.0|0|52.0|0|0.0|0
0|2020-04-30|5015.0|0|53.0|0|0.0|0
0|2020-05-01|5171.0|0|53.0|0|0.0|0
0|2020-05-02|5328.0|0|56.0|0|0.0|0
0|2020-05-03|5518.0|0|57.0|0|0.0|0
0|2020-05-04|5660.0|0|57.0|0|0.0|0
0|2020-05-05|5792.0|0|63.0|0|0.0|0
0|2020-05-06|5792.0|0|63.0|0|0.0|0
0|2020-05-07|5792.0|0|63.0|0|0.0|0
0|2020-05-08|5792.0|0|63.0|0|0.0|0
0|2020-05-09|5792.0|0|63.0|0|0.0|0
0|2020-05-10|5792.0|0|63.0|0|0.0|0
0|2020-05-11|5792.0|0|63.0|0|0.0|0
0|2020-05-12|5792.0|0|63.0|0|0.0|0
0|2020-05-13|5792.0|0|63.0|0|0.0|0
