|dates|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Delaware_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|1.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|6.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|7.0|0|0.0|0|0.0|0
0|2020-03-17|9.0|0|0.0|0|0.0|0
0|2020-03-18|14.0|0|0.0|0|0.0|0
0|2020-03-19|14.0|0|0.0|0|0.0|0
0|2020-03-20|23.0|0|0.0|0|0.0|0
0|2020-03-21|33.0|0|0.0|0|0.0|0
0|2020-03-22|43.0|0|0.0|0|0.0|0
0|2020-03-23|54.0|0|0.0|0|0.0|0
0|2020-03-24|84.0|0|0.0|0|0.0|0
0|2020-03-25|101.0|0|2.0|0|0.0|0
0|2020-03-26|156.0|0|2.0|0|0.0|0
0|2020-03-27|185.0|0|3.0|0|0.0|0
0|2020-03-28|226.0|0|4.0|0|0.0|0
0|2020-03-29|276.0|0|4.0|0|0.0|0
0|2020-03-30|303.0|0|4.0|0|0.0|0
0|2020-03-31|338.0|0|5.0|0|0.0|0
0|2020-04-01|390.0|0|7.0|0|0.0|0
0|2020-04-02|470.0|0|8.0|0|0.0|0
0|2020-04-03|542.0|0|10.0|0|0.0|0
0|2020-04-04|616.0|0|13.0|0|0.0|0
0|2020-04-05|708.0|0|14.0|0|0.0|0
0|2020-04-06|822.0|0|15.0|0|0.0|0
0|2020-04-07|898.0|0|20.0|0|0.0|0
0|2020-04-08|1034.0|0|23.0|0|0.0|0
0|2020-04-09|1222.0|0|26.0|0|0.0|0
0|2020-04-10|1377.0|0|30.0|0|0.0|0
0|2020-04-11|1510.0|0|39.0|0|0.0|0
0|2020-04-12|1594.0|0|39.0|0|0.0|0
0|2020-04-13|1750.0|0|41.0|0|0.0|0
0|2020-04-14|1851.0|0|46.0|0|0.0|0
0|2020-04-15|1935.0|0|60.0|0|0.0|0
0|2020-04-16|2055.0|0|71.0|0|0.0|0
0|2020-04-17|2226.0|0|73.0|0|0.0|0
0|2020-04-18|2317.0|0|77.0|0|0.0|0
0|2020-04-19|2460.0|0|91.0|0|0.0|0
0|2020-04-20|2545.0|0|100.0|0|0.0|0
0|2020-04-21|2654.0|0|118.0|0|0.0|0
0|2020-04-22|2757.0|0|123.0|0|0.0|0
0|2020-04-23|2902.0|0|123.0|0|0.0|0
0|2020-04-24|3055.0|0|129.0|0|0.0|0
0|2020-04-25|3161.0|0|140.0|0|0.0|0
0|2020-04-26|3281.0|0|141.0|0|0.0|0
0|2020-04-27|3361.0|0|142.0|0|0.0|0
0|2020-04-28|3463.0|0|161.0|0|0.0|0
0|2020-04-29|3619.0|0|224.0|0|0.0|0
0|2020-04-30|3696.0|0|235.0|0|0.0|0
0|2020-05-01|3848.0|0|240.0|0|0.0|0
0|2020-05-02|3999.0|0|255.0|0|0.0|0
0|2020-05-03|4113.0|0|255.0|0|0.0|0
0|2020-05-04|4198.0|0|258.0|0|0.0|0
0|2020-05-05|4269.0|0|318.0|0|0.0|0
0|2020-05-06|4373.0|0|326.0|0|0.0|0
0|2020-05-07|4497.0|0|376.0|0|0.0|0
0|2020-05-08|4680.0|0|382.0|0|0.0|0
0|2020-05-09|4836.0|0|394.0|0|0.0|0
0|2020-05-10|4976.0|0|395.0|0|0.0|0
0|2020-05-11|4976.0|0|395.0|0|0.0|0
0|2020-05-12|5084.0|0|405.0|0|0.0|0
0|2020-05-13|5157.0|0|419.0|0|0.0|0
