|dates|Perry_Missouri_UnitedStates.JHU_ConfirmedCases.data|Perry_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Perry_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Perry_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Perry_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Perry_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|7.0|0|0.0|0|0.0|0
0|2020-03-29|7.0|0|0.0|0|0.0|0
0|2020-03-30|12.0|0|0.0|0|0.0|0
0|2020-03-31|14.0|0|0.0|0|0.0|0
0|2020-04-01|18.0|0|0.0|0|0.0|0
0|2020-04-02|19.0|0|0.0|0|0.0|0
0|2020-04-03|19.0|0|0.0|0|0.0|0
0|2020-04-04|22.0|0|0.0|0|0.0|0
0|2020-04-05|22.0|0|0.0|0|0.0|0
0|2020-04-06|28.0|0|0.0|0|0.0|0
0|2020-04-07|28.0|0|0.0|0|0.0|0
0|2020-04-08|31.0|0|0.0|0|0.0|0
0|2020-04-09|31.0|0|0.0|0|0.0|0
0|2020-04-10|31.0|0|0.0|0|0.0|0
0|2020-04-11|34.0|0|0.0|0|0.0|0
0|2020-04-12|35.0|0|0.0|0|0.0|0
0|2020-04-13|36.0|0|0.0|0|0.0|0
0|2020-04-14|38.0|0|0.0|0|0.0|0
0|2020-04-15|38.0|0|0.0|0|0.0|0
0|2020-04-16|41.0|0|0.0|0|0.0|0
0|2020-04-17|41.0|0|0.0|0|0.0|0
0|2020-04-18|41.0|0|0.0|0|0.0|0
0|2020-04-19|41.0|0|0.0|0|0.0|0
0|2020-04-20|41.0|0|0.0|0|0.0|0
0|2020-04-21|38.0|0|0.0|0|0.0|0
0|2020-04-22|38.0|0|0.0|0|0.0|0
0|2020-04-23|38.0|0|0.0|0|0.0|0
0|2020-04-24|39.0|0|0.0|0|0.0|0
0|2020-04-25|39.0|0|0.0|0|0.0|0
0|2020-04-26|41.0|0|0.0|0|0.0|0
0|2020-04-27|41.0|0|0.0|0|0.0|0
0|2020-04-28|41.0|0|0.0|0|0.0|0
0|2020-04-29|43.0|0|0.0|0|0.0|0
0|2020-04-30|43.0|0|0.0|0|0.0|0
0|2020-05-01|43.0|0|0.0|0|0.0|0
0|2020-05-02|43.0|0|0.0|0|0.0|0
0|2020-05-03|43.0|0|0.0|0|0.0|0
0|2020-05-04|43.0|0|0.0|0|0.0|0
0|2020-05-05|43.0|0|0.0|0|0.0|0
0|2020-05-06|44.0|0|0.0|0|0.0|0
0|2020-05-07|44.0|0|0.0|0|0.0|0
0|2020-05-08|45.0|0|0.0|0|0.0|0
0|2020-05-09|45.0|0|0.0|0|0.0|0
0|2020-05-10|45.0|0|0.0|0|0.0|0
0|2020-05-11|45.0|0|0.0|0|0.0|0
0|2020-05-12|45.0|0|0.0|0|0.0|0
0|2020-05-13|46.0|0|0.0|0|0.0|0
