|dates|Lake_Florida_UnitedStates.JHU_ConfirmedCases.data|Lake_Florida_UnitedStates.JHU_ConfirmedCases.missing|Lake_Florida_UnitedStates.JHU_ConfirmedDeaths.data|Lake_Florida_UnitedStates.JHU_ConfirmedDeaths.missing|Lake_Florida_UnitedStates.JHU_ConfirmedRecoveries.data|Lake_Florida_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|14.0|0|0.0|0|0.0|0
0|2020-03-25|18.0|0|0.0|0|0.0|0
0|2020-03-26|25.0|0|0.0|0|0.0|0
0|2020-03-27|29.0|0|0.0|0|0.0|0
0|2020-03-28|35.0|0|0.0|0|0.0|0
0|2020-03-29|38.0|0|0.0|0|0.0|0
0|2020-03-30|47.0|0|0.0|0|0.0|0
0|2020-03-31|66.0|0|0.0|0|0.0|0
0|2020-04-01|67.0|0|0.0|0|0.0|0
0|2020-04-02|82.0|0|2.0|0|0.0|0
0|2020-04-03|88.0|0|2.0|0|0.0|0
0|2020-04-04|95.0|0|2.0|0|0.0|0
0|2020-04-05|101.0|0|2.0|0|0.0|0
0|2020-04-06|104.0|0|2.0|0|0.0|0
0|2020-04-07|116.0|0|2.0|0|0.0|0
0|2020-04-08|136.0|0|2.0|0|0.0|0
0|2020-04-09|139.0|0|2.0|0|0.0|0
0|2020-04-10|147.0|0|2.0|0|0.0|0
0|2020-04-11|149.0|0|4.0|0|0.0|0
0|2020-04-12|150.0|0|4.0|0|0.0|0
0|2020-04-13|162.0|0|4.0|0|0.0|0
0|2020-04-14|169.0|0|4.0|0|0.0|0
0|2020-04-15|179.0|0|5.0|0|0.0|0
0|2020-04-16|186.0|0|5.0|0|0.0|0
0|2020-04-17|197.0|0|5.0|0|0.0|0
0|2020-04-18|203.0|0|6.0|0|0.0|0
0|2020-04-19|207.0|0|6.0|0|0.0|0
0|2020-04-20|211.0|0|7.0|0|0.0|0
0|2020-04-21|213.0|0|7.0|0|0.0|0
0|2020-04-22|213.0|0|7.0|0|0.0|0
0|2020-04-23|217.0|0|9.0|0|0.0|0
0|2020-04-24|219.0|0|10.0|0|0.0|0
0|2020-04-25|221.0|0|10.0|0|0.0|0
0|2020-04-26|222.0|0|10.0|0|0.0|0
0|2020-04-27|223.0|0|10.0|0|0.0|0
0|2020-04-28|226.0|0|10.0|0|0.0|0
0|2020-04-29|227.0|0|11.0|0|0.0|0
0|2020-04-30|227.0|0|12.0|0|0.0|0
0|2020-05-01|233.0|0|13.0|0|0.0|0
0|2020-05-02|234.0|0|13.0|0|0.0|0
0|2020-05-03|234.0|0|13.0|0|0.0|0
0|2020-05-04|235.0|0|13.0|0|0.0|0
0|2020-05-05|235.0|0|14.0|0|0.0|0
0|2020-05-06|236.0|0|14.0|0|0.0|0
0|2020-05-07|237.0|0|14.0|0|0.0|0
0|2020-05-08|237.0|0|14.0|0|0.0|0
0|2020-05-09|240.0|0|14.0|0|0.0|0
0|2020-05-10|242.0|0|14.0|0|0.0|0
0|2020-05-11|242.0|0|14.0|0|0.0|0
0|2020-05-12|246.0|0|14.0|0|0.0|0
0|2020-05-13|247.0|0|14.0|0|0.0|0
