|dates|Douglas_Nebraska_UnitedStates.JHU_ConfirmedCases.data|Douglas_Nebraska_UnitedStates.JHU_ConfirmedCases.missing|Douglas_Nebraska_UnitedStates.JHU_ConfirmedDeaths.data|Douglas_Nebraska_UnitedStates.JHU_ConfirmedDeaths.missing|Douglas_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.data|Douglas_Nebraska_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|1.0|0|0.0|0|0.0|0
0|2020-03-07|1.0|0|0.0|0|0.0|0
0|2020-03-08|1.0|0|0.0|0|0.0|0
0|2020-03-09|3.0|0|0.0|0|0.0|0
0|2020-03-10|3.0|0|0.0|0|0.0|0
0|2020-03-11|4.0|0|0.0|0|0.0|0
0|2020-03-12|9.0|0|0.0|0|0.0|0
0|2020-03-13|12.0|0|0.0|0|0.0|0
0|2020-03-14|16.0|0|0.0|0|0.0|0
0|2020-03-15|15.0|0|0.0|0|0.0|0
0|2020-03-16|16.0|0|0.0|0|0.0|0
0|2020-03-17|19.0|0|0.0|0|0.0|0
0|2020-03-18|19.0|0|0.0|0|0.0|0
0|2020-03-19|23.0|0|0.0|0|0.0|0
0|2020-03-20|22.0|0|0.0|0|0.0|0
0|2020-03-21|25.0|0|0.0|0|0.0|0
0|2020-03-22|34.0|0|0.0|0|0.0|0
0|2020-03-23|34.0|0|0.0|0|0.0|0
0|2020-03-24|39.0|0|0.0|0|0.0|0
0|2020-03-25|43.0|0|0.0|0|0.0|0
0|2020-03-26|44.0|0|0.0|0|0.0|0
0|2020-03-27|44.0|0|0.0|0|0.0|0
0|2020-03-28|51.0|0|1.0|0|0.0|0
0|2020-03-29|57.0|0|1.0|0|0.0|0
0|2020-03-30|75.0|0|1.0|0|0.0|0
0|2020-03-31|85.0|0|1.0|0|0.0|0
0|2020-04-01|101.0|0|1.0|0|0.0|0
0|2020-04-02|116.0|0|1.0|0|0.0|0
0|2020-04-03|124.0|0|1.0|0|0.0|0
0|2020-04-04|131.0|0|1.0|0|0.0|0
0|2020-04-05|144.0|0|3.0|0|0.0|0
0|2020-04-06|159.0|0|4.0|0|0.0|0
0|2020-04-07|159.0|0|4.0|0|0.0|0
0|2020-04-08|181.0|0|5.0|0|0.0|0
0|2020-04-09|198.0|0|5.0|0|0.0|0
0|2020-04-10|214.0|0|5.0|0|0.0|0
0|2020-04-11|228.0|0|5.0|0|0.0|0
0|2020-04-12|239.0|0|5.0|0|0.0|0
0|2020-04-13|242.0|0|5.0|0|0.0|0
0|2020-04-14|251.0|0|5.0|0|0.0|0
0|2020-04-15|251.0|0|5.0|0|0.0|0
0|2020-04-16|259.0|0|5.0|0|0.0|0
0|2020-04-17|266.0|0|5.0|0|0.0|0
0|2020-04-18|266.0|0|5.0|0|0.0|0
0|2020-04-19|280.0|0|8.0|0|0.0|0
0|2020-04-20|291.0|0|8.0|0|0.0|0
0|2020-04-21|296.0|0|8.0|0|0.0|0
0|2020-04-22|310.0|0|8.0|0|0.0|0
0|2020-04-23|327.0|0|10.0|0|0.0|0
0|2020-04-24|362.0|0|10.0|0|0.0|0
0|2020-04-25|382.0|0|10.0|0|0.0|0
0|2020-04-26|419.0|0|10.0|0|0.0|0
0|2020-04-27|476.0|0|10.0|0|0.0|0
0|2020-04-28|484.0|0|10.0|0|0.0|0
0|2020-04-29|580.0|0|10.0|0|0.0|0
0|2020-04-30|656.0|0|14.0|0|0.0|0
0|2020-05-01|744.0|0|14.0|0|0.0|0
0|2020-05-02|825.0|0|14.0|0|0.0|0
0|2020-05-03|878.0|0|14.0|0|0.0|0
0|2020-05-04|944.0|0|14.0|0|0.0|0
0|2020-05-05|1049.0|0|14.0|0|0.0|0
0|2020-05-06|1113.0|0|14.0|0|0.0|0
0|2020-05-07|1221.0|0|14.0|0|0.0|0
0|2020-05-08|1342.0|0|14.0|0|0.0|0
0|2020-05-09|1501.0|0|14.0|0|0.0|0
0|2020-05-10|1551.0|0|14.0|0|0.0|0
0|2020-05-11|1551.0|0|14.0|0|0.0|0
0|2020-05-12|1668.0|0|14.0|0|0.0|0
0|2020-05-13|1779.0|0|14.0|0|0.0|0
