|dates|Sheboygan_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Sheboygan_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Sheboygan_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Sheboygan_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Sheboygan_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Sheboygan_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|6.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|7.0|0|0.0|0|0.0|0
0|2020-03-28|8.0|0|0.0|0|0.0|0
0|2020-03-29|8.0|0|0.0|0|0.0|0
0|2020-03-30|8.0|0|0.0|0|0.0|0
0|2020-03-31|11.0|0|0.0|0|0.0|0
0|2020-04-01|12.0|0|0.0|0|0.0|0
0|2020-04-02|16.0|0|0.0|0|0.0|0
0|2020-04-03|20.0|0|1.0|0|0.0|0
0|2020-04-04|20.0|0|1.0|0|0.0|0
0|2020-04-05|21.0|0|1.0|0|0.0|0
0|2020-04-06|21.0|0|2.0|0|0.0|0
0|2020-04-07|30.0|0|2.0|0|0.0|0
0|2020-04-08|32.0|0|2.0|0|0.0|0
0|2020-04-09|31.0|0|2.0|0|0.0|0
0|2020-04-10|33.0|0|2.0|0|0.0|0
0|2020-04-11|34.0|0|2.0|0|0.0|0
0|2020-04-12|34.0|0|2.0|0|0.0|0
0|2020-04-13|36.0|0|2.0|0|0.0|0
0|2020-04-14|36.0|0|2.0|0|0.0|0
0|2020-04-15|37.0|0|2.0|0|0.0|0
0|2020-04-16|37.0|0|2.0|0|0.0|0
0|2020-04-17|38.0|0|2.0|0|0.0|0
0|2020-04-18|39.0|0|2.0|0|0.0|0
0|2020-04-19|40.0|0|2.0|0|0.0|0
0|2020-04-20|43.0|0|2.0|0|0.0|0
0|2020-04-21|43.0|0|2.0|0|0.0|0
0|2020-04-22|44.0|0|2.0|0|0.0|0
0|2020-04-23|44.0|0|2.0|0|0.0|0
0|2020-04-24|45.0|0|2.0|0|0.0|0
0|2020-04-25|44.0|0|2.0|0|0.0|0
0|2020-04-26|45.0|0|2.0|0|0.0|0
0|2020-04-27|46.0|0|2.0|0|0.0|0
0|2020-04-28|46.0|0|2.0|0|0.0|0
0|2020-04-29|46.0|0|2.0|0|0.0|0
0|2020-04-30|47.0|0|2.0|0|0.0|0
0|2020-05-01|49.0|0|2.0|0|0.0|0
0|2020-05-02|51.0|0|2.0|0|0.0|0
0|2020-05-03|52.0|0|2.0|0|0.0|0
0|2020-05-04|53.0|0|2.0|0|0.0|0
0|2020-05-05|55.0|0|2.0|0|0.0|0
0|2020-05-06|59.0|0|2.0|0|0.0|0
0|2020-05-07|65.0|0|2.0|0|0.0|0
0|2020-05-08|65.0|0|2.0|0|0.0|0
0|2020-05-09|65.0|0|2.0|0|0.0|0
0|2020-05-10|66.0|0|2.0|0|0.0|0
0|2020-05-11|66.0|0|2.0|0|0.0|0
0|2020-05-12|66.0|0|2.0|0|0.0|0
0|2020-05-13|66.0|0|3.0|0|0.0|0
