|dates|Charles_Maryland_UnitedStates.JHU_ConfirmedCases.data|Charles_Maryland_UnitedStates.JHU_ConfirmedCases.missing|Charles_Maryland_UnitedStates.JHU_ConfirmedDeaths.data|Charles_Maryland_UnitedStates.JHU_ConfirmedDeaths.missing|Charles_Maryland_UnitedStates.JHU_ConfirmedRecoveries.data|Charles_Maryland_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|5.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|8.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|17.0|0|0.0|0|0.0|0
0|2020-03-28|21.0|0|0.0|0|0.0|0
0|2020-03-29|28.0|0|1.0|0|0.0|0
0|2020-03-30|33.0|0|1.0|0|0.0|0
0|2020-03-31|40.0|0|1.0|0|0.0|0
0|2020-04-01|56.0|0|1.0|0|0.0|0
0|2020-04-02|69.0|0|1.0|0|0.0|0
0|2020-04-03|90.0|0|1.0|0|0.0|0
0|2020-04-04|95.0|0|1.0|0|0.0|0
0|2020-04-05|111.0|0|2.0|0|0.0|0
0|2020-04-06|129.0|0|2.0|0|0.0|0
0|2020-04-07|136.0|0|2.0|0|0.0|0
0|2020-04-08|164.0|0|2.0|0|0.0|0
0|2020-04-09|180.0|0|3.0|0|0.0|0
0|2020-04-10|220.0|0|4.0|0|0.0|0
0|2020-04-11|235.0|0|5.0|0|0.0|0
0|2020-04-12|253.0|0|9.0|0|0.0|0
0|2020-04-13|274.0|0|10.0|0|0.0|0
0|2020-04-14|292.0|0|12.0|0|0.0|0
0|2020-04-15|310.0|0|12.0|0|0.0|0
0|2020-04-16|327.0|0|13.0|0|0.0|0
0|2020-04-17|337.0|0|15.0|0|0.0|0
0|2020-04-18|347.0|0|16.0|0|0.0|0
0|2020-04-19|370.0|0|17.0|0|0.0|0
0|2020-04-20|392.0|0|20.0|0|0.0|0
0|2020-04-21|401.0|0|23.0|0|0.0|0
0|2020-04-22|427.0|0|30.0|0|0.0|0
0|2020-04-23|442.0|0|32.0|0|0.0|0
0|2020-04-24|442.0|0|32.0|0|0.0|0
0|2020-04-25|483.0|0|35.0|0|0.0|0
0|2020-04-26|504.0|0|35.0|0|0.0|0
0|2020-04-27|529.0|0|37.0|0|0.0|0
0|2020-04-28|539.0|0|39.0|0|0.0|0
0|2020-04-29|551.0|0|42.0|0|0.0|0
0|2020-04-30|564.0|0|44.0|0|0.0|0
0|2020-05-01|611.0|0|46.0|0|0.0|0
0|2020-05-02|622.0|0|47.0|0|0.0|0
0|2020-05-03|637.0|0|50.0|0|0.0|0
0|2020-05-04|651.0|0|50.0|0|0.0|0
0|2020-05-05|660.0|0|50.0|0|0.0|0
0|2020-05-06|670.0|0|52.0|0|0.0|0
0|2020-05-07|698.0|0|51.0|0|0.0|0
0|2020-05-08|716.0|0|54.0|0|0.0|0
0|2020-05-09|729.0|0|53.0|0|0.0|0
0|2020-05-10|748.0|0|54.0|0|0.0|0
0|2020-05-11|748.0|0|54.0|0|0.0|0
0|2020-05-12|761.0|0|55.0|0|0.0|0
0|2020-05-13|778.0|0|57.0|0|0.0|0
