|dates|Lee_Georgia_UnitedStates.JHU_ConfirmedCases.data|Lee_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Lee_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Lee_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Lee_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Lee_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|13.0|0|0.0|0|0.0|0
0|2020-03-21|14.0|0|0.0|0|0.0|0
0|2020-03-22|16.0|0|0.0|0|0.0|0
0|2020-03-23|16.0|0|0.0|0|0.0|0
0|2020-03-24|20.0|0|0.0|0|0.0|0
0|2020-03-25|25.0|0|0.0|0|0.0|0
0|2020-03-26|30.0|0|0.0|0|0.0|0
0|2020-03-27|35.0|0|0.0|0|0.0|0
0|2020-03-28|37.0|0|5.0|0|0.0|0
0|2020-03-29|43.0|0|6.0|0|0.0|0
0|2020-03-30|44.0|0|6.0|0|0.0|0
0|2020-03-31|89.0|0|6.0|0|0.0|0
0|2020-04-01|94.0|0|7.0|0|0.0|0
0|2020-04-02|100.0|0|7.0|0|0.0|0
0|2020-04-03|115.0|0|8.0|0|0.0|0
0|2020-04-04|128.0|0|8.0|0|0.0|0
0|2020-04-05|136.0|0|8.0|0|0.0|0
0|2020-04-06|147.0|0|9.0|0|0.0|0
0|2020-04-07|195.0|0|15.0|0|0.0|0
0|2020-04-08|208.0|0|15.0|0|0.0|0
0|2020-04-09|212.0|0|14.0|0|0.0|0
0|2020-04-10|222.0|0|15.0|0|0.0|0
0|2020-04-11|234.0|0|15.0|0|0.0|0
0|2020-04-12|239.0|0|15.0|0|0.0|0
0|2020-04-13|253.0|0|15.0|0|0.0|0
0|2020-04-14|258.0|0|15.0|0|0.0|0
0|2020-04-15|264.0|0|15.0|0|0.0|0
0|2020-04-16|265.0|0|15.0|0|0.0|0
0|2020-04-17|269.0|0|15.0|0|0.0|0
0|2020-04-18|272.0|0|15.0|0|0.0|0
0|2020-04-19|272.0|0|15.0|0|0.0|0
0|2020-04-20|276.0|0|16.0|0|0.0|0
0|2020-04-21|277.0|0|17.0|0|0.0|0
0|2020-04-22|294.0|0|17.0|0|0.0|0
0|2020-04-23|298.0|0|19.0|0|0.0|0
0|2020-04-24|297.0|0|18.0|0|0.0|0
0|2020-04-25|299.0|0|18.0|0|0.0|0
0|2020-04-26|302.0|0|18.0|0|0.0|0
0|2020-04-27|307.0|0|19.0|0|0.0|0
0|2020-04-28|313.0|0|19.0|0|0.0|0
0|2020-04-29|314.0|0|20.0|0|0.0|0
0|2020-04-30|318.0|0|20.0|0|0.0|0
0|2020-05-01|322.0|0|20.0|0|0.0|0
0|2020-05-02|327.0|0|20.0|0|0.0|0
0|2020-05-03|328.0|0|20.0|0|0.0|0
0|2020-05-04|329.0|0|20.0|0|0.0|0
0|2020-05-05|333.0|0|22.0|0|0.0|0
0|2020-05-06|338.0|0|22.0|0|0.0|0
0|2020-05-07|339.0|0|22.0|0|0.0|0
0|2020-05-08|339.0|0|22.0|0|0.0|0
0|2020-05-09|339.0|0|22.0|0|0.0|0
0|2020-05-10|340.0|0|22.0|0|0.0|0
0|2020-05-11|340.0|0|22.0|0|0.0|0
0|2020-05-12|343.0|0|22.0|0|0.0|0
0|2020-05-13|343.0|0|22.0|0|0.0|0
