|dates|Licking_Ohio_UnitedStates.JHU_ConfirmedCases.data|Licking_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Licking_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Licking_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Licking_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Licking_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|5.0|0|0.0|0|0.0|0
0|2020-03-27|10.0|0|0.0|0|0.0|0
0|2020-03-28|14.0|0|0.0|0|0.0|0
0|2020-03-29|15.0|0|0.0|0|0.0|0
0|2020-03-30|21.0|0|0.0|0|0.0|0
0|2020-03-31|25.0|0|0.0|0|0.0|0
0|2020-04-01|24.0|0|0.0|0|0.0|0
0|2020-04-02|30.0|0|0.0|0|0.0|0
0|2020-04-03|35.0|0|1.0|0|0.0|0
0|2020-04-04|50.0|0|1.0|0|0.0|0
0|2020-04-05|55.0|0|2.0|0|0.0|0
0|2020-04-06|57.0|0|2.0|0|0.0|0
0|2020-04-07|61.0|0|3.0|0|0.0|0
0|2020-04-08|64.0|0|3.0|0|0.0|0
0|2020-04-09|78.0|0|3.0|0|0.0|0
0|2020-04-10|79.0|0|3.0|0|0.0|0
0|2020-04-11|80.0|0|3.0|0|0.0|0
0|2020-04-12|83.0|0|3.0|0|0.0|0
0|2020-04-13|86.0|0|3.0|0|0.0|0
0|2020-04-14|86.0|0|3.0|0|0.0|0
0|2020-04-15|88.0|0|3.0|0|0.0|0
0|2020-04-16|92.0|0|4.0|0|0.0|0
0|2020-04-17|94.0|0|4.0|0|0.0|0
0|2020-04-18|94.0|0|4.0|0|0.0|0
0|2020-04-19|102.0|0|4.0|0|0.0|0
0|2020-04-20|100.0|0|4.0|0|0.0|0
0|2020-04-21|102.0|0|4.0|0|0.0|0
0|2020-04-22|103.0|0|4.0|0|0.0|0
0|2020-04-23|104.0|0|4.0|0|0.0|0
0|2020-04-24|105.0|0|4.0|0|0.0|0
0|2020-04-25|108.0|0|4.0|0|0.0|0
0|2020-04-26|108.0|0|4.0|0|0.0|0
0|2020-04-27|110.0|0|5.0|0|0.0|0
0|2020-04-28|114.0|0|5.0|0|0.0|0
0|2020-04-29|115.0|0|5.0|0|0.0|0
0|2020-04-30|118.0|0|5.0|0|0.0|0
0|2020-05-01|121.0|0|5.0|0|0.0|0
0|2020-05-02|122.0|0|5.0|0|0.0|0
0|2020-05-03|125.0|0|5.0|0|0.0|0
0|2020-05-04|130.0|0|5.0|0|0.0|0
0|2020-05-05|133.0|0|7.0|0|0.0|0
0|2020-05-06|137.0|0|7.0|0|0.0|0
0|2020-05-07|146.0|0|7.0|0|0.0|0
0|2020-05-08|150.0|0|7.0|0|0.0|0
0|2020-05-09|162.0|0|7.0|0|0.0|0
0|2020-05-10|162.0|0|7.0|0|0.0|0
0|2020-05-11|162.0|0|7.0|0|0.0|0
0|2020-05-12|172.0|0|7.0|0|0.0|0
0|2020-05-13|175.0|0|7.0|0|0.0|0
