|dates|Franklin_Washington_UnitedStates.JHU_ConfirmedCases.data|Franklin_Washington_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|7.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|12.0|0|0.0|0|0.0|0
0|2020-03-28|12.0|0|0.0|0|0.0|0
0|2020-03-29|16.0|0|0.0|0|0.0|0
0|2020-03-30|37.0|0|0.0|0|0.0|0
0|2020-03-31|33.0|0|0.0|0|0.0|0
0|2020-04-01|33.0|0|0.0|0|0.0|0
0|2020-04-02|41.0|0|0.0|0|0.0|0
0|2020-04-03|45.0|0|1.0|0|0.0|0
0|2020-04-04|46.0|0|1.0|0|0.0|0
0|2020-04-05|56.0|0|1.0|0|0.0|0
0|2020-04-06|64.0|0|2.0|0|0.0|0
0|2020-04-07|70.0|0|2.0|0|0.0|0
0|2020-04-08|75.0|0|2.0|0|0.0|0
0|2020-04-09|86.0|0|2.0|0|0.0|0
0|2020-04-10|97.0|0|2.0|0|0.0|0
0|2020-04-11|107.0|0|2.0|0|0.0|0
0|2020-04-12|112.0|0|2.0|0|0.0|0
0|2020-04-13|122.0|0|2.0|0|0.0|0
0|2020-04-14|134.0|0|2.0|0|0.0|0
0|2020-04-15|185.0|0|2.0|0|0.0|0
0|2020-04-16|152.0|0|4.0|0|0.0|0
0|2020-04-17|162.0|0|4.0|0|0.0|0
0|2020-04-18|177.0|0|4.0|0|0.0|0
0|2020-04-19|191.0|0|4.0|0|0.0|0
0|2020-04-20|191.0|0|4.0|0|0.0|0
0|2020-04-21|266.0|0|4.0|0|0.0|0
0|2020-04-22|266.0|0|4.0|0|0.0|0
0|2020-04-23|233.0|0|5.0|0|0.0|0
0|2020-04-24|239.0|0|5.0|0|0.0|0
0|2020-04-25|250.0|0|5.0|0|0.0|0
0|2020-04-26|251.0|0|5.0|0|0.0|0
0|2020-04-27|256.0|0|5.0|0|0.0|0
0|2020-04-28|265.0|0|7.0|0|0.0|0
0|2020-04-29|276.0|0|8.0|0|0.0|0
0|2020-04-30|279.0|0|9.0|0|0.0|0
0|2020-05-01|309.0|0|11.0|0|0.0|0
0|2020-05-02|348.0|0|10.0|0|0.0|0
0|2020-05-03|363.0|0|11.0|0|0.0|0
0|2020-05-04|377.0|0|11.0|0|0.0|0
0|2020-05-05|379.0|0|13.0|0|0.0|0
0|2020-05-06|387.0|0|14.0|0|0.0|0
0|2020-05-07|401.0|0|14.0|0|0.0|0
0|2020-05-08|404.0|0|16.0|0|0.0|0
0|2020-05-09|408.0|0|16.0|0|0.0|0
0|2020-05-10|412.0|0|16.0|0|0.0|0
0|2020-05-11|412.0|0|16.0|0|0.0|0
0|2020-05-12|422.0|0|16.0|0|0.0|0
0|2020-05-13|422.0|0|16.0|0|0.0|0
