|dates|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedCases.data|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedCases.missing|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.data|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedDeaths.missing|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.data|Lynchburg_Virginia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|2.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|4.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|7.0|0|0.0|0|0.0|0
0|2020-04-02|9.0|0|0.0|0|0.0|0
0|2020-04-03|9.0|0|0.0|0|0.0|0
0|2020-04-04|10.0|0|0.0|0|0.0|0
0|2020-04-05|10.0|0|0.0|0|0.0|0
0|2020-04-06|11.0|0|0.0|0|0.0|0
0|2020-04-07|20.0|0|0.0|0|0.0|0
0|2020-04-08|20.0|0|0.0|0|0.0|0
0|2020-04-09|21.0|0|0.0|0|0.0|0
0|2020-04-10|27.0|0|0.0|0|0.0|0
0|2020-04-11|31.0|0|0.0|0|0.0|0
0|2020-04-12|31.0|0|0.0|0|0.0|0
0|2020-04-13|33.0|0|0.0|0|0.0|0
0|2020-04-14|33.0|0|0.0|0|0.0|0
0|2020-04-15|34.0|0|0.0|0|0.0|0
0|2020-04-16|34.0|0|0.0|0|0.0|0
0|2020-04-17|38.0|0|0.0|0|0.0|0
0|2020-04-18|38.0|0|0.0|0|0.0|0
0|2020-04-19|38.0|0|0.0|0|0.0|0
0|2020-04-20|38.0|0|0.0|0|0.0|0
0|2020-04-21|43.0|0|0.0|0|0.0|0
0|2020-04-22|43.0|0|1.0|0|0.0|0
0|2020-04-23|47.0|0|1.0|0|0.0|0
0|2020-04-24|48.0|0|1.0|0|0.0|0
0|2020-04-25|48.0|0|1.0|0|0.0|0
0|2020-04-26|50.0|0|1.0|0|0.0|0
0|2020-04-27|51.0|0|1.0|0|0.0|0
0|2020-04-28|51.0|0|1.0|0|0.0|0
0|2020-04-29|52.0|0|1.0|0|0.0|0
0|2020-04-30|53.0|0|1.0|0|0.0|0
0|2020-05-01|58.0|0|1.0|0|0.0|0
0|2020-05-02|62.0|0|1.0|0|0.0|0
0|2020-05-03|64.0|0|1.0|0|0.0|0
0|2020-05-04|64.0|0|1.0|0|0.0|0
0|2020-05-05|65.0|0|1.0|0|0.0|0
0|2020-05-06|65.0|0|1.0|0|0.0|0
0|2020-05-07|68.0|0|1.0|0|0.0|0
0|2020-05-08|68.0|0|1.0|0|0.0|0
0|2020-05-09|68.0|0|1.0|0|0.0|0
0|2020-05-10|68.0|0|1.0|0|0.0|0
0|2020-05-11|68.0|0|1.0|0|0.0|0
0|2020-05-12|70.0|0|1.0|0|0.0|0
0|2020-05-13|72.0|0|1.0|0|0.0|0
