|dates|Attala_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Attala_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Attala_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Attala_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|0.0|0|0.0|0
0|2020-03-28|9.0|0|0.0|0|0.0|0
0|2020-03-29|9.0|0|0.0|0|0.0|0
0|2020-03-30|9.0|0|0.0|0|0.0|0
0|2020-03-31|10.0|0|0.0|0|0.0|0
0|2020-04-01|11.0|0|0.0|0|0.0|0
0|2020-04-02|12.0|0|0.0|0|0.0|0
0|2020-04-03|14.0|0|0.0|0|0.0|0
0|2020-04-04|14.0|0|0.0|0|0.0|0
0|2020-04-05|15.0|0|0.0|0|0.0|0
0|2020-04-06|15.0|0|0.0|0|0.0|0
0|2020-04-07|15.0|0|0.0|0|0.0|0
0|2020-04-08|15.0|0|0.0|0|0.0|0
0|2020-04-09|17.0|0|0.0|0|0.0|0
0|2020-04-10|17.0|0|0.0|0|0.0|0
0|2020-04-11|18.0|0|0.0|0|0.0|0
0|2020-04-12|20.0|0|0.0|0|0.0|0
0|2020-04-13|20.0|0|0.0|0|0.0|0
0|2020-04-14|22.0|0|0.0|0|0.0|0
0|2020-04-15|25.0|0|0.0|0|0.0|0
0|2020-04-16|28.0|0|0.0|0|0.0|0
0|2020-04-17|31.0|0|0.0|0|0.0|0
0|2020-04-18|34.0|0|0.0|0|0.0|0
0|2020-04-19|36.0|0|0.0|0|0.0|0
0|2020-04-20|44.0|0|0.0|0|0.0|0
0|2020-04-21|49.0|0|0.0|0|0.0|0
0|2020-04-22|51.0|0|0.0|0|0.0|0
0|2020-04-23|62.0|0|0.0|0|0.0|0
0|2020-04-24|68.0|0|0.0|0|0.0|0
0|2020-04-25|80.0|0|0.0|0|0.0|0
0|2020-04-26|82.0|0|0.0|0|0.0|0
0|2020-04-27|86.0|0|0.0|0|0.0|0
0|2020-04-28|89.0|0|0.0|0|0.0|0
0|2020-04-29|94.0|0|0.0|0|0.0|0
0|2020-04-30|99.0|0|0.0|0|0.0|0
0|2020-05-01|109.0|0|0.0|0|0.0|0
0|2020-05-02|117.0|0|1.0|0|0.0|0
0|2020-05-03|117.0|0|2.0|0|0.0|0
0|2020-05-04|128.0|0|2.0|0|0.0|0
0|2020-05-05|137.0|0|2.0|0|0.0|0
0|2020-05-06|159.0|0|3.0|0|0.0|0
0|2020-05-07|170.0|0|3.0|0|0.0|0
0|2020-05-08|182.0|0|4.0|0|0.0|0
0|2020-05-09|191.0|0|4.0|0|0.0|0
0|2020-05-10|190.0|0|4.0|0|0.0|0
0|2020-05-11|190.0|0|4.0|0|0.0|0
0|2020-05-12|205.0|0|5.0|0|0.0|0
0|2020-05-13|206.0|0|5.0|0|0.0|0
