|dates|Laurens_Georgia_UnitedStates.JHU_ConfirmedCases.data|Laurens_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Laurens_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Laurens_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Laurens_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Laurens_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|5.0|0|0.0|0|0.0|0
0|2020-03-25|6.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|7.0|0|0.0|0|0.0|0
0|2020-03-28|7.0|0|0.0|0|0.0|0
0|2020-03-29|9.0|0|0.0|0|0.0|0
0|2020-03-30|12.0|0|0.0|0|0.0|0
0|2020-03-31|13.0|0|0.0|0|0.0|0
0|2020-04-01|14.0|0|0.0|0|0.0|0
0|2020-04-02|14.0|0|0.0|0|0.0|0
0|2020-04-03|15.0|0|0.0|0|0.0|0
0|2020-04-04|15.0|0|0.0|0|0.0|0
0|2020-04-05|15.0|0|0.0|0|0.0|0
0|2020-04-06|16.0|0|0.0|0|0.0|0
0|2020-04-07|22.0|0|0.0|0|0.0|0
0|2020-04-08|25.0|0|0.0|0|0.0|0
0|2020-04-09|27.0|0|0.0|0|0.0|0
0|2020-04-10|28.0|0|1.0|0|0.0|0
0|2020-04-11|28.0|0|1.0|0|0.0|0
0|2020-04-12|32.0|0|1.0|0|0.0|0
0|2020-04-13|35.0|0|1.0|0|0.0|0
0|2020-04-14|35.0|0|1.0|0|0.0|0
0|2020-04-15|35.0|0|1.0|0|0.0|0
0|2020-04-16|37.0|0|1.0|0|0.0|0
0|2020-04-17|39.0|0|1.0|0|0.0|0
0|2020-04-18|41.0|0|1.0|0|0.0|0
0|2020-04-19|43.0|0|1.0|0|0.0|0
0|2020-04-20|43.0|0|1.0|0|0.0|0
0|2020-04-21|43.0|0|1.0|0|0.0|0
0|2020-04-22|44.0|0|1.0|0|0.0|0
0|2020-04-23|46.0|0|1.0|0|0.0|0
0|2020-04-24|50.0|0|1.0|0|0.0|0
0|2020-04-25|52.0|0|1.0|0|0.0|0
0|2020-04-26|52.0|0|1.0|0|0.0|0
0|2020-04-27|54.0|0|1.0|0|0.0|0
0|2020-04-28|54.0|0|1.0|0|0.0|0
0|2020-04-29|54.0|0|1.0|0|0.0|0
0|2020-04-30|60.0|0|1.0|0|0.0|0
0|2020-05-01|62.0|0|1.0|0|0.0|0
0|2020-05-02|64.0|0|1.0|0|0.0|0
0|2020-05-03|64.0|0|1.0|0|0.0|0
0|2020-05-04|67.0|0|1.0|0|0.0|0
0|2020-05-05|68.0|0|1.0|0|0.0|0
0|2020-05-06|70.0|0|1.0|0|0.0|0
0|2020-05-07|72.0|0|1.0|0|0.0|0
0|2020-05-08|77.0|0|1.0|0|0.0|0
0|2020-05-09|80.0|0|1.0|0|0.0|0
0|2020-05-10|80.0|0|1.0|0|0.0|0
0|2020-05-11|80.0|0|1.0|0|0.0|0
0|2020-05-12|82.0|0|1.0|0|0.0|0
0|2020-05-13|85.0|0|1.0|0|0.0|0
