|dates|Island_Washington_UnitedStates.JHU_ConfirmedCases.data|Island_Washington_UnitedStates.JHU_ConfirmedCases.missing|Island_Washington_UnitedStates.JHU_ConfirmedDeaths.data|Island_Washington_UnitedStates.JHU_ConfirmedDeaths.missing|Island_Washington_UnitedStates.JHU_ConfirmedRecoveries.data|Island_Washington_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|3.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|7.0|0|0.0|0|0.0|0
0|2020-03-17|14.0|0|0.0|0|0.0|0
0|2020-03-18|16.0|0|0.0|0|0.0|0
0|2020-03-19|17.0|0|1.0|0|0.0|0
0|2020-03-20|19.0|0|1.0|0|0.0|0
0|2020-03-21|19.0|0|1.0|0|0.0|0
0|2020-03-22|21.0|0|1.0|0|0.0|0
0|2020-03-23|25.0|0|1.0|0|0.0|0
0|2020-03-24|25.0|0|1.0|0|0.0|0
0|2020-03-25|38.0|0|1.0|0|0.0|0
0|2020-03-26|64.0|0|1.0|0|0.0|0
0|2020-03-27|64.0|0|1.0|0|0.0|0
0|2020-03-28|80.0|0|1.0|0|0.0|0
0|2020-03-29|93.0|0|1.0|0|0.0|0
0|2020-03-30|105.0|0|1.0|0|0.0|0
0|2020-03-31|106.0|0|3.0|0|0.0|0
0|2020-04-01|109.0|0|3.0|0|0.0|0
0|2020-04-02|114.0|0|3.0|0|0.0|0
0|2020-04-03|119.0|0|4.0|0|0.0|0
0|2020-04-04|122.0|0|4.0|0|0.0|0
0|2020-04-05|130.0|0|4.0|0|0.0|0
0|2020-04-06|141.0|0|5.0|0|0.0|0
0|2020-04-07|142.0|0|5.0|0|0.0|0
0|2020-04-08|145.0|0|6.0|0|0.0|0
0|2020-04-09|155.0|0|7.0|0|0.0|0
0|2020-04-10|155.0|0|7.0|0|0.0|0
0|2020-04-11|157.0|0|7.0|0|0.0|0
0|2020-04-12|158.0|0|7.0|0|0.0|0
0|2020-04-13|158.0|0|7.0|0|0.0|0
0|2020-04-14|162.0|0|8.0|0|0.0|0
0|2020-04-15|163.0|0|8.0|0|0.0|0
0|2020-04-16|164.0|0|8.0|0|0.0|0
0|2020-04-17|165.0|0|8.0|0|0.0|0
0|2020-04-18|165.0|0|8.0|0|0.0|0
0|2020-04-19|166.0|0|8.0|0|0.0|0
0|2020-04-20|166.0|0|8.0|0|0.0|0
0|2020-04-21|166.0|0|8.0|0|0.0|0
0|2020-04-22|168.0|0|9.0|0|0.0|0
0|2020-04-23|160.0|0|9.0|0|0.0|0
0|2020-04-24|160.0|0|9.0|0|0.0|0
0|2020-04-25|161.0|0|9.0|0|0.0|0
0|2020-04-26|160.0|0|9.0|0|0.0|0
0|2020-04-27|164.0|0|9.0|0|0.0|0
0|2020-04-28|168.0|0|9.0|0|0.0|0
0|2020-04-29|168.0|0|9.0|0|0.0|0
0|2020-04-30|168.0|0|9.0|0|0.0|0
0|2020-05-01|169.0|0|9.0|0|0.0|0
0|2020-05-02|169.0|0|9.0|0|0.0|0
0|2020-05-03|169.0|0|9.0|0|0.0|0
0|2020-05-04|169.0|0|9.0|0|0.0|0
0|2020-05-05|168.0|0|9.0|0|0.0|0
0|2020-05-06|172.0|0|9.0|0|0.0|0
0|2020-05-07|173.0|0|9.0|0|0.0|0
0|2020-05-08|172.0|0|9.0|0|0.0|0
0|2020-05-09|173.0|0|9.0|0|0.0|0
0|2020-05-10|174.0|0|9.0|0|0.0|0
0|2020-05-11|174.0|0|9.0|0|0.0|0
0|2020-05-12|174.0|0|9.0|0|0.0|0
0|2020-05-13|176.0|0|9.0|0|0.0|0
