|dates|Routt_Colorado_UnitedStates.JHU_ConfirmedCases.data|Routt_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Routt_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Routt_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Routt_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Routt_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|3.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|9.0|0|0.0|0|0.0|0
0|2020-03-27|9.0|0|0.0|0|0.0|0
0|2020-03-28|12.0|0|0.0|0|0.0|0
0|2020-03-29|16.0|0|0.0|0|0.0|0
0|2020-03-30|16.0|0|0.0|0|0.0|0
0|2020-03-31|17.0|0|0.0|0|0.0|0
0|2020-04-01|17.0|0|0.0|0|0.0|0
0|2020-04-02|19.0|0|0.0|0|0.0|0
0|2020-04-03|23.0|0|0.0|0|0.0|0
0|2020-04-04|28.0|0|0.0|0|0.0|0
0|2020-04-05|29.0|0|0.0|0|0.0|0
0|2020-04-06|29.0|0|0.0|0|0.0|0
0|2020-04-07|32.0|0|0.0|0|0.0|0
0|2020-04-08|32.0|0|0.0|0|0.0|0
0|2020-04-09|32.0|0|0.0|0|0.0|0
0|2020-04-10|32.0|0|0.0|0|0.0|0
0|2020-04-11|35.0|0|0.0|0|0.0|0
0|2020-04-12|36.0|0|0.0|0|0.0|0
0|2020-04-13|41.0|0|0.0|0|0.0|0
0|2020-04-14|41.0|0|0.0|0|0.0|0
0|2020-04-15|41.0|0|0.0|0|0.0|0
0|2020-04-16|41.0|0|1.0|0|0.0|0
0|2020-04-17|43.0|0|1.0|0|0.0|0
0|2020-04-18|46.0|0|1.0|0|0.0|0
0|2020-04-19|49.0|0|2.0|0|0.0|0
0|2020-04-20|49.0|0|2.0|0|0.0|0
0|2020-04-21|51.0|0|2.0|0|0.0|0
0|2020-04-22|52.0|0|2.0|0|0.0|0
0|2020-04-23|52.0|0|2.0|0|0.0|0
0|2020-04-24|52.0|0|4.0|0|0.0|0
0|2020-04-25|52.0|0|4.0|0|0.0|0
0|2020-04-26|54.0|0|4.0|0|0.0|0
0|2020-04-27|54.0|0|4.0|0|0.0|0
0|2020-04-28|55.0|0|4.0|0|0.0|0
0|2020-04-29|54.0|0|4.0|0|0.0|0
0|2020-04-30|56.0|0|4.0|0|0.0|0
0|2020-05-01|56.0|0|5.0|0|0.0|0
0|2020-05-02|56.0|0|5.0|0|0.0|0
0|2020-05-03|56.0|0|5.0|0|0.0|0
0|2020-05-04|56.0|0|6.0|0|0.0|0
0|2020-05-05|58.0|0|6.0|0|0.0|0
0|2020-05-06|58.0|0|6.0|0|0.0|0
0|2020-05-07|58.0|0|6.0|0|0.0|0
0|2020-05-08|58.0|0|6.0|0|0.0|0
0|2020-05-09|58.0|0|6.0|0|0.0|0
0|2020-05-10|58.0|0|6.0|0|0.0|0
0|2020-05-11|58.0|0|6.0|0|0.0|0
0|2020-05-12|59.0|0|6.0|0|0.0|0
0|2020-05-13|59.0|0|6.0|0|0.0|0
