|dates|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedCases.data|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|WestBatonRouge_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|1.0|0|0.0|0
0|2020-03-24|5.0|0|1.0|0|0.0|0
0|2020-03-25|7.0|0|1.0|0|0.0|0
0|2020-03-26|8.0|0|1.0|0|0.0|0
0|2020-03-27|11.0|0|1.0|0|0.0|0
0|2020-03-28|12.0|0|1.0|0|0.0|0
0|2020-03-29|12.0|0|1.0|0|0.0|0
0|2020-03-30|12.0|0|1.0|0|0.0|0
0|2020-03-31|13.0|0|1.0|0|0.0|0
0|2020-04-01|14.0|0|1.0|0|0.0|0
0|2020-04-02|19.0|0|1.0|0|0.0|0
0|2020-04-03|23.0|0|3.0|0|0.0|0
0|2020-04-04|40.0|0|4.0|0|0.0|0
0|2020-04-05|40.0|0|7.0|0|0.0|0
0|2020-04-06|45.0|0|7.0|0|0.0|0
0|2020-04-07|52.0|0|7.0|0|0.0|0
0|2020-04-08|54.0|0|9.0|0|0.0|0
0|2020-04-09|57.0|0|9.0|0|0.0|0
0|2020-04-10|61.0|0|9.0|0|0.0|0
0|2020-04-11|66.0|0|9.0|0|0.0|0
0|2020-04-12|68.0|0|9.0|0|0.0|0
0|2020-04-13|72.0|0|9.0|0|0.0|0
0|2020-04-14|76.0|0|9.0|0|0.0|0
0|2020-04-15|78.0|0|9.0|0|0.0|0
0|2020-04-16|81.0|0|9.0|0|0.0|0
0|2020-04-17|83.0|0|9.0|0|0.0|0
0|2020-04-18|86.0|0|10.0|0|0.0|0
0|2020-04-19|88.0|0|10.0|0|0.0|0
0|2020-04-20|90.0|0|10.0|0|0.0|0
0|2020-04-21|90.0|0|12.0|0|0.0|0
0|2020-04-22|90.0|0|12.0|0|0.0|0
0|2020-04-23|90.0|0|12.0|0|0.0|0
0|2020-04-24|93.0|0|13.0|0|0.0|0
0|2020-04-25|92.0|0|15.0|0|0.0|0
0|2020-04-26|91.0|0|15.0|0|0.0|0
0|2020-04-27|94.0|0|16.0|0|0.0|0
0|2020-04-28|94.0|0|16.0|0|0.0|0
0|2020-04-29|96.0|0|16.0|0|0.0|0
0|2020-04-30|98.0|0|18.0|0|0.0|0
0|2020-05-01|108.0|0|19.0|0|0.0|0
0|2020-05-02|110.0|0|19.0|0|0.0|0
0|2020-05-03|110.0|0|22.0|0|0.0|0
0|2020-05-04|111.0|0|22.0|0|0.0|0
0|2020-05-05|115.0|0|23.0|0|0.0|0
0|2020-05-06|118.0|0|24.0|0|0.0|0
0|2020-05-07|118.0|0|24.0|0|0.0|0
0|2020-05-08|119.0|0|24.0|0|0.0|0
0|2020-05-09|122.0|0|25.0|0|0.0|0
0|2020-05-10|123.0|0|26.0|0|0.0|0
0|2020-05-11|123.0|0|26.0|0|0.0|0
0|2020-05-12|124.0|0|28.0|0|0.0|0
0|2020-05-13|124.0|0|30.0|0|0.0|0
