|dates|Jefferson_NewYork_UnitedStates.JHU_ConfirmedCases.data|Jefferson_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Jefferson_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Jefferson_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Jefferson_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Jefferson_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|6.0|0|0.0|0|0.0|0
0|2020-03-29|7.0|0|0.0|0|0.0|0
0|2020-03-30|11.0|0|0.0|0|0.0|0
0|2020-03-31|11.0|0|0.0|0|0.0|0
0|2020-04-01|12.0|0|0.0|0|0.0|0
0|2020-04-02|15.0|0|0.0|0|0.0|0
0|2020-04-03|18.0|0|0.0|0|0.0|0
0|2020-04-04|20.0|0|0.0|0|0.0|0
0|2020-04-05|26.0|0|0.0|0|0.0|0
0|2020-04-06|33.0|0|0.0|0|0.0|0
0|2020-04-07|39.0|0|0.0|0|0.0|0
0|2020-04-08|40.0|0|0.0|0|0.0|0
0|2020-04-09|42.0|0|0.0|0|0.0|0
0|2020-04-10|43.0|0|0.0|0|0.0|0
0|2020-04-11|44.0|0|0.0|0|0.0|0
0|2020-04-12|46.0|0|0.0|0|0.0|0
0|2020-04-13|46.0|0|0.0|0|0.0|0
0|2020-04-14|47.0|0|0.0|0|0.0|0
0|2020-04-15|47.0|0|0.0|0|0.0|0
0|2020-04-16|48.0|0|0.0|0|0.0|0
0|2020-04-17|50.0|0|0.0|0|0.0|0
0|2020-04-18|50.0|0|0.0|0|0.0|0
0|2020-04-19|54.0|0|0.0|0|0.0|0
0|2020-04-20|54.0|0|0.0|0|0.0|0
0|2020-04-21|54.0|0|0.0|0|0.0|0
0|2020-04-22|54.0|0|0.0|0|0.0|0
0|2020-04-23|56.0|0|0.0|0|0.0|0
0|2020-04-24|58.0|0|0.0|0|0.0|0
0|2020-04-25|59.0|0|0.0|0|0.0|0
0|2020-04-26|60.0|0|0.0|0|0.0|0
0|2020-04-27|60.0|0|0.0|0|0.0|0
0|2020-04-28|60.0|0|0.0|0|0.0|0
0|2020-04-29|60.0|0|0.0|0|0.0|0
0|2020-04-30|61.0|0|0.0|0|0.0|0
0|2020-05-01|61.0|0|0.0|0|0.0|0
0|2020-05-02|62.0|0|0.0|0|0.0|0
0|2020-05-03|62.0|0|0.0|0|0.0|0
0|2020-05-04|63.0|0|0.0|0|0.0|0
0|2020-05-05|63.0|0|0.0|0|0.0|0
0|2020-05-06|63.0|0|0.0|0|0.0|0
0|2020-05-07|64.0|0|0.0|0|0.0|0
0|2020-05-08|66.0|0|0.0|0|0.0|0
0|2020-05-09|67.0|0|0.0|0|0.0|0
0|2020-05-10|68.0|0|0.0|0|0.0|0
0|2020-05-11|68.0|0|0.0|0|0.0|0
0|2020-05-12|68.0|0|0.0|0|0.0|0
0|2020-05-13|68.0|0|0.0|0|0.0|0
