|dates|Erie_NewYork_UnitedStates.JHU_ConfirmedCases.data|Erie_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Erie_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Erie_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Erie_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Erie_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|7.0|0|0.0|0|0.0|0
0|2020-03-17|11.0|0|0.0|0|0.0|0
0|2020-03-18|20.0|0|0.0|0|0.0|0
0|2020-03-19|28.0|0|0.0|0|0.0|0
0|2020-03-20|47.0|0|0.0|0|0.0|0
0|2020-03-21|50.0|0|0.0|0|0.0|0
0|2020-03-22|56.0|0|0.0|0|0.0|0
0|2020-03-23|87.0|0|0.0|0|0.0|0
0|2020-03-24|114.0|0|0.0|0|0.0|0
0|2020-03-25|122.0|0|1.0|0|0.0|0
0|2020-03-26|206.0|0|2.0|0|0.0|0
0|2020-03-27|245.0|0|5.0|0|0.0|0
0|2020-03-28|318.0|0|6.0|0|0.0|0
0|2020-03-29|414.0|0|7.0|0|0.0|0
0|2020-03-30|443.0|0|7.0|0|0.0|0
0|2020-03-31|499.0|0|8.0|0|0.0|0
0|2020-04-01|582.0|0|11.0|0|0.0|0
0|2020-04-02|617.0|0|12.0|0|0.0|0
0|2020-04-03|734.0|0|19.0|0|0.0|0
0|2020-04-04|808.0|0|22.0|0|0.0|0
0|2020-04-05|1059.0|0|27.0|0|0.0|0
0|2020-04-06|1148.0|0|30.0|0|0.0|0
0|2020-04-07|1234.0|0|39.0|0|0.0|0
0|2020-04-08|1335.0|0|45.0|0|0.0|0
0|2020-04-09|1432.0|0|51.0|0|0.0|0
0|2020-04-10|1498.0|0|53.0|0|0.0|0
0|2020-04-11|1506.0|0|53.0|0|0.0|0
0|2020-04-12|1571.0|0|57.0|0|0.0|0
0|2020-04-13|1661.0|0|66.0|0|0.0|0
0|2020-04-14|1730.0|0|73.0|0|0.0|0
0|2020-04-15|1812.0|0|101.0|0|0.0|0
0|2020-04-16|1951.0|0|107.0|0|0.0|0
0|2020-04-17|2023.0|0|107.0|0|0.0|0
0|2020-04-18|2023.0|0|115.0|0|0.0|0
0|2020-04-19|2192.0|0|135.0|0|0.0|0
0|2020-04-20|2192.0|0|135.0|0|0.0|0
0|2020-04-21|2284.0|0|162.0|0|0.0|0
0|2020-04-22|2284.0|0|162.0|0|0.0|0
0|2020-04-23|2450.0|0|188.0|0|0.0|0
0|2020-04-24|2603.0|0|198.0|0|0.0|0
0|2020-04-25|2773.0|0|198.0|0|0.0|0
0|2020-04-26|2954.0|0|207.0|0|0.0|0
0|2020-04-27|3021.0|0|207.0|0|0.0|0
0|2020-04-28|3089.0|0|207.0|0|0.0|0
0|2020-04-29|3196.0|0|247.0|0|0.0|0
0|2020-04-30|3319.0|0|266.0|0|0.0|0
0|2020-05-01|3481.0|0|266.0|0|0.0|0
0|2020-05-02|3598.0|0|266.0|0|0.0|0
0|2020-05-03|3710.0|0|266.0|0|0.0|0
0|2020-05-04|3802.0|0|283.0|0|0.0|0
0|2020-05-05|3891.0|0|308.0|0|0.0|0
0|2020-05-06|4008.0|0|323.0|0|0.0|0
0|2020-05-07|4136.0|0|323.0|0|0.0|0
0|2020-05-08|4255.0|0|346.0|0|0.0|0
0|2020-05-09|4337.0|0|357.0|0|0.0|0
0|2020-05-10|4453.0|0|357.0|0|0.0|0
0|2020-05-11|4453.0|0|357.0|0|0.0|0
0|2020-05-12|4530.0|0|357.0|0|0.0|0
0|2020-05-13|4606.0|0|400.0|0|0.0|0
