|dates|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Brunswick_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|6.0|0|0.0|0|0.0|0
0|2020-03-23|8.0|0|0.0|0|0.0|0
0|2020-03-24|10.0|0|0.0|0|0.0|0
0|2020-03-25|10.0|0|0.0|0|0.0|0
0|2020-03-26|11.0|0|0.0|0|0.0|0
0|2020-03-27|11.0|0|0.0|0|0.0|0
0|2020-03-28|12.0|0|0.0|0|0.0|0
0|2020-03-29|12.0|0|0.0|0|0.0|0
0|2020-03-30|14.0|0|0.0|0|0.0|0
0|2020-03-31|16.0|0|0.0|0|0.0|0
0|2020-04-01|16.0|0|0.0|0|0.0|0
0|2020-04-02|23.0|0|0.0|0|0.0|0
0|2020-04-03|23.0|0|0.0|0|0.0|0
0|2020-04-04|24.0|0|1.0|0|0.0|0
0|2020-04-05|24.0|0|1.0|0|0.0|0
0|2020-04-06|26.0|0|1.0|0|0.0|0
0|2020-04-07|26.0|0|1.0|0|0.0|0
0|2020-04-08|26.0|0|1.0|0|0.0|0
0|2020-04-09|29.0|0|1.0|0|0.0|0
0|2020-04-10|30.0|0|1.0|0|0.0|0
0|2020-04-11|34.0|0|1.0|0|0.0|0
0|2020-04-12|34.0|0|1.0|0|0.0|0
0|2020-04-13|35.0|0|1.0|0|0.0|0
0|2020-04-14|35.0|0|1.0|0|0.0|0
0|2020-04-15|35.0|0|1.0|0|0.0|0
0|2020-04-16|36.0|0|2.0|0|0.0|0
0|2020-04-17|36.0|0|2.0|0|0.0|0
0|2020-04-18|36.0|0|2.0|0|0.0|0
0|2020-04-19|36.0|0|2.0|0|0.0|0
0|2020-04-20|36.0|0|2.0|0|0.0|0
0|2020-04-21|38.0|0|2.0|0|0.0|0
0|2020-04-22|38.0|0|2.0|0|0.0|0
0|2020-04-23|39.0|0|2.0|0|0.0|0
0|2020-04-24|39.0|0|2.0|0|0.0|0
0|2020-04-25|39.0|0|2.0|0|0.0|0
0|2020-04-26|40.0|0|2.0|0|0.0|0
0|2020-04-27|40.0|0|2.0|0|0.0|0
0|2020-04-28|43.0|0|2.0|0|0.0|0
0|2020-04-29|43.0|0|2.0|0|0.0|0
0|2020-04-30|43.0|0|2.0|0|0.0|0
0|2020-05-01|43.0|0|2.0|0|0.0|0
0|2020-05-02|44.0|0|2.0|0|0.0|0
0|2020-05-03|44.0|0|2.0|0|0.0|0
0|2020-05-04|47.0|0|2.0|0|0.0|0
0|2020-05-05|50.0|0|2.0|0|0.0|0
0|2020-05-06|50.0|0|2.0|0|0.0|0
0|2020-05-07|50.0|0|2.0|0|0.0|0
0|2020-05-08|50.0|0|2.0|0|0.0|0
0|2020-05-09|50.0|0|2.0|0|0.0|0
0|2020-05-10|50.0|0|2.0|0|0.0|0
0|2020-05-11|50.0|0|2.0|0|0.0|0
0|2020-05-12|51.0|0|2.0|0|0.0|0
0|2020-05-13|51.0|0|2.0|0|0.0|0
