|dates|Gunnison_Colorado_UnitedStates.JHU_ConfirmedCases.data|Gunnison_Colorado_UnitedStates.JHU_ConfirmedCases.missing|Gunnison_Colorado_UnitedStates.JHU_ConfirmedDeaths.data|Gunnison_Colorado_UnitedStates.JHU_ConfirmedDeaths.missing|Gunnison_Colorado_UnitedStates.JHU_ConfirmedRecoveries.data|Gunnison_Colorado_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|1.0|0|0.0|0|0.0|0
0|2020-03-11|5.0|0|0.0|0|0.0|0
0|2020-03-12|3.0|0|0.0|0|0.0|0
0|2020-03-13|4.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|8.0|0|0.0|0|0.0|0
0|2020-03-17|8.0|0|0.0|0|0.0|0
0|2020-03-18|11.0|0|0.0|0|0.0|0
0|2020-03-19|11.0|0|0.0|0|0.0|0
0|2020-03-20|13.0|0|0.0|0|0.0|0
0|2020-03-21|18.0|0|0.0|0|0.0|0
0|2020-03-22|22.0|0|0.0|0|0.0|0
0|2020-03-23|28.0|0|0.0|0|0.0|0
0|2020-03-24|28.0|0|0.0|0|0.0|0
0|2020-03-25|40.0|0|0.0|0|0.0|0
0|2020-03-26|57.0|0|1.0|0|0.0|0
0|2020-03-27|57.0|0|1.0|0|0.0|0
0|2020-03-28|66.0|0|1.0|0|0.0|0
0|2020-03-29|79.0|0|1.0|0|0.0|0
0|2020-03-30|79.0|0|1.0|0|0.0|0
0|2020-03-31|82.0|0|1.0|0|0.0|0
0|2020-04-01|82.0|0|1.0|0|0.0|0
0|2020-04-02|84.0|0|1.0|0|0.0|0
0|2020-04-03|86.0|0|1.0|0|0.0|0
0|2020-04-04|88.0|0|1.0|0|0.0|0
0|2020-04-05|93.0|0|1.0|0|0.0|0
0|2020-04-06|95.0|0|1.0|0|0.0|0
0|2020-04-07|95.0|0|1.0|0|0.0|0
0|2020-04-08|98.0|0|1.0|0|0.0|0
0|2020-04-09|98.0|0|1.0|0|0.0|0
0|2020-04-10|99.0|0|1.0|0|0.0|0
0|2020-04-11|101.0|0|1.0|0|0.0|0
0|2020-04-12|101.0|0|3.0|0|0.0|0
0|2020-04-13|99.0|0|3.0|0|0.0|0
0|2020-04-14|99.0|0|3.0|0|0.0|0
0|2020-04-15|99.0|0|3.0|0|0.0|0
0|2020-04-16|104.0|0|3.0|0|0.0|0
0|2020-04-17|111.0|0|3.0|0|0.0|0
0|2020-04-18|112.0|0|3.0|0|0.0|0
0|2020-04-19|114.0|0|3.0|0|0.0|0
0|2020-04-20|114.0|0|3.0|0|0.0|0
0|2020-04-21|121.0|0|3.0|0|0.0|0
0|2020-04-22|121.0|0|4.0|0|0.0|0
0|2020-04-23|121.0|0|4.0|0|0.0|0
0|2020-04-24|123.0|0|4.0|0|0.0|0
0|2020-04-25|151.0|0|4.0|0|0.0|0
0|2020-04-26|158.0|0|4.0|0|0.0|0
0|2020-04-27|158.0|0|4.0|0|0.0|0
0|2020-04-28|161.0|0|4.0|0|0.0|0
0|2020-04-29|161.0|0|4.0|0|0.0|0
0|2020-04-30|166.0|0|5.0|0|0.0|0
0|2020-05-01|166.0|0|5.0|0|0.0|0
0|2020-05-02|165.0|0|5.0|0|0.0|0
0|2020-05-03|165.0|0|5.0|0|0.0|0
0|2020-05-04|168.0|0|5.0|0|0.0|0
0|2020-05-05|168.0|0|5.0|0|0.0|0
0|2020-05-06|172.0|0|6.0|0|0.0|0
0|2020-05-07|173.0|0|6.0|0|0.0|0
0|2020-05-08|173.0|0|6.0|0|0.0|0
0|2020-05-09|173.0|0|6.0|0|0.0|0
0|2020-05-10|173.0|0|6.0|0|0.0|0
0|2020-05-11|173.0|0|6.0|0|0.0|0
0|2020-05-12|174.0|0|6.0|0|0.0|0
0|2020-05-13|180.0|0|6.0|0|0.0|0
