|dates|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Mecklenburg_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|2.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|4.0|0|0.0|0|0.0|0
0|2020-03-16|7.0|0|0.0|0|0.0|0
0|2020-03-17|11.0|0|0.0|0|0.0|0
0|2020-03-18|14.0|0|0.0|0|0.0|0
0|2020-03-19|30.0|0|0.0|0|0.0|0
0|2020-03-20|43.0|0|0.0|0|0.0|0
0|2020-03-21|77.0|0|0.0|0|0.0|0
0|2020-03-22|77.0|0|0.0|0|0.0|0
0|2020-03-23|97.0|0|0.0|0|0.0|0
0|2020-03-24|142.0|0|0.0|0|0.0|0
0|2020-03-25|170.0|0|0.0|0|0.0|0
0|2020-03-26|204.0|0|0.0|0|0.0|0
0|2020-03-27|259.0|0|0.0|0|0.0|0
0|2020-03-28|299.0|0|0.0|0|0.0|0
0|2020-03-29|336.0|0|1.0|0|0.0|0
0|2020-03-30|382.0|0|1.0|0|0.0|0
0|2020-03-31|420.0|0|1.0|0|0.0|0
0|2020-04-01|444.0|0|1.0|0|0.0|0
0|2020-04-02|533.0|0|3.0|0|0.0|0
0|2020-04-03|601.0|0|3.0|0|0.0|0
0|2020-04-04|650.0|0|4.0|0|0.0|0
0|2020-04-05|664.0|0|4.0|0|0.0|0
0|2020-04-06|741.0|0|7.0|0|0.0|0
0|2020-04-07|810.0|0|7.0|0|0.0|0
0|2020-04-08|848.0|0|10.0|0|0.0|0
0|2020-04-09|861.0|0|10.0|0|0.0|0
0|2020-04-10|906.0|0|10.0|0|0.0|0
0|2020-04-11|935.0|0|12.0|0|0.0|0
0|2020-04-12|954.0|0|12.0|0|0.0|0
0|2020-04-13|970.0|0|12.0|0|0.0|0
0|2020-04-14|993.0|0|15.0|0|0.0|0
0|2020-04-15|1015.0|0|16.0|0|0.0|0
0|2020-04-16|1098.0|0|21.0|0|0.0|0
0|2020-04-17|1136.0|0|24.0|0|0.0|0
0|2020-04-18|1153.0|0|24.0|0|0.0|0
0|2020-04-19|1183.0|0|29.0|0|0.0|0
0|2020-04-20|1231.0|0|36.0|0|0.0|0
0|2020-04-21|1255.0|0|36.0|0|0.0|0
0|2020-04-22|1331.0|0|36.0|0|0.0|0
0|2020-04-23|1377.0|0|37.0|0|0.0|0
0|2020-04-24|1407.0|0|37.0|0|0.0|0
0|2020-04-25|1450.0|0|41.0|0|0.0|0
0|2020-04-26|1482.0|0|41.0|0|0.0|0
0|2020-04-27|1492.0|0|43.0|0|0.0|0
0|2020-04-28|1519.0|0|43.0|0|0.0|0
0|2020-04-29|1567.0|0|43.0|0|0.0|0
0|2020-04-30|1627.0|0|47.0|0|0.0|0
0|2020-05-01|1651.0|0|49.0|0|0.0|0
0|2020-05-02|1699.0|0|49.0|0|0.0|0
0|2020-05-03|1724.0|0|49.0|0|0.0|0
0|2020-05-04|1734.0|0|51.0|0|0.0|0
0|2020-05-05|1787.0|0|57.0|0|0.0|0
0|2020-05-06|1870.0|0|58.0|0|0.0|0
0|2020-05-07|1922.0|0|58.0|0|0.0|0
0|2020-05-08|1989.0|0|58.0|0|0.0|0
0|2020-05-09|2043.0|0|61.0|0|0.0|0
0|2020-05-10|2074.0|0|61.0|0|0.0|0
0|2020-05-11|2074.0|0|61.0|0|0.0|0
0|2020-05-12|2158.0|0|63.0|0|0.0|0
0|2020-05-13|2283.0|0|63.0|0|0.0|0
