|dates|Dallas_Alabama_UnitedStates.JHU_ConfirmedCases.data|Dallas_Alabama_UnitedStates.JHU_ConfirmedCases.missing|Dallas_Alabama_UnitedStates.JHU_ConfirmedDeaths.data|Dallas_Alabama_UnitedStates.JHU_ConfirmedDeaths.missing|Dallas_Alabama_UnitedStates.JHU_ConfirmedRecoveries.data|Dallas_Alabama_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|2.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|2.0|0|0.0|0|0.0|0
0|2020-03-29|2.0|0|0.0|0|0.0|0
0|2020-03-30|2.0|0|0.0|0|0.0|0
0|2020-03-31|2.0|0|0.0|0|0.0|0
0|2020-04-01|2.0|0|0.0|0|0.0|0
0|2020-04-02|4.0|0|0.0|0|0.0|0
0|2020-04-03|7.0|0|0.0|0|0.0|0
0|2020-04-04|7.0|0|0.0|0|0.0|0
0|2020-04-05|7.0|0|0.0|0|0.0|0
0|2020-04-06|7.0|0|0.0|0|0.0|0
0|2020-04-07|7.0|0|0.0|0|0.0|0
0|2020-04-08|7.0|0|0.0|0|0.0|0
0|2020-04-09|7.0|0|0.0|0|0.0|0
0|2020-04-10|11.0|0|0.0|0|0.0|0
0|2020-04-11|10.0|0|0.0|0|0.0|0
0|2020-04-12|14.0|0|0.0|0|0.0|0
0|2020-04-13|14.0|0|0.0|0|0.0|0
0|2020-04-14|17.0|0|0.0|0|0.0|0
0|2020-04-15|18.0|0|2.0|0|0.0|0
0|2020-04-16|21.0|0|2.0|0|0.0|0
0|2020-04-17|21.0|0|2.0|0|0.0|0
0|2020-04-18|22.0|0|2.0|0|0.0|0
0|2020-04-19|25.0|0|2.0|0|0.0|0
0|2020-04-20|26.0|0|2.0|0|0.0|0
0|2020-04-21|29.0|0|2.0|0|0.0|0
0|2020-04-22|30.0|0|2.0|0|0.0|0
0|2020-04-23|29.0|0|2.0|0|0.0|0
0|2020-04-24|32.0|0|2.0|0|0.0|0
0|2020-04-25|32.0|0|2.0|0|0.0|0
0|2020-04-26|33.0|0|2.0|0|0.0|0
0|2020-04-27|37.0|0|3.0|0|0.0|0
0|2020-04-28|37.0|0|3.0|0|0.0|0
0|2020-04-29|37.0|0|3.0|0|0.0|0
0|2020-04-30|41.0|0|3.0|0|0.0|0
0|2020-05-01|42.0|0|3.0|0|0.0|0
0|2020-05-02|49.0|0|3.0|0|0.0|0
0|2020-05-03|59.0|0|3.0|0|0.0|0
0|2020-05-04|65.0|0|3.0|0|0.0|0
0|2020-05-05|68.0|0|3.0|0|0.0|0
0|2020-05-06|76.0|0|3.0|0|0.0|0
0|2020-05-07|83.0|0|3.0|0|0.0|0
0|2020-05-08|95.0|0|3.0|0|0.0|0
0|2020-05-09|102.0|0|3.0|0|0.0|0
0|2020-05-10|108.0|0|3.0|0|0.0|0
0|2020-05-11|108.0|0|3.0|0|0.0|0
0|2020-05-12|124.0|0|3.0|0|0.0|0
0|2020-05-13|129.0|0|3.0|0|0.0|0
