|dates|LosAngeles_California_UnitedStates.JHU_ConfirmedCases.data|LosAngeles_California_UnitedStates.JHU_ConfirmedCases.missing|LosAngeles_California_UnitedStates.JHU_ConfirmedDeaths.data|LosAngeles_California_UnitedStates.JHU_ConfirmedDeaths.missing|LosAngeles_California_UnitedStates.JHU_ConfirmedRecoveries.data|LosAngeles_California_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|1.0|0|0.0|0|0.0|0
0|2020-02-09|1.0|0|0.0|0|0.0|0
0|2020-02-10|1.0|0|0.0|0|0.0|0
0|2020-02-11|1.0|0|0.0|0|0.0|0
0|2020-02-12|1.0|0|0.0|0|0.0|0
0|2020-02-13|1.0|0|0.0|0|0.0|0
0|2020-02-14|1.0|0|0.0|0|0.0|0
0|2020-02-15|1.0|0|0.0|0|0.0|0
0|2020-02-16|1.0|0|0.0|0|0.0|0
0|2020-02-17|1.0|0|0.0|0|0.0|0
0|2020-02-18|1.0|0|0.0|0|0.0|0
0|2020-02-19|1.0|0|0.0|0|0.0|0
0|2020-02-20|1.0|0|0.0|0|0.0|0
0|2020-02-21|1.0|0|0.0|0|0.0|0
0|2020-02-22|1.0|0|0.0|0|0.0|0
0|2020-02-23|1.0|0|0.0|0|0.0|0
0|2020-02-24|1.0|0|0.0|0|0.0|0
0|2020-02-25|1.0|0|0.0|0|0.0|0
0|2020-02-26|1.0|0|0.0|0|0.0|0
0|2020-02-27|1.0|0|0.0|0|0.0|0
0|2020-02-28|1.0|0|0.0|0|0.0|0
0|2020-02-29|1.0|0|0.0|0|0.0|0
0|2020-03-01|1.0|0|0.0|0|0.0|0
0|2020-03-02|1.0|0|0.0|0|0.0|0
0|2020-03-03|1.0|0|0.0|0|0.0|0
0|2020-03-04|7.0|0|0.0|0|0.0|0
0|2020-03-05|11.0|0|0.0|0|0.0|0
0|2020-03-06|13.0|0|0.0|0|0.0|0
0|2020-03-07|14.0|0|0.0|0|0.0|0
0|2020-03-08|14.0|0|0.0|0|0.0|0
0|2020-03-09|14.0|0|0.0|0|0.0|0
0|2020-03-10|20.0|0|0.0|0|0.0|0
0|2020-03-11|27.0|0|1.0|0|0.0|0
0|2020-03-12|32.0|0|1.0|0|0.0|0
0|2020-03-13|40.0|0|1.0|0|0.0|0
0|2020-03-14|53.0|0|1.0|0|0.0|0
0|2020-03-15|53.0|0|1.0|0|0.0|0
0|2020-03-16|94.0|0|1.0|0|0.0|0
0|2020-03-17|144.0|0|1.0|0|0.0|0
0|2020-03-18|190.0|0|1.0|0|0.0|0
0|2020-03-19|231.0|0|2.0|0|0.0|0
0|2020-03-20|292.0|0|2.0|0|0.0|0
0|2020-03-21|292.0|0|2.0|0|0.0|0
0|2020-03-22|407.0|0|5.0|0|0.0|0
0|2020-03-23|536.0|0|7.0|0|0.0|0
0|2020-03-24|662.0|0|11.0|0|0.0|0
0|2020-03-25|812.0|0|13.0|0|0.0|0
0|2020-03-26|1229.0|0|21.0|0|0.0|0
0|2020-03-27|1465.0|0|26.0|0|0.0|0
0|2020-03-28|1465.0|0|26.0|0|0.0|0
0|2020-03-29|1829.0|0|32.0|0|0.0|0
0|2020-03-30|2474.0|0|44.0|0|0.0|0
0|2020-03-31|3019.0|0|54.0|0|0.0|0
0|2020-04-01|3518.0|0|64.0|0|0.0|0
0|2020-04-02|4045.0|0|78.0|0|0.0|0
0|2020-04-03|4566.0|0|89.0|0|0.0|0
0|2020-04-04|4605.0|0|93.0|0|0.0|0
0|2020-04-05|5955.0|0|132.0|0|0.0|0
0|2020-04-06|6377.0|0|147.0|0|0.0|0
0|2020-04-07|6936.0|0|169.0|0|0.0|0
0|2020-04-08|7559.0|0|198.0|0|0.0|0
0|2020-04-09|7955.0|0|223.0|0|0.0|0
0|2020-04-10|8443.0|0|242.0|0|0.0|0
0|2020-04-11|8453.0|0|244.0|0|0.0|0
0|2020-04-12|8894.0|0|269.0|0|0.0|0
0|2020-04-13|9433.0|0|322.0|0|0.0|0
0|2020-04-14|10047.0|0|360.0|0|0.0|0
0|2020-04-15|10517.0|0|405.0|0|0.0|0
0|2020-04-16|10854.0|0|457.0|0|0.0|0
0|2020-04-17|11400.0|0|497.0|0|0.0|0
0|2020-04-18|12021.0|0|576.0|0|0.0|0
0|2020-04-19|12341.0|0|600.0|0|0.0|0
0|2020-04-20|13823.0|0|619.0|0|0.0|0
0|2020-04-21|15153.0|0|663.0|0|0.0|0
0|2020-04-22|16447.0|0|732.0|0|0.0|0
0|2020-04-23|17537.0|0|797.0|0|0.0|0
0|2020-04-24|18545.0|0|850.0|0|0.0|0
0|2020-04-25|19133.0|0|895.0|0|0.0|0
0|2020-04-26|19567.0|0|916.0|0|0.0|0
0|2020-04-27|20423.0|0|944.0|0|0.0|0
0|2020-04-28|20996.0|0|1002.0|0|0.0|0
0|2020-04-29|22485.0|0|1056.0|0|0.0|0
0|2020-04-30|23220.0|0|1111.0|0|0.0|0
0|2020-05-01|24262.0|0|1174.0|0|0.0|0
0|2020-05-02|24894.0|0|1209.0|0|0.0|0
0|2020-05-03|25699.0|0|1231.0|0|0.0|0
0|2020-05-04|26225.0|0|1257.0|0|0.0|0
0|2020-05-05|27836.0|0|1315.0|0|0.0|0
0|2020-05-06|28665.0|0|1369.0|0|0.0|0
0|2020-05-07|29511.0|0|1418.0|0|0.0|0
0|2020-05-08|30319.0|0|1470.0|0|0.0|0
0|2020-05-09|31241.0|0|1515.0|0|0.0|0
0|2020-05-10|31703.0|0|1531.0|0|0.0|0
0|2020-05-11|31703.0|0|1531.0|0|0.0|0
0|2020-05-12|33211.0|0|1616.0|0|0.0|0
0|2020-05-13|34538.0|0|1660.0|0|0.0|0
