|dates|Washington_Louisiana_UnitedStates.JHU_ConfirmedCases.data|Washington_Louisiana_UnitedStates.JHU_ConfirmedCases.missing|Washington_Louisiana_UnitedStates.JHU_ConfirmedDeaths.data|Washington_Louisiana_UnitedStates.JHU_ConfirmedDeaths.missing|Washington_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.data|Washington_Louisiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|1.0|0|0.0|0
0|2020-03-24|3.0|0|1.0|0|0.0|0
0|2020-03-25|4.0|0|1.0|0|0.0|0
0|2020-03-26|6.0|0|1.0|0|0.0|0
0|2020-03-27|8.0|0|1.0|0|0.0|0
0|2020-03-28|10.0|0|1.0|0|0.0|0
0|2020-03-29|12.0|0|1.0|0|0.0|0
0|2020-03-30|22.0|0|1.0|0|0.0|0
0|2020-03-31|28.0|0|1.0|0|0.0|0
0|2020-04-01|39.0|0|2.0|0|0.0|0
0|2020-04-02|50.0|0|2.0|0|0.0|0
0|2020-04-03|57.0|0|2.0|0|0.0|0
0|2020-04-04|75.0|0|2.0|0|0.0|0
0|2020-04-05|81.0|0|2.0|0|0.0|0
0|2020-04-06|92.0|0|2.0|0|0.0|0
0|2020-04-07|100.0|0|2.0|0|0.0|0
0|2020-04-08|106.0|0|5.0|0|0.0|0
0|2020-04-09|119.0|0|8.0|0|0.0|0
0|2020-04-10|136.0|0|7.0|0|0.0|0
0|2020-04-11|142.0|0|7.0|0|0.0|0
0|2020-04-12|147.0|0|7.0|0|0.0|0
0|2020-04-13|156.0|0|8.0|0|0.0|0
0|2020-04-14|162.0|0|9.0|0|0.0|0
0|2020-04-15|173.0|0|10.0|0|0.0|0
0|2020-04-16|179.0|0|10.0|0|0.0|0
0|2020-04-17|184.0|0|11.0|0|0.0|0
0|2020-04-18|188.0|0|11.0|0|0.0|0
0|2020-04-19|191.0|0|11.0|0|0.0|0
0|2020-04-20|195.0|0|11.0|0|0.0|0
0|2020-04-21|206.0|0|13.0|0|0.0|0
0|2020-04-22|214.0|0|13.0|0|0.0|0
0|2020-04-23|225.0|0|13.0|0|0.0|0
0|2020-04-24|232.0|0|14.0|0|0.0|0
0|2020-04-25|241.0|0|14.0|0|0.0|0
0|2020-04-26|245.0|0|14.0|0|0.0|0
0|2020-04-27|253.0|0|18.0|0|0.0|0
0|2020-04-28|256.0|0|18.0|0|0.0|0
0|2020-04-29|261.0|0|18.0|0|0.0|0
0|2020-04-30|262.0|0|18.0|0|0.0|0
0|2020-05-01|273.0|0|21.0|0|0.0|0
0|2020-05-02|282.0|0|21.0|0|0.0|0
0|2020-05-03|285.0|0|21.0|0|0.0|0
0|2020-05-04|291.0|0|21.0|0|0.0|0
0|2020-05-05|292.0|0|23.0|0|0.0|0
0|2020-05-06|298.0|0|24.0|0|0.0|0
0|2020-05-07|308.0|0|24.0|0|0.0|0
0|2020-05-08|312.0|0|24.0|0|0.0|0
0|2020-05-09|335.0|0|26.0|0|0.0|0
0|2020-05-10|337.0|0|26.0|0|0.0|0
0|2020-05-11|337.0|0|26.0|0|0.0|0
0|2020-05-12|347.0|0|26.0|0|0.0|0
0|2020-05-13|350.0|0|29.0|0|0.0|0
