|dates|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Hunterdon_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|6.0|0|0.0|0|0.0|0
0|2020-03-19|8.0|0|0.0|0|0.0|0
0|2020-03-20|11.0|0|0.0|0|0.0|0
0|2020-03-21|14.0|0|0.0|0|0.0|0
0|2020-03-22|16.0|0|0.0|0|0.0|0
0|2020-03-23|18.0|0|0.0|0|0.0|0
0|2020-03-24|25.0|0|0.0|0|0.0|0
0|2020-03-25|25.0|0|0.0|0|0.0|0
0|2020-03-26|39.0|0|0.0|0|0.0|0
0|2020-03-27|52.0|0|0.0|0|0.0|0
0|2020-03-28|61.0|0|0.0|0|0.0|0
0|2020-03-29|66.0|0|0.0|0|0.0|0
0|2020-03-30|79.0|0|0.0|0|0.0|0
0|2020-03-31|97.0|0|0.0|0|0.0|0
0|2020-04-01|117.0|0|0.0|0|0.0|0
0|2020-04-02|130.0|0|0.0|0|0.0|0
0|2020-04-03|148.0|0|0.0|0|0.0|0
0|2020-04-04|171.0|0|1.0|0|0.0|0
0|2020-04-05|189.0|0|2.0|0|0.0|0
0|2020-04-06|211.0|0|2.0|0|0.0|0
0|2020-04-07|234.0|0|2.0|0|0.0|0
0|2020-04-08|255.0|0|2.0|0|0.0|0
0|2020-04-09|286.0|0|4.0|0|0.0|0
0|2020-04-10|293.0|0|7.0|0|0.0|0
0|2020-04-11|301.0|0|11.0|0|0.0|0
0|2020-04-12|314.0|0|11.0|0|0.0|0
0|2020-04-13|325.0|0|11.0|0|0.0|0
0|2020-04-14|349.0|0|11.0|0|0.0|0
0|2020-04-15|356.0|0|14.0|0|0.0|0
0|2020-04-16|373.0|0|15.0|0|0.0|0
0|2020-04-17|385.0|0|16.0|0|0.0|0
0|2020-04-18|391.0|0|17.0|0|0.0|0
0|2020-04-19|407.0|0|18.0|0|0.0|0
0|2020-04-20|419.0|0|18.0|0|0.0|0
0|2020-04-21|423.0|0|18.0|0|0.0|0
0|2020-04-22|434.0|0|21.0|0|0.0|0
0|2020-04-23|464.0|0|22.0|0|0.0|0
0|2020-04-24|490.0|0|22.0|0|0.0|0
0|2020-04-25|505.0|0|23.0|0|0.0|0
0|2020-04-26|536.0|0|23.0|0|0.0|0
0|2020-04-27|564.0|0|23.0|0|0.0|0
0|2020-04-28|573.0|0|24.0|0|0.0|0
0|2020-04-29|583.0|0|24.0|0|0.0|0
0|2020-04-30|603.0|0|29.0|0|0.0|0
0|2020-05-01|608.0|0|31.0|0|0.0|0
0|2020-05-02|622.0|0|35.0|0|0.0|0
0|2020-05-03|661.0|0|37.0|0|0.0|0
0|2020-05-04|665.0|0|37.0|0|0.0|0
0|2020-05-05|679.0|0|38.0|0|0.0|0
0|2020-05-06|682.0|0|39.0|0|0.0|0
0|2020-05-07|685.0|0|43.0|0|0.0|0
0|2020-05-08|701.0|0|44.0|0|0.0|0
0|2020-05-09|706.0|0|46.0|0|0.0|0
0|2020-05-10|714.0|0|46.0|0|0.0|0
0|2020-05-11|714.0|0|46.0|0|0.0|0
0|2020-05-12|729.0|0|45.0|0|0.0|0
0|2020-05-13|732.0|0|47.0|0|0.0|0
