|dates|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Milwaukee_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|6.0|0|0.0|0|0.0|0
0|2020-03-15|6.0|0|0.0|0|0.0|0
0|2020-03-16|13.0|0|0.0|0|0.0|0
0|2020-03-17|24.0|0|0.0|0|0.0|0
0|2020-03-18|47.0|0|0.0|0|0.0|0
0|2020-03-19|62.0|0|0.0|0|0.0|0
0|2020-03-20|95.0|0|1.0|0|0.0|0
0|2020-03-21|126.0|0|2.0|0|0.0|0
0|2020-03-22|182.0|0|2.0|0|0.0|0
0|2020-03-23|204.0|0|3.0|0|0.0|0
0|2020-03-24|243.0|0|3.0|0|0.0|0
0|2020-03-25|325.0|0|4.0|0|0.0|0
0|2020-03-26|347.0|0|7.0|0|0.0|0
0|2020-03-27|411.0|0|8.0|0|0.0|0
0|2020-03-28|541.0|0|9.0|0|0.0|0
0|2020-03-29|606.0|0|10.0|0|0.0|0
0|2020-03-30|617.0|0|10.0|0|0.0|0
0|2020-03-31|710.0|0|11.0|0|0.0|0
0|2020-04-01|780.0|0|12.0|0|0.0|0
0|2020-04-02|869.0|0|16.0|0|0.0|0
0|2020-04-03|1023.0|0|24.0|0|0.0|0
0|2020-04-04|1023.0|0|24.0|0|0.0|0
0|2020-04-05|1190.0|0|39.0|0|0.0|0
0|2020-04-06|1256.0|0|40.0|0|0.0|0
0|2020-04-07|1323.0|0|49.0|0|0.0|0
0|2020-04-08|1416.0|0|56.0|0|0.0|0
0|2020-04-09|1484.0|0|65.0|0|0.0|0
0|2020-04-10|1575.0|0|77.0|0|0.0|0
0|2020-04-11|1653.0|0|85.0|0|0.0|0
0|2020-04-12|1710.0|0|88.0|0|0.0|0
0|2020-04-13|1743.0|0|94.0|0|0.0|0
0|2020-04-14|1795.0|0|101.0|0|0.0|0
0|2020-04-15|1870.0|0|105.0|0|0.0|0
0|2020-04-16|1947.0|0|114.0|0|0.0|0
0|2020-04-17|2013.0|0|120.0|0|0.0|0
0|2020-04-18|2065.0|0|122.0|0|0.0|0
0|2020-04-19|2150.0|0|125.0|0|0.0|0
0|2020-04-20|2191.0|0|132.0|0|0.0|0
0|2020-04-21|2234.0|0|139.0|0|0.0|0
0|2020-04-22|2304.0|0|142.0|0|0.0|0
0|2020-04-23|2382.0|0|150.0|0|0.0|0
0|2020-04-24|2431.0|0|154.0|0|0.0|0
0|2020-04-25|2525.0|0|157.0|0|0.0|0
0|2020-04-26|2629.0|0|162.0|0|0.0|0
0|2020-04-27|2674.0|0|167.0|0|0.0|0
0|2020-04-28|2722.0|0|174.0|0|0.0|0
0|2020-04-29|2815.0|0|177.0|0|0.0|0
0|2020-04-30|2940.0|0|181.0|0|0.0|0
0|2020-05-01|3044.0|0|186.0|0|0.0|0
0|2020-05-02|3147.0|0|191.0|0|0.0|0
0|2020-05-03|3244.0|0|195.0|0|0.0|0
0|2020-05-04|3296.0|0|195.0|0|0.0|0
0|2020-05-05|3353.0|0|201.0|0|0.0|0
0|2020-05-06|3469.0|0|204.0|0|0.0|0
0|2020-05-07|3573.0|0|212.0|0|0.0|0
0|2020-05-08|3722.0|0|219.0|0|0.0|0
0|2020-05-09|3854.0|0|224.0|0|0.0|0
0|2020-05-10|3952.0|0|225.0|0|0.0|0
0|2020-05-11|3952.0|0|225.0|0|0.0|0
0|2020-05-12|4069.0|0|235.0|0|0.0|0
0|2020-05-13|4215.0|0|236.0|0|0.0|0
