|dates|Winona_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Winona_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Winona_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Winona_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Winona_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Winona_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|5.0|0|0.0|0|0.0|0
0|2020-03-31|10.0|0|0.0|0|0.0|0
0|2020-04-01|10.0|0|0.0|0|0.0|0
0|2020-04-02|11.0|0|0.0|0|0.0|0
0|2020-04-03|11.0|0|0.0|0|0.0|0
0|2020-04-04|13.0|0|1.0|0|0.0|0
0|2020-04-05|14.0|0|2.0|0|0.0|0
0|2020-04-06|14.0|0|2.0|0|0.0|0
0|2020-04-07|16.0|0|3.0|0|0.0|0
0|2020-04-08|19.0|0|4.0|0|0.0|0
0|2020-04-09|20.0|0|5.0|0|0.0|0
0|2020-04-10|26.0|0|5.0|0|0.0|0
0|2020-04-11|26.0|0|5.0|0|0.0|0
0|2020-04-12|30.0|0|6.0|0|0.0|0
0|2020-04-13|30.0|0|6.0|0|0.0|0
0|2020-04-14|30.0|0|6.0|0|0.0|0
0|2020-04-15|51.0|0|6.0|0|0.0|0
0|2020-04-16|51.0|0|6.0|0|0.0|0
0|2020-04-17|56.0|0|8.0|0|0.0|0
0|2020-04-18|57.0|0|8.0|0|0.0|0
0|2020-04-19|61.0|0|10.0|0|0.0|0
0|2020-04-20|61.0|0|10.0|0|0.0|0
0|2020-04-21|61.0|0|10.0|0|0.0|0
0|2020-04-22|61.0|0|10.0|0|0.0|0
0|2020-04-23|62.0|0|13.0|0|0.0|0
0|2020-04-24|64.0|0|13.0|0|0.0|0
0|2020-04-25|66.0|0|13.0|0|0.0|0
0|2020-04-26|66.0|0|13.0|0|0.0|0
0|2020-04-27|66.0|0|14.0|0|0.0|0
0|2020-04-28|66.0|0|14.0|0|0.0|0
0|2020-04-29|66.0|0|14.0|0|0.0|0
0|2020-04-30|66.0|0|15.0|0|0.0|0
0|2020-05-01|66.0|0|15.0|0|0.0|0
0|2020-05-02|67.0|0|15.0|0|0.0|0
0|2020-05-03|67.0|0|15.0|0|0.0|0
0|2020-05-04|67.0|0|15.0|0|0.0|0
0|2020-05-05|68.0|0|15.0|0|0.0|0
0|2020-05-06|68.0|0|15.0|0|0.0|0
0|2020-05-07|68.0|0|15.0|0|0.0|0
0|2020-05-08|68.0|0|15.0|0|0.0|0
0|2020-05-09|70.0|0|15.0|0|0.0|0
0|2020-05-10|71.0|0|15.0|0|0.0|0
0|2020-05-11|71.0|0|15.0|0|0.0|0
0|2020-05-12|71.0|0|15.0|0|0.0|0
0|2020-05-13|72.0|0|15.0|0|0.0|0
