|dates|Avery_NorthCarolina_UnitedStates.JHU_ConfirmedCases.data|Avery_NorthCarolina_UnitedStates.JHU_ConfirmedCases.missing|Avery_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.data|Avery_NorthCarolina_UnitedStates.JHU_ConfirmedDeaths.missing|Avery_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.data|Avery_NorthCarolina_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|1.0|0|0.0|0|0.0|0
0|2020-03-04|1.0|0|0.0|0|0.0|0
0|2020-03-05|1.0|0|0.0|0|0.0|0
0|2020-03-06|2.0|0|0.0|0|0.0|0
0|2020-03-07|2.0|0|0.0|0|0.0|0
0|2020-03-08|2.0|0|0.0|0|0.0|0
0|2020-03-09|2.0|0|0.0|0|0.0|0
0|2020-03-10|7.0|0|0.0|0|0.0|0
0|2020-03-11|7.0|0|0.0|0|0.0|0
0|2020-03-12|15.0|0|0.0|0|0.0|0
0|2020-03-13|17.0|0|0.0|0|0.0|0
0|2020-03-14|25.0|0|0.0|0|0.0|0
0|2020-03-15|32.0|0|0.0|0|0.0|0
0|2020-03-16|39.0|0|0.0|0|0.0|0
0|2020-03-17|64.0|0|0.0|0|0.0|0
0|2020-03-18|92.0|0|0.0|0|0.0|0
0|2020-03-19|136.0|0|0.0|0|0.0|0
0|2020-03-20|189.0|0|0.0|0|0.0|0
0|2020-03-21|256.0|0|0.0|0|0.0|0
0|2020-03-22|305.0|0|0.0|0|0.0|0
0|2020-03-23|353.0|0|0.0|0|0.0|0
0|2020-03-24|495.0|0|0.0|0|0.0|0
0|2020-03-25|590.0|0|2.0|0|0.0|0
0|2020-03-26|738.0|0|3.0|0|0.0|0
0|2020-03-27|887.0|0|4.0|0|0.0|0
0|2020-03-28|1020.0|0|5.0|0|0.0|0
0|2020-03-29|1191.0|0|7.0|0|0.0|0
0|2020-03-30|1313.0|0|7.0|0|0.0|0
0|2020-03-31|1535.0|0|12.0|0|0.0|0
0|2020-04-01|1675.0|0|14.0|0|0.0|0
0|2020-04-02|1977.0|0|21.0|0|0.0|0
0|2020-04-03|2251.0|0|27.0|0|0.0|0
0|2020-04-04|2486.0|0|34.0|0|0.0|0
0|2020-04-05|2649.0|0|38.0|0|0.0|0
0|2020-04-06|2962.0|0|45.0|0|0.0|0
0|2020-04-07|3299.0|0|53.0|0|0.0|0
0|2020-04-08|3499.0|0|66.0|0|0.0|0
0|2020-04-09|3736.0|0|76.0|0|0.0|0
0|2020-04-10|3965.0|0|83.0|0|0.0|0
0|2020-04-11|4355.0|0|89.0|0|0.0|0
0|2020-04-12|4571.0|0|89.0|0|0.0|0
0|2020-04-13|4887.0|0|94.0|0|0.0|0
0|2020-04-14|5114.0|0|112.0|0|0.0|0
0|2020-04-15|5341.0|0|130.0|0|0.0|0
0|2020-04-16|5640.0|0|150.0|0|0.0|0
0|2020-04-17|6046.0|0|177.0|0|0.0|0
0|2020-04-18|6329.0|0|187.0|0|0.0|0
0|2020-04-19|6602.0|0|200.0|0|0.0|0
0|2020-04-20|6896.0|0|218.0|0|0.0|0
0|2020-04-21|7135.0|0|245.0|0|0.0|0
0|2020-04-22|7496.0|0|265.0|0|0.0|0
0|2020-04-23|7821.0|0|281.0|0|0.0|0
0|2020-04-24|8291.0|0|294.0|0|0.0|0
0|2020-04-25|8769.0|0|305.0|0|0.0|0
0|2020-04-26|8998.0|0|324.0|0|0.0|0
0|2020-04-27|9429.0|0|340.0|0|0.0|0
0|2020-04-28|9756.0|0|363.0|0|0.0|0
0|2020-04-29|10180.0|0|382.0|0|0.0|0
0|2020-04-30|10754.0|0|406.0|0|0.0|0
0|2020-05-01|11070.0|0|419.0|0|0.0|0
0|2020-05-02|11588.0|0|431.0|0|0.0|0
0|2020-05-03|11770.0|0|434.0|0|0.0|0
0|2020-05-04|11971.0|0|442.0|0|0.0|0
0|2020-05-05|12510.0|0|472.0|0|0.0|0
0|2020-05-06|12510.0|0|472.0|0|0.0|0
0|2020-05-07|12510.0|0|472.0|0|0.0|0
0|2020-05-08|12510.0|0|472.0|0|0.0|0
0|2020-05-09|12510.0|0|472.0|0|0.0|0
0|2020-05-10|12510.0|0|472.0|0|0.0|0
0|2020-05-11|12510.0|0|472.0|0|0.0|0
0|2020-05-12|12510.0|0|472.0|0|0.0|0
0|2020-05-13|12510.0|0|472.0|0|0.0|0
