|dates|St.Charles_Missouri_UnitedStates.JHU_ConfirmedCases.data|St.Charles_Missouri_UnitedStates.JHU_ConfirmedCases.missing|St.Charles_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|St.Charles_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|St.Charles_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|St.Charles_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|3.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|8.0|0|0.0|0|0.0|0
0|2020-03-25|12.0|0|1.0|0|0.0|0
0|2020-03-26|24.0|0|1.0|0|0.0|0
0|2020-03-27|32.0|0|1.0|0|0.0|0
0|2020-03-28|37.0|0|1.0|0|0.0|0
0|2020-03-29|43.0|0|2.0|0|0.0|0
0|2020-03-30|56.0|0|2.0|0|0.0|0
0|2020-03-31|71.0|0|2.0|0|0.0|0
0|2020-04-01|93.0|0|2.0|0|0.0|0
0|2020-04-02|105.0|0|4.0|0|0.0|0
0|2020-04-03|105.0|0|4.0|0|0.0|0
0|2020-04-04|151.0|0|4.0|0|0.0|0
0|2020-04-05|151.0|0|7.0|0|0.0|0
0|2020-04-06|188.0|0|5.0|0|0.0|0
0|2020-04-07|237.0|0|7.0|0|0.0|0
0|2020-04-08|271.0|0|9.0|0|0.0|0
0|2020-04-09|283.0|0|10.0|0|0.0|0
0|2020-04-10|325.0|0|11.0|0|0.0|0
0|2020-04-11|348.0|0|11.0|0|0.0|0
0|2020-04-12|366.0|0|11.0|0|0.0|0
0|2020-04-13|380.0|0|13.0|0|0.0|0
0|2020-04-14|384.0|0|14.0|0|0.0|0
0|2020-04-15|400.0|0|16.0|0|0.0|0
0|2020-04-16|416.0|0|17.0|0|0.0|0
0|2020-04-17|426.0|0|17.0|0|0.0|0
0|2020-04-18|438.0|0|18.0|0|0.0|0
0|2020-04-19|443.0|0|19.0|0|0.0|0
0|2020-04-20|458.0|0|19.0|0|0.0|0
0|2020-04-21|469.0|0|23.0|0|0.0|0
0|2020-04-22|474.0|0|25.0|0|0.0|0
0|2020-04-23|487.0|0|26.0|0|0.0|0
0|2020-04-24|516.0|0|26.0|0|0.0|0
0|2020-04-25|524.0|0|29.0|0|0.0|0
0|2020-04-26|526.0|0|29.0|0|0.0|0
0|2020-04-27|572.0|0|32.0|0|0.0|0
0|2020-04-28|572.0|0|32.0|0|0.0|0
0|2020-04-29|596.0|0|34.0|0|0.0|0
0|2020-04-30|596.0|0|34.0|0|0.0|0
0|2020-05-01|591.0|0|37.0|0|0.0|0
0|2020-05-02|608.0|0|41.0|0|0.0|0
0|2020-05-03|608.0|0|41.0|0|0.0|0
0|2020-05-04|612.0|0|41.0|0|0.0|0
0|2020-05-05|626.0|0|43.0|0|0.0|0
0|2020-05-06|631.0|0|43.0|0|0.0|0
0|2020-05-07|646.0|0|45.0|0|0.0|0
0|2020-05-08|655.0|0|46.0|0|0.0|0
0|2020-05-09|663.0|0|46.0|0|0.0|0
0|2020-05-10|665.0|0|46.0|0|0.0|0
0|2020-05-11|665.0|0|46.0|0|0.0|0
0|2020-05-12|673.0|0|50.0|0|0.0|0
0|2020-05-13|680.0|0|50.0|0|0.0|0
