|dates|Polk_Iowa_UnitedStates.JHU_ConfirmedCases.data|Polk_Iowa_UnitedStates.JHU_ConfirmedCases.missing|Polk_Iowa_UnitedStates.JHU_ConfirmedDeaths.data|Polk_Iowa_UnitedStates.JHU_ConfirmedDeaths.missing|Polk_Iowa_UnitedStates.JHU_ConfirmedRecoveries.data|Polk_Iowa_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|10.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|12.0|0|0.0|0|0.0|0
0|2020-03-24|15.0|0|0.0|0|0.0|0
0|2020-03-25|20.0|0|0.0|0|0.0|0
0|2020-03-26|24.0|0|0.0|0|0.0|0
0|2020-03-27|28.0|0|0.0|0|0.0|0
0|2020-03-28|40.0|0|0.0|0|0.0|0
0|2020-03-29|50.0|0|0.0|0|0.0|0
0|2020-03-30|61.0|0|0.0|0|0.0|0
0|2020-03-31|76.0|0|0.0|0|0.0|0
0|2020-04-01|81.0|0|1.0|0|0.0|0
0|2020-04-02|87.0|0|1.0|0|0.0|0
0|2020-04-03|100.0|0|1.0|0|0.0|0
0|2020-04-04|109.0|0|1.0|0|0.0|0
0|2020-04-05|122.0|0|2.0|0|0.0|0
0|2020-04-06|125.0|0|4.0|0|0.0|0
0|2020-04-07|127.0|0|4.0|0|0.0|0
0|2020-04-08|134.0|0|4.0|0|0.0|0
0|2020-04-09|140.0|0|4.0|0|0.0|0
0|2020-04-10|147.0|0|4.0|0|0.0|0
0|2020-04-11|163.0|0|4.0|0|0.0|0
0|2020-04-12|177.0|0|4.0|0|0.0|0
0|2020-04-13|195.0|0|4.0|0|0.0|0
0|2020-04-14|213.0|0|5.0|0|0.0|0
0|2020-04-15|224.0|0|7.0|0|0.0|0
0|2020-04-16|256.0|0|10.0|0|0.0|0
0|2020-04-17|277.0|0|10.0|0|0.0|0
0|2020-04-18|293.0|0|13.0|0|0.0|0
0|2020-04-19|333.0|0|13.0|0|0.0|0
0|2020-04-20|387.0|0|13.0|0|0.0|0
0|2020-04-21|415.0|0|16.0|0|0.0|0
0|2020-04-22|437.0|0|16.0|0|0.0|0
0|2020-04-23|486.0|0|20.0|0|0.0|0
0|2020-04-24|575.0|0|22.0|0|0.0|0
0|2020-04-25|660.0|0|24.0|0|0.0|0
0|2020-04-26|732.0|0|24.0|0|0.0|0
0|2020-04-27|756.0|0|27.0|0|0.0|0
0|2020-04-28|813.0|0|31.0|0|0.0|0
0|2020-04-29|905.0|0|32.0|0|0.0|0
0|2020-04-30|985.0|0|35.0|0|0.0|0
0|2020-05-01|1176.0|0|37.0|0|0.0|0
0|2020-05-02|1350.0|0|38.0|0|0.0|0
0|2020-05-03|1476.0|0|40.0|0|0.0|0
0|2020-05-04|1661.0|0|40.0|0|0.0|0
0|2020-05-05|1778.0|0|42.0|0|0.0|0
0|2020-05-06|1875.0|0|45.0|0|0.0|0
0|2020-05-07|2053.0|0|54.0|0|0.0|0
0|2020-05-08|2150.0|0|54.0|0|0.0|0
0|2020-05-09|2194.0|0|58.0|0|0.0|0
0|2020-05-10|2238.0|0|60.0|0|0.0|0
0|2020-05-11|2238.0|0|60.0|0|0.0|0
0|2020-05-12|2447.0|0|64.0|0|0.0|0
0|2020-05-13|2551.0|0|65.0|0|0.0|0
