|dates|St.LouisCity_Missouri_UnitedStates.JHU_ConfirmedCases.data|St.LouisCity_Missouri_UnitedStates.JHU_ConfirmedCases.missing|St.LouisCity_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|St.LouisCity_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|St.LouisCity_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|St.LouisCity_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|1.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|15.0|0|1.0|0|0.0|0
0|2020-03-24|23.0|0|1.0|0|0.0|0
0|2020-03-25|44.0|0|1.0|0|0.0|0
0|2020-03-26|69.0|0|1.0|0|0.0|0
0|2020-03-27|72.0|0|1.0|0|0.0|0
0|2020-03-28|95.0|0|1.0|0|0.0|0
0|2020-03-29|102.0|0|1.0|0|0.0|0
0|2020-03-30|102.0|0|1.0|0|0.0|0
0|2020-03-31|150.0|0|1.0|0|0.0|0
0|2020-04-01|195.0|0|1.0|0|0.0|0
0|2020-04-02|239.0|0|1.0|0|0.0|0
0|2020-04-03|239.0|0|1.0|0|0.0|0
0|2020-04-04|297.0|0|5.0|0|0.0|0
0|2020-04-05|328.0|0|6.0|0|0.0|0
0|2020-04-06|358.0|0|4.0|0|0.0|0
0|2020-04-07|440.0|0|10.0|0|0.0|0
0|2020-04-08|476.0|0|12.0|0|0.0|0
0|2020-04-09|514.0|0|17.0|0|0.0|0
0|2020-04-10|565.0|0|13.0|0|0.0|0
0|2020-04-11|594.0|0|17.0|0|0.0|0
0|2020-04-12|645.0|0|17.0|0|0.0|0
0|2020-04-13|698.0|0|19.0|0|0.0|0
0|2020-04-14|706.0|0|24.0|0|0.0|0
0|2020-04-15|723.0|0|26.0|0|0.0|0
0|2020-04-16|743.0|0|27.0|0|0.0|0
0|2020-04-17|766.0|0|28.0|0|0.0|0
0|2020-04-18|808.0|0|30.0|0|0.0|0
0|2020-04-19|831.0|0|30.0|0|0.0|0
0|2020-04-20|859.0|0|30.0|0|0.0|0
0|2020-04-21|882.0|0|40.0|0|0.0|0
0|2020-04-22|908.0|0|42.0|0|0.0|0
0|2020-04-23|966.0|0|45.0|0|0.0|0
0|2020-04-24|1000.0|0|48.0|0|0.0|0
0|2020-04-25|1019.0|0|50.0|0|0.0|0
0|2020-04-26|1037.0|0|50.0|0|0.0|0
0|2020-04-27|1067.0|0|57.0|0|0.0|0
0|2020-04-28|1104.0|0|59.0|0|0.0|0
0|2020-04-29|1126.0|0|60.0|0|0.0|0
0|2020-04-30|1145.0|0|64.0|0|0.0|0
0|2020-05-01|1150.0|0|65.0|0|0.0|0
0|2020-05-02|1207.0|0|65.0|0|0.0|0
0|2020-05-03|1304.0|0|70.0|0|0.0|0
0|2020-05-04|1346.0|0|71.0|0|0.0|0
0|2020-05-05|1362.0|0|78.0|0|0.0|0
0|2020-05-06|1384.0|0|82.0|0|0.0|0
0|2020-05-07|1450.0|0|83.0|0|0.0|0
0|2020-05-08|1474.0|0|85.0|0|0.0|0
0|2020-05-09|1484.0|0|86.0|0|0.0|0
0|2020-05-10|1513.0|0|88.0|0|0.0|0
0|2020-05-11|1513.0|0|88.0|0|0.0|0
0|2020-05-12|1549.0|0|91.0|0|0.0|0
0|2020-05-13|1571.0|0|95.0|0|0.0|0
