|dates|St.Joseph_Indiana_UnitedStates.JHU_ConfirmedCases.data|St.Joseph_Indiana_UnitedStates.JHU_ConfirmedCases.missing|St.Joseph_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|St.Joseph_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|St.Joseph_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|St.Joseph_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|6.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|17.0|0|0.0|0|0.0|0
0|2020-03-24|18.0|0|0.0|0|0.0|0
0|2020-03-25|19.0|0|0.0|0|0.0|0
0|2020-03-26|21.0|0|0.0|0|0.0|0
0|2020-03-27|27.0|0|1.0|0|0.0|0
0|2020-03-28|31.0|0|1.0|0|0.0|0
0|2020-03-29|32.0|0|1.0|0|0.0|0
0|2020-03-30|36.0|0|1.0|0|0.0|0
0|2020-03-31|49.0|0|1.0|0|0.0|0
0|2020-04-01|57.0|0|1.0|0|0.0|0
0|2020-04-02|65.0|0|1.0|0|0.0|0
0|2020-04-03|72.0|0|1.0|0|0.0|0
0|2020-04-04|89.0|0|1.0|0|0.0|0
0|2020-04-05|102.0|0|1.0|0|0.0|0
0|2020-04-06|112.0|0|1.0|0|0.0|0
0|2020-04-07|129.0|0|1.0|0|0.0|0
0|2020-04-08|142.0|0|1.0|0|0.0|0
0|2020-04-09|150.0|0|1.0|0|0.0|0
0|2020-04-10|165.0|0|2.0|0|0.0|0
0|2020-04-11|186.0|0|3.0|0|0.0|0
0|2020-04-12|192.0|0|3.0|0|0.0|0
0|2020-04-13|194.0|0|3.0|0|0.0|0
0|2020-04-14|234.0|0|4.0|0|0.0|0
0|2020-04-15|273.0|0|5.0|0|0.0|0
0|2020-04-16|306.0|0|7.0|0|0.0|0
0|2020-04-17|358.0|0|7.0|0|0.0|0
0|2020-04-18|388.0|0|8.0|0|0.0|0
0|2020-04-19|402.0|0|8.0|0|0.0|0
0|2020-04-20|412.0|0|9.0|0|0.0|0
0|2020-04-21|442.0|0|9.0|0|0.0|0
0|2020-04-22|454.0|0|10.0|0|0.0|0
0|2020-04-23|475.0|0|10.0|0|0.0|0
0|2020-04-24|515.0|0|11.0|0|0.0|0
0|2020-04-25|553.0|0|11.0|0|0.0|0
0|2020-04-26|576.0|0|14.0|0|0.0|0
0|2020-04-27|586.0|0|15.0|0|0.0|0
0|2020-04-28|602.0|0|16.0|0|0.0|0
0|2020-04-29|620.0|0|17.0|0|0.0|0
0|2020-04-30|633.0|0|17.0|0|0.0|0
0|2020-05-01|642.0|0|19.0|0|0.0|0
0|2020-05-02|645.0|0|20.0|0|0.0|0
0|2020-05-03|658.0|0|20.0|0|0.0|0
0|2020-05-04|668.0|0|20.0|0|0.0|0
0|2020-05-05|687.0|0|21.0|0|0.0|0
0|2020-05-06|714.0|0|24.0|0|0.0|0
0|2020-05-07|730.0|0|24.0|0|0.0|0
0|2020-05-08|773.0|0|25.0|0|0.0|0
0|2020-05-09|785.0|0|25.0|0|0.0|0
0|2020-05-10|810.0|0|25.0|0|0.0|0
0|2020-05-11|810.0|0|25.0|0|0.0|0
0|2020-05-12|847.0|0|27.0|0|0.0|0
0|2020-05-13|857.0|0|28.0|0|0.0|0
