|dates|Gordon_Georgia_UnitedStates.JHU_ConfirmedCases.data|Gordon_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Gordon_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Gordon_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Gordon_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Gordon_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|2.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|2.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|5.0|0|0.0|0|0.0|0
0|2020-03-24|7.0|0|0.0|0|0.0|0
0|2020-03-25|8.0|0|0.0|0|0.0|0
0|2020-03-26|9.0|0|0.0|0|0.0|0
0|2020-03-27|12.0|0|0.0|0|0.0|0
0|2020-03-28|14.0|0|1.0|0|0.0|0
0|2020-03-29|14.0|0|1.0|0|0.0|0
0|2020-03-30|15.0|0|1.0|0|0.0|0
0|2020-03-31|16.0|0|2.0|0|0.0|0
0|2020-04-01|18.0|0|1.0|0|0.0|0
0|2020-04-02|20.0|0|1.0|0|0.0|0
0|2020-04-03|21.0|0|2.0|0|0.0|0
0|2020-04-04|21.0|0|2.0|0|0.0|0
0|2020-04-05|23.0|0|2.0|0|0.0|0
0|2020-04-06|24.0|0|2.0|0|0.0|0
0|2020-04-07|25.0|0|3.0|0|0.0|0
0|2020-04-08|26.0|0|3.0|0|0.0|0
0|2020-04-09|26.0|0|3.0|0|0.0|0
0|2020-04-10|28.0|0|3.0|0|0.0|0
0|2020-04-11|29.0|0|3.0|0|0.0|0
0|2020-04-12|35.0|0|3.0|0|0.0|0
0|2020-04-13|39.0|0|3.0|0|0.0|0
0|2020-04-14|45.0|0|3.0|0|0.0|0
0|2020-04-15|46.0|0|3.0|0|0.0|0
0|2020-04-16|49.0|0|5.0|0|0.0|0
0|2020-04-17|53.0|0|5.0|0|0.0|0
0|2020-04-18|57.0|0|5.0|0|0.0|0
0|2020-04-19|64.0|0|5.0|0|0.0|0
0|2020-04-20|67.0|0|6.0|0|0.0|0
0|2020-04-21|66.0|0|6.0|0|0.0|0
0|2020-04-22|70.0|0|8.0|0|0.0|0
0|2020-04-23|73.0|0|10.0|0|0.0|0
0|2020-04-24|75.0|0|10.0|0|0.0|0
0|2020-04-25|81.0|0|10.0|0|0.0|0
0|2020-04-26|81.0|0|10.0|0|0.0|0
0|2020-04-27|81.0|0|12.0|0|0.0|0
0|2020-04-28|85.0|0|12.0|0|0.0|0
0|2020-04-29|89.0|0|12.0|0|0.0|0
0|2020-04-30|92.0|0|12.0|0|0.0|0
0|2020-05-01|113.0|0|12.0|0|0.0|0
0|2020-05-02|113.0|0|12.0|0|0.0|0
0|2020-05-03|113.0|0|12.0|0|0.0|0
0|2020-05-04|116.0|0|13.0|0|0.0|0
0|2020-05-05|117.0|0|13.0|0|0.0|0
0|2020-05-06|118.0|0|14.0|0|0.0|0
0|2020-05-07|120.0|0|15.0|0|0.0|0
0|2020-05-08|121.0|0|15.0|0|0.0|0
0|2020-05-09|121.0|0|15.0|0|0.0|0
0|2020-05-10|122.0|0|15.0|0|0.0|0
0|2020-05-11|122.0|0|15.0|0|0.0|0
0|2020-05-12|125.0|0|16.0|0|0.0|0
0|2020-05-13|124.0|0|16.0|0|0.0|0
