|dates|Stark_Ohio_UnitedStates.JHU_ConfirmedCases.data|Stark_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Stark_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Stark_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Stark_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Stark_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|1.0|0|0.0|0|0.0|0
0|2020-03-12|1.0|0|0.0|0|0.0|0
0|2020-03-13|2.0|0|0.0|0|0.0|0
0|2020-03-14|3.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|5.0|0|0.0|0|0.0|0
0|2020-03-20|6.0|0|0.0|0|0.0|0
0|2020-03-21|8.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|12.0|0|1.0|0|0.0|0
0|2020-03-24|13.0|0|1.0|0|0.0|0
0|2020-03-25|13.0|0|2.0|0|0.0|0
0|2020-03-26|16.0|0|2.0|0|0.0|0
0|2020-03-27|22.0|0|2.0|0|0.0|0
0|2020-03-28|25.0|0|2.0|0|0.0|0
0|2020-03-29|29.0|0|2.0|0|0.0|0
0|2020-03-30|44.0|0|2.0|0|0.0|0
0|2020-03-31|45.0|0|3.0|0|0.0|0
0|2020-04-01|52.0|0|3.0|0|0.0|0
0|2020-04-02|67.0|0|3.0|0|0.0|0
0|2020-04-03|72.0|0|4.0|0|0.0|0
0|2020-04-04|92.0|0|5.0|0|0.0|0
0|2020-04-05|95.0|0|5.0|0|0.0|0
0|2020-04-06|109.0|0|7.0|0|0.0|0
0|2020-04-07|110.0|0|7.0|0|0.0|0
0|2020-04-08|114.0|0|7.0|0|0.0|0
0|2020-04-09|120.0|0|8.0|0|0.0|0
0|2020-04-10|125.0|0|8.0|0|0.0|0
0|2020-04-11|133.0|0|11.0|0|0.0|0
0|2020-04-12|154.0|0|11.0|0|0.0|0
0|2020-04-13|167.0|0|12.0|0|0.0|0
0|2020-04-14|171.0|0|17.0|0|0.0|0
0|2020-04-15|176.0|0|17.0|0|0.0|0
0|2020-04-16|204.0|0|21.0|0|0.0|0
0|2020-04-17|210.0|0|22.0|0|0.0|0
0|2020-04-18|221.0|0|23.0|0|0.0|0
0|2020-04-19|224.0|0|24.0|0|0.0|0
0|2020-04-20|237.0|0|25.0|0|0.0|0
0|2020-04-21|251.0|0|28.0|0|0.0|0
0|2020-04-22|266.0|0|28.0|0|0.0|0
0|2020-04-23|290.0|0|30.0|0|0.0|0
0|2020-04-24|294.0|0|34.0|0|0.0|0
0|2020-04-25|303.0|0|34.0|0|0.0|0
0|2020-04-26|310.0|0|34.0|0|0.0|0
0|2020-04-27|312.0|0|35.0|0|0.0|0
0|2020-04-28|324.0|0|36.0|0|0.0|0
0|2020-04-29|333.0|0|39.0|0|0.0|0
0|2020-04-30|347.0|0|50.0|0|0.0|0
0|2020-05-01|363.0|0|51.0|0|0.0|0
0|2020-05-02|379.0|0|52.0|0|0.0|0
0|2020-05-03|398.0|0|53.0|0|0.0|0
0|2020-05-04|405.0|0|53.0|0|0.0|0
0|2020-05-05|414.0|0|57.0|0|0.0|0
0|2020-05-06|427.0|0|59.0|0|0.0|0
0|2020-05-07|450.0|0|60.0|0|0.0|0
0|2020-05-08|464.0|0|62.0|0|0.0|0
0|2020-05-09|479.0|0|67.0|0|0.0|0
0|2020-05-10|500.0|0|67.0|0|0.0|0
0|2020-05-11|500.0|0|67.0|0|0.0|0
0|2020-05-12|515.0|0|68.0|0|0.0|0
0|2020-05-13|526.0|0|68.0|0|0.0|0
