|dates|Rutherford_Tennessee_UnitedStates.JHU_ConfirmedCases.data|Rutherford_Tennessee_UnitedStates.JHU_ConfirmedCases.missing|Rutherford_Tennessee_UnitedStates.JHU_ConfirmedDeaths.data|Rutherford_Tennessee_UnitedStates.JHU_ConfirmedDeaths.missing|Rutherford_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.data|Rutherford_Tennessee_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|1.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|5.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|9.0|0|0.0|0|0.0|0
0|2020-03-24|13.0|0|0.0|0|0.0|0
0|2020-03-25|19.0|0|0.0|0|0.0|0
0|2020-03-26|27.0|0|0.0|0|0.0|0
0|2020-03-27|39.0|0|0.0|0|0.0|0
0|2020-03-28|46.0|0|0.0|0|0.0|0
0|2020-03-29|48.0|0|0.0|0|0.0|0
0|2020-03-30|48.0|0|0.0|0|0.0|0
0|2020-03-31|68.0|0|0.0|0|0.0|0
0|2020-04-01|86.0|0|0.0|0|0.0|0
0|2020-04-02|113.0|0|1.0|0|0.0|0
0|2020-04-03|127.0|0|3.0|0|0.0|0
0|2020-04-04|140.0|0|3.0|0|0.0|0
0|2020-04-05|147.0|0|3.0|0|0.0|0
0|2020-04-06|161.0|0|3.0|0|0.0|0
0|2020-04-07|178.0|0|3.0|0|0.0|0
0|2020-04-08|193.0|0|3.0|0|0.0|0
0|2020-04-09|203.0|0|6.0|0|0.0|0
0|2020-04-10|222.0|0|6.0|0|0.0|0
0|2020-04-11|235.0|0|6.0|0|0.0|0
0|2020-04-12|243.0|0|6.0|0|0.0|0
0|2020-04-13|250.0|0|6.0|0|0.0|0
0|2020-04-14|253.0|0|6.0|0|0.0|0
0|2020-04-15|253.0|0|6.0|0|0.0|0
0|2020-04-16|269.0|0|6.0|0|0.0|0
0|2020-04-17|271.0|0|6.0|0|0.0|0
0|2020-04-18|295.0|0|6.0|0|0.0|0
0|2020-04-19|309.0|0|6.0|0|0.0|0
0|2020-04-20|328.0|0|7.0|0|0.0|0
0|2020-04-21|338.0|0|7.0|0|0.0|0
0|2020-04-22|338.0|0|7.0|0|0.0|0
0|2020-04-23|352.0|0|7.0|0|0.0|0
0|2020-04-24|364.0|0|7.0|0|0.0|0
0|2020-04-25|387.0|0|8.0|0|0.0|0
0|2020-04-26|405.0|0|9.0|0|0.0|0
0|2020-04-27|423.0|0|9.0|0|0.0|0
0|2020-04-28|434.0|0|10.0|0|0.0|0
0|2020-04-29|448.0|0|11.0|0|0.0|0
0|2020-04-30|474.0|0|11.0|0|0.0|0
0|2020-05-01|502.0|0|11.0|0|0.0|0
0|2020-05-02|547.0|0|11.0|0|0.0|0
0|2020-05-03|579.0|0|11.0|0|0.0|0
0|2020-05-04|603.0|0|11.0|0|0.0|0
0|2020-05-05|620.0|0|12.0|0|0.0|0
0|2020-05-06|655.0|0|14.0|0|0.0|0
0|2020-05-07|661.0|0|14.0|0|0.0|0
0|2020-05-08|685.0|0|14.0|0|0.0|0
0|2020-05-09|720.0|0|14.0|0|0.0|0
0|2020-05-10|725.0|0|14.0|0|0.0|0
0|2020-05-11|725.0|0|14.0|0|0.0|0
0|2020-05-12|764.0|0|18.0|0|0.0|0
0|2020-05-13|780.0|0|20.0|0|0.0|0
