|dates|Harrison_Mississippi_UnitedStates.JHU_ConfirmedCases.data|Harrison_Mississippi_UnitedStates.JHU_ConfirmedCases.missing|Harrison_Mississippi_UnitedStates.JHU_ConfirmedDeaths.data|Harrison_Mississippi_UnitedStates.JHU_ConfirmedDeaths.missing|Harrison_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.data|Harrison_Mississippi_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|7.0|0|0.0|0|0.0|0
0|2020-03-20|8.0|0|0.0|0|0.0|0
0|2020-03-21|8.0|0|0.0|0|0.0|0
0|2020-03-22|15.0|0|0.0|0|0.0|0
0|2020-03-23|21.0|0|0.0|0|0.0|0
0|2020-03-24|24.0|0|0.0|0|0.0|0
0|2020-03-25|25.0|0|0.0|0|0.0|0
0|2020-03-26|31.0|0|0.0|0|0.0|0
0|2020-03-27|34.0|0|1.0|0|0.0|0
0|2020-03-28|38.0|0|1.0|0|0.0|0
0|2020-03-29|43.0|0|1.0|0|0.0|0
0|2020-03-30|43.0|0|1.0|0|0.0|0
0|2020-03-31|45.0|0|1.0|0|0.0|0
0|2020-04-01|49.0|0|1.0|0|0.0|0
0|2020-04-02|53.0|0|1.0|0|0.0|0
0|2020-04-03|69.0|0|1.0|0|0.0|0
0|2020-04-04|70.0|0|3.0|0|0.0|0
0|2020-04-05|73.0|0|3.0|0|0.0|0
0|2020-04-06|79.0|0|3.0|0|0.0|0
0|2020-04-07|89.0|0|3.0|0|0.0|0
0|2020-04-08|88.0|0|3.0|0|0.0|0
0|2020-04-09|96.0|0|3.0|0|0.0|0
0|2020-04-10|99.0|0|4.0|0|0.0|0
0|2020-04-11|107.0|0|5.0|0|0.0|0
0|2020-04-12|110.0|0|5.0|0|0.0|0
0|2020-04-13|112.0|0|5.0|0|0.0|0
0|2020-04-14|121.0|0|5.0|0|0.0|0
0|2020-04-15|129.0|0|5.0|0|0.0|0
0|2020-04-16|134.0|0|5.0|0|0.0|0
0|2020-04-17|137.0|0|5.0|0|0.0|0
0|2020-04-18|144.0|0|5.0|0|0.0|0
0|2020-04-19|144.0|0|5.0|0|0.0|0
0|2020-04-20|145.0|0|5.0|0|0.0|0
0|2020-04-21|151.0|0|5.0|0|0.0|0
0|2020-04-22|150.0|0|6.0|0|0.0|0
0|2020-04-23|152.0|0|6.0|0|0.0|0
0|2020-04-24|157.0|0|6.0|0|0.0|0
0|2020-04-25|158.0|0|6.0|0|0.0|0
0|2020-04-26|158.0|0|6.0|0|0.0|0
0|2020-04-27|159.0|0|6.0|0|0.0|0
0|2020-04-28|166.0|0|6.0|0|0.0|0
0|2020-04-29|171.0|0|6.0|0|0.0|0
0|2020-04-30|174.0|0|6.0|0|0.0|0
0|2020-05-01|177.0|0|6.0|0|0.0|0
0|2020-05-02|181.0|0|6.0|0|0.0|0
0|2020-05-03|181.0|0|6.0|0|0.0|0
0|2020-05-04|184.0|0|6.0|0|0.0|0
0|2020-05-05|186.0|0|6.0|0|0.0|0
0|2020-05-06|187.0|0|6.0|0|0.0|0
0|2020-05-07|188.0|0|6.0|0|0.0|0
0|2020-05-08|193.0|0|6.0|0|0.0|0
0|2020-05-09|198.0|0|6.0|0|0.0|0
0|2020-05-10|198.0|0|6.0|0|0.0|0
0|2020-05-11|198.0|0|6.0|0|0.0|0
0|2020-05-12|201.0|0|6.0|0|0.0|0
0|2020-05-13|210.0|0|6.0|0|0.0|0
