|dates|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedCases.data|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedCases.missing|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.data|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedDeaths.missing|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.data|Lehigh_Pennsylvania_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|1.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|1.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|13.0|0|0.0|0|0.0|0
0|2020-03-22|19.0|0|1.0|0|0.0|0
0|2020-03-23|25.0|0|1.0|0|0.0|0
0|2020-03-24|27.0|0|1.0|0|0.0|0
0|2020-03-25|38.0|0|1.0|0|0.0|0
0|2020-03-26|63.0|0|1.0|0|0.0|0
0|2020-03-27|93.0|0|2.0|0|0.0|0
0|2020-03-28|109.0|0|3.0|0|0.0|0
0|2020-03-29|151.0|0|3.0|0|0.0|0
0|2020-03-30|231.0|0|3.0|0|0.0|0
0|2020-03-31|272.0|0|4.0|0|0.0|0
0|2020-04-01|374.0|0|5.0|0|0.0|0
0|2020-04-02|479.0|0|5.0|0|0.0|0
0|2020-04-03|584.0|0|5.0|0|0.0|0
0|2020-04-04|804.0|0|7.0|0|0.0|0
0|2020-04-05|877.0|0|8.0|0|0.0|0
0|2020-04-06|1006.0|0|8.0|0|0.0|0
0|2020-04-07|1146.0|0|10.0|0|0.0|0
0|2020-04-08|1319.0|0|12.0|0|0.0|0
0|2020-04-09|1466.0|0|13.0|0|0.0|0
0|2020-04-10|1562.0|0|16.0|0|0.0|0
0|2020-04-11|1620.0|0|16.0|0|0.0|0
0|2020-04-12|1684.0|0|18.0|0|0.0|0
0|2020-04-13|1747.0|0|19.0|0|0.0|0
0|2020-04-14|1803.0|0|23.0|0|0.0|0
0|2020-04-15|1922.0|0|25.0|0|0.0|0
0|2020-04-16|1999.0|0|28.0|0|0.0|0
0|2020-04-17|2092.0|0|29.0|0|0.0|0
0|2020-04-18|2141.0|0|29.0|0|0.0|0
0|2020-04-19|2203.0|0|32.0|0|0.0|0
0|2020-04-20|2245.0|0|33.0|0|0.0|0
0|2020-04-21|2295.0|0|49.0|0|0.0|0
0|2020-04-22|2374.0|0|49.0|0|0.0|0
0|2020-04-23|2418.0|0|49.0|0|0.0|0
0|2020-04-24|2478.0|0|49.0|0|0.0|0
0|2020-04-25|2551.0|0|50.0|0|0.0|0
0|2020-04-26|2601.0|0|51.0|0|0.0|0
0|2020-04-27|2636.0|0|56.0|0|0.0|0
0|2020-04-28|2685.0|0|64.0|0|0.0|0
0|2020-04-29|2719.0|0|72.0|0|0.0|0
0|2020-04-30|2796.0|0|74.0|0|0.0|0
0|2020-05-01|2850.0|0|80.0|0|0.0|0
0|2020-05-02|2896.0|0|83.0|0|0.0|0
0|2020-05-03|2924.0|0|83.0|0|0.0|0
0|2020-05-04|2963.0|0|83.0|0|0.0|0
0|2020-05-05|2999.0|0|94.0|0|0.0|0
0|2020-05-06|3063.0|0|102.0|0|0.0|0
0|2020-05-07|3102.0|0|111.0|0|0.0|0
0|2020-05-08|3140.0|0|114.0|0|0.0|0
0|2020-05-09|3169.0|0|120.0|0|0.0|0
0|2020-05-10|3241.0|0|121.0|0|0.0|0
0|2020-05-11|3241.0|0|121.0|0|0.0|0
0|2020-05-12|3286.0|0|123.0|0|0.0|0
0|2020-05-13|3318.0|0|129.0|0|0.0|0
