|dates|Tippecanoe_Indiana_UnitedStates.JHU_ConfirmedCases.data|Tippecanoe_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Tippecanoe_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Tippecanoe_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Tippecanoe_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Tippecanoe_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|2.0|0|0.0|0|0.0|0
0|2020-03-21|2.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|4.0|0|0.0|0|0.0|0
0|2020-03-26|7.0|0|0.0|0|0.0|0
0|2020-03-27|8.0|0|1.0|0|0.0|0
0|2020-03-28|11.0|0|1.0|0|0.0|0
0|2020-03-29|11.0|0|1.0|0|0.0|0
0|2020-03-30|14.0|0|1.0|0|0.0|0
0|2020-03-31|14.0|0|1.0|0|0.0|0
0|2020-04-01|18.0|0|1.0|0|0.0|0
0|2020-04-02|19.0|0|1.0|0|0.0|0
0|2020-04-03|26.0|0|1.0|0|0.0|0
0|2020-04-04|28.0|0|1.0|0|0.0|0
0|2020-04-05|29.0|0|1.0|0|0.0|0
0|2020-04-06|34.0|0|1.0|0|0.0|0
0|2020-04-07|36.0|0|1.0|0|0.0|0
0|2020-04-08|38.0|0|1.0|0|0.0|0
0|2020-04-09|40.0|0|1.0|0|0.0|0
0|2020-04-10|42.0|0|1.0|0|0.0|0
0|2020-04-11|43.0|0|1.0|0|0.0|0
0|2020-04-12|45.0|0|1.0|0|0.0|0
0|2020-04-13|45.0|0|1.0|0|0.0|0
0|2020-04-14|46.0|0|1.0|0|0.0|0
0|2020-04-15|46.0|0|2.0|0|0.0|0
0|2020-04-16|51.0|0|2.0|0|0.0|0
0|2020-04-17|53.0|0|2.0|0|0.0|0
0|2020-04-18|55.0|0|2.0|0|0.0|0
0|2020-04-19|56.0|0|2.0|0|0.0|0
0|2020-04-20|58.0|0|2.0|0|0.0|0
0|2020-04-21|59.0|0|2.0|0|0.0|0
0|2020-04-22|59.0|0|2.0|0|0.0|0
0|2020-04-23|62.0|0|2.0|0|0.0|0
0|2020-04-24|64.0|0|2.0|0|0.0|0
0|2020-04-25|71.0|0|2.0|0|0.0|0
0|2020-04-26|75.0|0|2.0|0|0.0|0
0|2020-04-27|90.0|0|2.0|0|0.0|0
0|2020-04-28|95.0|0|2.0|0|0.0|0
0|2020-04-29|102.0|0|2.0|0|0.0|0
0|2020-04-30|110.0|0|2.0|0|0.0|0
0|2020-05-01|115.0|0|2.0|0|0.0|0
0|2020-05-02|120.0|0|2.0|0|0.0|0
0|2020-05-03|156.0|0|2.0|0|0.0|0
0|2020-05-04|181.0|0|2.0|0|0.0|0
0|2020-05-05|190.0|0|2.0|0|0.0|0
0|2020-05-06|197.0|0|2.0|0|0.0|0
0|2020-05-07|202.0|0|2.0|0|0.0|0
0|2020-05-08|207.0|0|2.0|0|0.0|0
0|2020-05-09|225.0|0|2.0|0|0.0|0
0|2020-05-10|233.0|0|2.0|0|0.0|0
0|2020-05-11|233.0|0|2.0|0|0.0|0
0|2020-05-12|248.0|0|2.0|0|0.0|0
0|2020-05-13|261.0|0|2.0|0|0.0|0
