|dates|Oswego_NewYork_UnitedStates.JHU_ConfirmedCases.data|Oswego_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Oswego_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Oswego_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Oswego_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Oswego_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|2.0|0|0.0|0|0.0|0
0|2020-03-25|2.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|9.0|0|0.0|0|0.0|0
0|2020-03-29|10.0|0|0.0|0|0.0|0
0|2020-03-30|15.0|0|0.0|0|0.0|0
0|2020-03-31|15.0|0|0.0|0|0.0|0
0|2020-04-01|20.0|0|0.0|0|0.0|0
0|2020-04-02|23.0|0|0.0|0|0.0|0
0|2020-04-03|28.0|0|0.0|0|0.0|0
0|2020-04-04|28.0|0|0.0|0|0.0|0
0|2020-04-05|32.0|0|0.0|0|0.0|0
0|2020-04-06|34.0|0|0.0|0|0.0|0
0|2020-04-07|34.0|0|2.0|0|0.0|0
0|2020-04-08|34.0|0|2.0|0|0.0|0
0|2020-04-09|36.0|0|2.0|0|0.0|0
0|2020-04-10|36.0|0|2.0|0|0.0|0
0|2020-04-11|37.0|0|2.0|0|0.0|0
0|2020-04-12|42.0|0|2.0|0|0.0|0
0|2020-04-13|42.0|0|2.0|0|0.0|0
0|2020-04-14|42.0|0|2.0|0|0.0|0
0|2020-04-15|42.0|0|2.0|0|0.0|0
0|2020-04-16|44.0|0|2.0|0|0.0|0
0|2020-04-17|45.0|0|2.0|0|0.0|0
0|2020-04-18|45.0|0|2.0|0|0.0|0
0|2020-04-19|47.0|0|2.0|0|0.0|0
0|2020-04-20|52.0|0|2.0|0|0.0|0
0|2020-04-21|52.0|0|2.0|0|0.0|0
0|2020-04-22|52.0|0|2.0|0|0.0|0
0|2020-04-23|49.0|0|2.0|0|0.0|0
0|2020-04-24|51.0|0|2.0|0|0.0|0
0|2020-04-25|57.0|0|2.0|0|0.0|0
0|2020-04-26|61.0|0|2.0|0|0.0|0
0|2020-04-27|61.0|0|3.0|0|0.0|0
0|2020-04-28|63.0|0|3.0|0|0.0|0
0|2020-04-29|63.0|0|3.0|0|0.0|0
0|2020-04-30|63.0|0|3.0|0|0.0|0
0|2020-05-01|64.0|0|3.0|0|0.0|0
0|2020-05-02|66.0|0|3.0|0|0.0|0
0|2020-05-03|66.0|0|3.0|0|0.0|0
0|2020-05-04|67.0|0|3.0|0|0.0|0
0|2020-05-05|68.0|0|3.0|0|0.0|0
0|2020-05-06|70.0|0|3.0|0|0.0|0
0|2020-05-07|70.0|0|3.0|0|0.0|0
0|2020-05-08|72.0|0|3.0|0|0.0|0
0|2020-05-09|75.0|0|3.0|0|0.0|0
0|2020-05-10|75.0|0|3.0|0|0.0|0
0|2020-05-11|75.0|0|3.0|0|0.0|0
0|2020-05-12|76.0|0|3.0|0|0.0|0
0|2020-05-13|76.0|0|3.0|0|0.0|0
