|dates|Upson_Georgia_UnitedStates.JHU_ConfirmedCases.data|Upson_Georgia_UnitedStates.JHU_ConfirmedCases.missing|Upson_Georgia_UnitedStates.JHU_ConfirmedDeaths.data|Upson_Georgia_UnitedStates.JHU_ConfirmedDeaths.missing|Upson_Georgia_UnitedStates.JHU_ConfirmedRecoveries.data|Upson_Georgia_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|2.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|5.0|0|0.0|0|0.0|0
0|2020-03-30|5.0|0|0.0|0|0.0|0
0|2020-03-31|5.0|0|0.0|0|0.0|0
0|2020-04-01|5.0|0|0.0|0|0.0|0
0|2020-04-02|6.0|0|0.0|0|0.0|0
0|2020-04-03|6.0|0|0.0|0|0.0|0
0|2020-04-04|10.0|0|0.0|0|0.0|0
0|2020-04-05|13.0|0|0.0|0|0.0|0
0|2020-04-06|22.0|0|0.0|0|0.0|0
0|2020-04-07|28.0|0|0.0|0|0.0|0
0|2020-04-08|29.0|0|0.0|0|0.0|0
0|2020-04-09|40.0|0|0.0|0|0.0|0
0|2020-04-10|47.0|0|0.0|0|0.0|0
0|2020-04-11|51.0|0|1.0|0|0.0|0
0|2020-04-12|55.0|0|1.0|0|0.0|0
0|2020-04-13|61.0|0|2.0|0|0.0|0
0|2020-04-14|128.0|0|5.0|0|0.0|0
0|2020-04-15|135.0|0|5.0|0|0.0|0
0|2020-04-16|139.0|0|5.0|0|0.0|0
0|2020-04-17|162.0|0|8.0|0|0.0|0
0|2020-04-18|170.0|0|8.0|0|0.0|0
0|2020-04-19|170.0|0|8.0|0|0.0|0
0|2020-04-20|175.0|0|10.0|0|0.0|0
0|2020-04-21|179.0|0|11.0|0|0.0|0
0|2020-04-22|186.0|0|12.0|0|0.0|0
0|2020-04-23|191.0|0|14.0|0|0.0|0
0|2020-04-24|193.0|0|14.0|0|0.0|0
0|2020-04-25|196.0|0|14.0|0|0.0|0
0|2020-04-26|197.0|0|14.0|0|0.0|0
0|2020-04-27|203.0|0|17.0|0|0.0|0
0|2020-04-28|208.0|0|17.0|0|0.0|0
0|2020-04-29|211.0|0|17.0|0|0.0|0
0|2020-04-30|216.0|0|18.0|0|0.0|0
0|2020-05-01|224.0|0|18.0|0|0.0|0
0|2020-05-02|225.0|0|18.0|0|0.0|0
0|2020-05-03|230.0|0|20.0|0|0.0|0
0|2020-05-04|240.0|0|21.0|0|0.0|0
0|2020-05-05|243.0|0|23.0|0|0.0|0
0|2020-05-06|245.0|0|23.0|0|0.0|0
0|2020-05-07|246.0|0|24.0|0|0.0|0
0|2020-05-08|247.0|0|24.0|0|0.0|0
0|2020-05-09|249.0|0|24.0|0|0.0|0
0|2020-05-10|250.0|0|24.0|0|0.0|0
0|2020-05-11|250.0|0|24.0|0|0.0|0
0|2020-05-12|254.0|0|25.0|0|0.0|0
0|2020-05-13|255.0|0|25.0|0|0.0|0
