|dates|Rensselaer_NewYork_UnitedStates.JHU_ConfirmedCases.data|Rensselaer_NewYork_UnitedStates.JHU_ConfirmedCases.missing|Rensselaer_NewYork_UnitedStates.JHU_ConfirmedDeaths.data|Rensselaer_NewYork_UnitedStates.JHU_ConfirmedDeaths.missing|Rensselaer_NewYork_UnitedStates.JHU_ConfirmedRecoveries.data|Rensselaer_NewYork_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|1.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|4.0|0|0.0|0|0.0|0
0|2020-03-20|8.0|0|0.0|0|0.0|0
0|2020-03-21|20.0|0|0.0|0|0.0|0
0|2020-03-22|20.0|0|0.0|0|0.0|0
0|2020-03-23|20.0|0|0.0|0|0.0|0
0|2020-03-24|33.0|0|0.0|0|0.0|0
0|2020-03-25|33.0|0|0.0|0|0.0|0
0|2020-03-26|44.0|0|0.0|0|0.0|0
0|2020-03-27|44.0|0|0.0|0|0.0|0
0|2020-03-28|51.0|0|0.0|0|0.0|0
0|2020-03-29|51.0|0|0.0|0|0.0|0
0|2020-03-30|52.0|0|0.0|0|0.0|0
0|2020-03-31|54.0|0|0.0|0|0.0|0
0|2020-04-01|55.0|0|0.0|0|0.0|0
0|2020-04-02|60.0|0|0.0|0|0.0|0
0|2020-04-03|67.0|0|0.0|0|0.0|0
0|2020-04-04|67.0|0|0.0|0|0.0|0
0|2020-04-05|74.0|0|1.0|0|0.0|0
0|2020-04-06|74.0|0|2.0|0|0.0|0
0|2020-04-07|88.0|0|3.0|0|0.0|0
0|2020-04-08|88.0|0|3.0|0|0.0|0
0|2020-04-09|102.0|0|5.0|0|0.0|0
0|2020-04-10|102.0|0|5.0|0|0.0|0
0|2020-04-11|102.0|0|5.0|0|0.0|0
0|2020-04-12|102.0|0|5.0|0|0.0|0
0|2020-04-13|113.0|0|6.0|0|0.0|0
0|2020-04-14|140.0|0|6.0|0|0.0|0
0|2020-04-15|140.0|0|6.0|0|0.0|0
0|2020-04-16|140.0|0|6.0|0|0.0|0
0|2020-04-17|150.0|0|6.0|0|0.0|0
0|2020-04-18|164.0|0|6.0|0|0.0|0
0|2020-04-19|186.0|0|6.0|0|0.0|0
0|2020-04-20|186.0|0|6.0|0|0.0|0
0|2020-04-21|186.0|0|6.0|0|0.0|0
0|2020-04-22|202.0|0|9.0|0|0.0|0
0|2020-04-23|191.0|0|10.0|0|0.0|0
0|2020-04-24|198.0|0|11.0|0|0.0|0
0|2020-04-25|221.0|0|11.0|0|0.0|0
0|2020-04-26|242.0|0|11.0|0|0.0|0
0|2020-04-27|246.0|0|11.0|0|0.0|0
0|2020-04-28|250.0|0|11.0|0|0.0|0
0|2020-04-29|262.0|0|11.0|0|0.0|0
0|2020-04-30|287.0|0|11.0|0|0.0|0
0|2020-05-01|298.0|0|11.0|0|0.0|0
0|2020-05-02|311.0|0|11.0|0|0.0|0
0|2020-05-03|322.0|0|11.0|0|0.0|0
0|2020-05-04|337.0|0|23.0|0|0.0|0
0|2020-05-05|339.0|0|23.0|0|0.0|0
0|2020-05-06|347.0|0|23.0|0|0.0|0
0|2020-05-07|367.0|0|23.0|0|0.0|0
0|2020-05-08|380.0|0|23.0|0|0.0|0
0|2020-05-09|407.0|0|23.0|0|0.0|0
0|2020-05-10|409.0|0|23.0|0|0.0|0
0|2020-05-11|409.0|0|23.0|0|0.0|0
0|2020-05-12|416.0|0|23.0|0|0.0|0
0|2020-05-13|420.0|0|23.0|0|0.0|0
