|dates|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedCases.data|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedCases.missing|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedDeaths.data|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedDeaths.missing|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedRecoveries.data|Vanderburgh_Indiana_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|1.0|0|0.0|0|0.0|0
0|2020-03-23|1.0|0|0.0|0|0.0|0
0|2020-03-24|1.0|0|0.0|0|0.0|0
0|2020-03-25|1.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|6.0|0|0.0|0|0.0|0
0|2020-03-28|10.0|0|0.0|0|0.0|0
0|2020-03-29|17.0|0|0.0|0|0.0|0
0|2020-03-30|17.0|0|0.0|0|0.0|0
0|2020-03-31|18.0|0|0.0|0|0.0|0
0|2020-04-01|20.0|0|0.0|0|0.0|0
0|2020-04-02|23.0|0|0.0|0|0.0|0
0|2020-04-03|33.0|0|0.0|0|0.0|0
0|2020-04-04|35.0|0|0.0|0|0.0|0
0|2020-04-05|37.0|0|0.0|0|0.0|0
0|2020-04-06|40.0|0|0.0|0|0.0|0
0|2020-04-07|41.0|0|1.0|0|0.0|0
0|2020-04-08|41.0|0|1.0|0|0.0|0
0|2020-04-09|49.0|0|1.0|0|0.0|0
0|2020-04-10|53.0|0|1.0|0|0.0|0
0|2020-04-11|53.0|0|1.0|0|0.0|0
0|2020-04-12|56.0|0|1.0|0|0.0|0
0|2020-04-13|57.0|0|1.0|0|0.0|0
0|2020-04-14|60.0|0|1.0|0|0.0|0
0|2020-04-15|65.0|0|1.0|0|0.0|0
0|2020-04-16|71.0|0|1.0|0|0.0|0
0|2020-04-17|76.0|0|1.0|0|0.0|0
0|2020-04-18|80.0|0|1.0|0|0.0|0
0|2020-04-19|85.0|0|1.0|0|0.0|0
0|2020-04-20|87.0|0|1.0|0|0.0|0
0|2020-04-21|88.0|0|1.0|0|0.0|0
0|2020-04-22|96.0|0|1.0|0|0.0|0
0|2020-04-23|104.0|0|1.0|0|0.0|0
0|2020-04-24|104.0|0|1.0|0|0.0|0
0|2020-04-25|113.0|0|1.0|0|0.0|0
0|2020-04-26|117.0|0|1.0|0|0.0|0
0|2020-04-27|119.0|0|2.0|0|0.0|0
0|2020-04-28|126.0|0|1.0|0|0.0|0
0|2020-04-29|131.0|0|1.0|0|0.0|0
0|2020-04-30|135.0|0|1.0|0|0.0|0
0|2020-05-01|143.0|0|1.0|0|0.0|0
0|2020-05-02|147.0|0|1.0|0|0.0|0
0|2020-05-03|151.0|0|1.0|0|0.0|0
0|2020-05-04|150.0|0|1.0|0|0.0|0
0|2020-05-05|153.0|0|2.0|0|0.0|0
0|2020-05-06|163.0|0|2.0|0|0.0|0
0|2020-05-07|169.0|0|2.0|0|0.0|0
0|2020-05-08|175.0|0|2.0|0|0.0|0
0|2020-05-09|182.0|0|2.0|0|0.0|0
0|2020-05-10|185.0|0|2.0|0|0.0|0
0|2020-05-11|185.0|0|2.0|0|0.0|0
0|2020-05-12|195.0|0|2.0|0|0.0|0
0|2020-05-13|194.0|0|2.0|0|0.0|0
