|dates|Genesee_Michigan_UnitedStates.JHU_ConfirmedCases.data|Genesee_Michigan_UnitedStates.JHU_ConfirmedCases.missing|Genesee_Michigan_UnitedStates.JHU_ConfirmedDeaths.data|Genesee_Michigan_UnitedStates.JHU_ConfirmedDeaths.missing|Genesee_Michigan_UnitedStates.JHU_ConfirmedRecoveries.data|Genesee_Michigan_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|4.0|0|0.0|0|0.0|0
0|2020-03-21|7.0|0|0.0|0|0.0|0
0|2020-03-22|14.0|0|0.0|0|0.0|0
0|2020-03-23|23.0|0|0.0|0|0.0|0
0|2020-03-24|34.0|0|0.0|0|0.0|0
0|2020-03-25|46.0|0|0.0|0|0.0|0
0|2020-03-26|63.0|0|2.0|0|0.0|0
0|2020-03-27|91.0|0|4.0|0|0.0|0
0|2020-03-28|110.0|0|5.0|0|0.0|0
0|2020-03-29|127.0|0|5.0|0|0.0|0
0|2020-03-30|150.0|0|7.0|0|0.0|0
0|2020-03-31|185.0|0|7.0|0|0.0|0
0|2020-04-01|249.0|0|8.0|0|0.0|0
0|2020-04-02|349.0|0|10.0|0|0.0|0
0|2020-04-03|422.0|0|11.0|0|0.0|0
0|2020-04-04|464.0|0|15.0|0|0.0|0
0|2020-04-05|504.0|0|18.0|0|0.0|0
0|2020-04-06|568.0|0|26.0|0|0.0|0
0|2020-04-07|638.0|0|33.0|0|0.0|0
0|2020-04-08|713.0|0|39.0|0|0.0|0
0|2020-04-09|755.0|0|48.0|0|0.0|0
0|2020-04-10|828.0|0|57.0|0|0.0|0
0|2020-04-11|919.0|0|62.0|0|0.0|0
0|2020-04-12|955.0|0|68.0|0|0.0|0
0|2020-04-13|988.0|0|77.0|0|0.0|0
0|2020-04-14|1030.0|0|86.0|0|0.0|0
0|2020-04-15|1084.0|0|89.0|0|0.0|0
0|2020-04-16|1147.0|0|99.0|0|0.0|0
0|2020-04-17|1197.0|0|106.0|0|0.0|0
0|2020-04-18|1228.0|0|112.0|0|0.0|0
0|2020-04-19|1240.0|0|115.0|0|0.0|0
0|2020-04-20|1256.0|0|123.0|0|0.0|0
0|2020-04-21|1298.0|0|131.0|0|0.0|0
0|2020-04-22|1362.0|0|138.0|0|0.0|0
0|2020-04-23|1387.0|0|144.0|0|0.0|0
0|2020-04-24|1434.0|0|151.0|0|0.0|0
0|2020-04-25|1452.0|0|157.0|0|0.0|0
0|2020-04-26|1467.0|0|161.0|0|0.0|0
0|2020-04-27|1483.0|0|165.0|0|0.0|0
0|2020-04-28|1533.0|0|174.0|0|0.0|0
0|2020-04-29|1564.0|0|180.0|0|0.0|0
0|2020-04-30|1581.0|0|188.0|0|0.0|0
0|2020-05-01|1600.0|0|192.0|0|0.0|0
0|2020-05-02|1620.0|0|196.0|0|0.0|0
0|2020-05-03|1634.0|0|196.0|0|0.0|0
0|2020-05-04|1647.0|0|199.0|0|0.0|0
0|2020-05-05|1668.0|0|200.0|0|0.0|0
0|2020-05-06|1710.0|0|208.0|0|0.0|0
0|2020-05-07|1731.0|0|213.0|0|0.0|0
0|2020-05-08|1739.0|0|214.0|0|0.0|0
0|2020-05-09|1750.0|0|223.0|0|0.0|0
0|2020-05-10|1758.0|0|224.0|0|0.0|0
0|2020-05-11|1758.0|0|224.0|0|0.0|0
0|2020-05-12|1782.0|0|225.0|0|0.0|0
0|2020-05-13|1784.0|0|227.0|0|0.0|0
