|dates|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|Burnett_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|1.0|0
0|2020-03-04|0.0|0|0.0|0|1.0|0
0|2020-03-05|0.0|0|0.0|0|1.0|0
0|2020-03-06|0.0|0|0.0|0|1.0|0
0|2020-03-07|0.0|0|0.0|0|1.0|0
0|2020-03-08|0.0|0|0.0|0|1.0|0
0|2020-03-09|0.0|0|0.0|0|1.0|0
0|2020-03-10|3.0|0|0.0|0|1.0|0
0|2020-03-11|4.0|0|0.0|0|1.0|0
0|2020-03-12|8.0|0|0.0|0|1.0|0
0|2020-03-13|19.0|0|0.0|0|1.0|0
0|2020-03-14|27.0|0|0.0|0|1.0|0
0|2020-03-15|28.0|0|0.0|0|1.0|0
0|2020-03-16|48.0|0|0.0|0|1.0|0
0|2020-03-17|73.0|0|0.0|0|1.0|0
0|2020-03-18|111.0|0|0.0|0|1.0|0
0|2020-03-19|159.0|0|4.0|0|1.0|0
0|2020-03-20|219.0|0|3.0|0|1.0|0
0|2020-03-21|282.0|0|4.0|0|1.0|0
0|2020-03-22|381.0|0|4.0|0|0.0|0
0|2020-03-23|425.0|0|5.0|0|0.0|0
0|2020-03-24|481.0|0|5.0|0|0.0|0
0|2020-03-25|621.0|0|7.0|0|0.0|0
0|2020-03-26|728.0|0|10.0|0|0.0|0
0|2020-03-27|926.0|0|14.0|0|0.0|0
0|2020-03-28|1055.0|0|17.0|0|0.0|0
0|2020-03-29|1164.0|0|18.0|0|0.0|0
0|2020-03-30|1230.0|0|20.0|0|0.0|0
0|2020-03-31|1412.0|0|25.0|0|0.0|0
0|2020-04-01|1556.0|0|27.0|0|0.0|0
0|2020-04-02|1748.0|0|38.0|0|0.0|0
0|2020-04-03|2012.0|0|51.0|0|0.0|0
0|2020-04-04|2030.0|0|54.0|0|0.0|0
0|2020-04-05|2320.0|0|74.0|0|0.0|0
0|2020-04-06|2449.0|0|78.0|0|0.0|0
0|2020-04-07|2578.0|0|92.0|0|0.0|0
0|2020-04-08|2710.0|0|100.0|0|0.0|0
0|2020-04-09|2886.0|0|111.0|0|0.0|0
0|2020-04-10|3068.0|0|128.0|0|0.0|0
0|2020-04-11|3213.0|0|137.0|0|0.0|0
0|2020-04-12|3341.0|0|144.0|0|0.0|0
0|2020-04-13|3428.0|0|154.0|0|0.0|0
0|2020-04-14|3555.0|0|170.0|0|0.0|0
0|2020-04-15|3721.0|0|183.0|0|0.0|0
0|2020-04-16|3875.0|0|197.0|0|0.0|0
0|2020-04-17|4053.0|0|206.0|0|0.0|0
0|2020-04-18|4199.0|0|212.0|0|0.0|0
0|2020-04-19|4346.0|0|220.0|0|0.0|0
0|2020-04-20|4499.0|0|230.0|0|0.0|0
0|2020-04-21|4625.0|0|244.0|0|0.0|0
0|2020-04-22|4845.0|0|248.0|0|0.0|0
0|2020-04-23|5052.0|0|258.0|0|0.0|0
0|2020-04-24|5356.0|0|263.0|0|0.0|0
0|2020-04-25|5687.0|0|266.0|0|0.0|0
0|2020-04-26|5912.0|0|272.0|0|0.0|0
0|2020-04-27|6081.0|0|281.0|0|0.0|0
0|2020-04-28|6289.0|0|300.0|0|0.0|0
0|2020-04-29|6520.0|0|308.0|0|0.0|0
0|2020-04-30|6854.0|0|316.0|0|0.0|0
0|2020-05-01|7314.0|0|327.0|0|0.0|0
0|2020-05-02|7660.0|0|334.0|0|0.0|0
0|2020-05-03|7964.0|0|339.0|0|0.0|0
0|2020-05-04|8236.0|0|340.0|0|0.0|0
0|2020-05-05|8566.0|0|353.0|0|0.0|0
0|2020-05-06|8566.0|0|353.0|0|0.0|0
0|2020-05-07|8566.0|0|353.0|0|0.0|0
0|2020-05-08|8566.0|0|353.0|0|0.0|0
0|2020-05-09|8566.0|0|353.0|0|0.0|0
0|2020-05-10|8566.0|0|353.0|0|0.0|0
0|2020-05-11|8566.0|0|353.0|0|0.0|0
0|2020-05-12|8566.0|0|353.0|0|0.0|0
0|2020-05-13|8566.0|0|353.0|0|0.0|0
0|2020-05-14|8566.0|0|353.0|0|0.0|0
0|2020-05-15|8566.0|0|353.0|0|0.0|0
0|2020-05-16|8566.0|0|353.0|0|0.0|0
