|dates|Atlantic_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Atlantic_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Atlantic_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Atlantic_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Atlantic_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Atlantic_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|3.0|0|0.0|0|0.0|0
0|2020-03-19|3.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|4.0|0|0.0|0|0.0|0
0|2020-03-22|5.0|0|0.0|0|0.0|0
0|2020-03-23|6.0|0|0.0|0|0.0|0
0|2020-03-24|6.0|0|0.0|0|0.0|0
0|2020-03-25|12.0|0|0.0|0|0.0|0
0|2020-03-26|10.0|0|0.0|0|0.0|0
0|2020-03-27|14.0|0|0.0|0|0.0|0
0|2020-03-28|17.0|0|0.0|0|0.0|0
0|2020-03-29|24.0|0|0.0|0|0.0|0
0|2020-03-30|29.0|0|0.0|0|0.0|0
0|2020-03-31|31.0|0|0.0|0|0.0|0
0|2020-04-01|40.0|0|0.0|0|0.0|0
0|2020-04-02|50.0|0|1.0|0|0.0|0
0|2020-04-03|72.0|0|1.0|0|0.0|0
0|2020-04-04|98.0|0|1.0|0|0.0|0
0|2020-04-05|121.0|0|1.0|0|0.0|0
0|2020-04-06|132.0|0|1.0|0|0.0|0
0|2020-04-07|144.0|0|4.0|0|0.0|0
0|2020-04-08|168.0|0|4.0|0|0.0|0
0|2020-04-09|191.0|0|4.0|0|0.0|0
0|2020-04-10|211.0|0|6.0|0|0.0|0
0|2020-04-11|230.0|0|7.0|0|0.0|0
0|2020-04-12|253.0|0|8.0|0|0.0|0
0|2020-04-13|267.0|0|8.0|0|0.0|0
0|2020-04-14|284.0|0|11.0|0|0.0|0
0|2020-04-15|322.0|0|13.0|0|0.0|0
0|2020-04-16|344.0|0|13.0|0|0.0|0
0|2020-04-17|370.0|0|17.0|0|0.0|0
0|2020-04-18|382.0|0|19.0|0|0.0|0
0|2020-04-19|398.0|0|19.0|0|0.0|0
0|2020-04-20|410.0|0|19.0|0|0.0|0
0|2020-04-21|469.0|0|19.0|0|0.0|0
0|2020-04-22|505.0|0|24.0|0|0.0|0
0|2020-04-23|544.0|0|30.0|0|0.0|0
0|2020-04-24|566.0|0|29.0|0|0.0|0
0|2020-04-25|596.0|0|29.0|0|0.0|0
0|2020-04-26|638.0|0|29.0|0|0.0|0
0|2020-04-27|749.0|0|30.0|0|0.0|0
0|2020-04-28|868.0|0|35.0|0|0.0|0
0|2020-04-29|908.0|0|37.0|0|0.0|0
0|2020-04-30|964.0|0|41.0|0|0.0|0
0|2020-05-01|1012.0|0|45.0|0|0.0|0
0|2020-05-02|1050.0|0|48.0|0|0.0|0
0|2020-05-03|1075.0|0|49.0|0|0.0|0
0|2020-05-04|1135.0|0|51.0|0|0.0|0
0|2020-05-05|1190.0|0|51.0|0|0.0|0
0|2020-05-06|1246.0|0|54.0|0|0.0|0
0|2020-05-07|1302.0|0|62.0|0|0.0|0
0|2020-05-08|1423.0|0|68.0|0|0.0|0
0|2020-05-09|1494.0|0|72.0|0|0.0|0
0|2020-05-10|1510.0|0|72.0|0|0.0|0
0|2020-05-11|1510.0|0|72.0|0|0.0|0
0|2020-05-12|1558.0|0|79.0|0|0.0|0
0|2020-05-13|1584.0|0|88.0|0|0.0|0
