|dates|Franklin_Ohio_UnitedStates.JHU_ConfirmedCases.data|Franklin_Ohio_UnitedStates.JHU_ConfirmedCases.missing|Franklin_Ohio_UnitedStates.JHU_ConfirmedDeaths.data|Franklin_Ohio_UnitedStates.JHU_ConfirmedDeaths.missing|Franklin_Ohio_UnitedStates.JHU_ConfirmedRecoveries.data|Franklin_Ohio_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|3.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|4.0|0|0.0|0|0.0|0
0|2020-03-18|7.0|0|0.0|0|0.0|0
0|2020-03-19|10.0|0|0.0|0|0.0|0
0|2020-03-20|14.0|0|0.0|0|0.0|0
0|2020-03-21|21.0|0|0.0|0|0.0|0
0|2020-03-22|34.0|0|0.0|0|0.0|0
0|2020-03-23|44.0|0|2.0|0|0.0|0
0|2020-03-24|75.0|0|2.0|0|0.0|0
0|2020-03-25|88.0|0|2.0|0|0.0|0
0|2020-03-26|109.0|0|2.0|0|0.0|0
0|2020-03-27|152.0|0|2.0|0|0.0|0
0|2020-03-28|222.0|0|2.0|0|0.0|0
0|2020-03-29|247.0|0|3.0|0|0.0|0
0|2020-03-30|281.0|0|2.0|0|0.0|0
0|2020-03-31|325.0|0|3.0|0|0.0|0
0|2020-04-01|391.0|0|4.0|0|0.0|0
0|2020-04-02|441.0|0|5.0|0|0.0|0
0|2020-04-03|503.0|0|5.0|0|0.0|0
0|2020-04-04|557.0|0|6.0|0|0.0|0
0|2020-04-05|597.0|0|8.0|0|0.0|0
0|2020-04-06|644.0|0|9.0|0|0.0|0
0|2020-04-07|703.0|0|12.0|0|0.0|0
0|2020-04-08|761.0|0|12.0|0|0.0|0
0|2020-04-09|802.0|0|14.0|0|0.0|0
0|2020-04-10|850.0|0|14.0|0|0.0|0
0|2020-04-11|894.0|0|14.0|0|0.0|0
0|2020-04-12|943.0|0|14.0|0|0.0|0
0|2020-04-13|1012.0|0|15.0|0|0.0|0
0|2020-04-14|1053.0|0|18.0|0|0.0|0
0|2020-04-15|1102.0|0|19.0|0|0.0|0
0|2020-04-16|1212.0|0|19.0|0|0.0|0
0|2020-04-17|1320.0|0|22.0|0|0.0|0
0|2020-04-18|1403.0|0|27.0|0|0.0|0
0|2020-04-19|1513.0|0|29.0|0|0.0|0
0|2020-04-20|1510.0|0|35.0|0|0.0|0
0|2020-04-21|1557.0|0|37.0|0|0.0|0
0|2020-04-22|1598.0|0|42.0|0|0.0|0
0|2020-04-23|1673.0|0|46.0|0|0.0|0
0|2020-04-24|1768.0|0|48.0|0|0.0|0
0|2020-04-25|1839.0|0|50.0|0|0.0|0
0|2020-04-26|1942.0|0|53.0|0|0.0|0
0|2020-04-27|2005.0|0|57.0|0|0.0|0
0|2020-04-28|2090.0|0|62.0|0|0.0|0
0|2020-04-29|2216.0|0|71.0|0|0.0|0
0|2020-04-30|2441.0|0|73.0|0|0.0|0
0|2020-05-01|2589.0|0|76.0|0|0.0|0
0|2020-05-02|2698.0|0|78.0|0|0.0|0
0|2020-05-03|2905.0|0|79.0|0|0.0|0
0|2020-05-04|2988.0|0|84.0|0|0.0|0
0|2020-05-05|3097.0|0|87.0|0|0.0|0
0|2020-05-06|3237.0|0|99.0|0|0.0|0
0|2020-05-07|3377.0|0|107.0|0|0.0|0
0|2020-05-08|3615.0|0|108.0|0|0.0|0
0|2020-05-09|3710.0|0|114.0|0|0.0|0
0|2020-05-10|3777.0|0|119.0|0|0.0|0
0|2020-05-11|3777.0|0|119.0|0|0.0|0
0|2020-05-12|4002.0|0|138.0|0|0.0|0
0|2020-05-13|4113.0|0|148.0|0|0.0|0
