|dates|Greene_Missouri_UnitedStates.JHU_ConfirmedCases.data|Greene_Missouri_UnitedStates.JHU_ConfirmedCases.missing|Greene_Missouri_UnitedStates.JHU_ConfirmedDeaths.data|Greene_Missouri_UnitedStates.JHU_ConfirmedDeaths.missing|Greene_Missouri_UnitedStates.JHU_ConfirmedRecoveries.data|Greene_Missouri_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|1.0|0|0.0|0|0.0|0
0|2020-03-14|1.0|0|0.0|0|0.0|0
0|2020-03-15|2.0|0|0.0|0|0.0|0
0|2020-03-16|3.0|0|0.0|0|0.0|0
0|2020-03-17|3.0|0|0.0|0|0.0|0
0|2020-03-18|4.0|0|0.0|0|0.0|0
0|2020-03-19|6.0|0|0.0|0|0.0|0
0|2020-03-20|8.0|0|0.0|0|0.0|0
0|2020-03-21|8.0|0|0.0|0|0.0|0
0|2020-03-22|10.0|0|0.0|0|0.0|0
0|2020-03-23|17.0|0|0.0|0|0.0|0
0|2020-03-24|19.0|0|3.0|0|0.0|0
0|2020-03-25|23.0|0|3.0|0|0.0|0
0|2020-03-26|25.0|0|3.0|0|0.0|0
0|2020-03-27|31.0|0|3.0|0|0.0|0
0|2020-03-28|41.0|0|4.0|0|0.0|0
0|2020-03-29|46.0|0|4.0|0|0.0|0
0|2020-03-30|48.0|0|4.0|0|0.0|0
0|2020-03-31|48.0|0|4.0|0|0.0|0
0|2020-04-01|51.0|0|6.0|0|0.0|0
0|2020-04-02|54.0|0|6.0|0|0.0|0
0|2020-04-03|54.0|0|6.0|0|0.0|0
0|2020-04-04|64.0|0|7.0|0|0.0|0
0|2020-04-05|64.0|0|7.0|0|0.0|0
0|2020-04-06|69.0|0|7.0|0|0.0|0
0|2020-04-07|72.0|0|7.0|0|0.0|0
0|2020-04-08|72.0|0|7.0|0|0.0|0
0|2020-04-09|74.0|0|7.0|0|0.0|0
0|2020-04-10|76.0|0|8.0|0|0.0|0
0|2020-04-11|77.0|0|8.0|0|0.0|0
0|2020-04-12|79.0|0|8.0|0|0.0|0
0|2020-04-13|79.0|0|8.0|0|0.0|0
0|2020-04-14|80.0|0|8.0|0|0.0|0
0|2020-04-15|80.0|0|8.0|0|0.0|0
0|2020-04-16|81.0|0|8.0|0|0.0|0
0|2020-04-17|87.0|0|8.0|0|0.0|0
0|2020-04-18|88.0|0|8.0|0|0.0|0
0|2020-04-19|90.0|0|8.0|0|0.0|0
0|2020-04-20|90.0|0|8.0|0|0.0|0
0|2020-04-21|92.0|0|8.0|0|0.0|0
0|2020-04-22|92.0|0|8.0|0|0.0|0
0|2020-04-23|92.0|0|8.0|0|0.0|0
0|2020-04-24|93.0|0|8.0|0|0.0|0
0|2020-04-25|93.0|0|8.0|0|0.0|0
0|2020-04-26|93.0|0|8.0|0|0.0|0
0|2020-04-27|93.0|0|8.0|0|0.0|0
0|2020-04-28|93.0|0|8.0|0|0.0|0
0|2020-04-29|95.0|0|8.0|0|0.0|0
0|2020-04-30|96.0|0|8.0|0|0.0|0
0|2020-05-01|96.0|0|8.0|0|0.0|0
0|2020-05-02|97.0|0|8.0|0|0.0|0
0|2020-05-03|97.0|0|8.0|0|0.0|0
0|2020-05-04|99.0|0|8.0|0|0.0|0
0|2020-05-05|99.0|0|8.0|0|0.0|0
0|2020-05-06|99.0|0|8.0|0|0.0|0
0|2020-05-07|99.0|0|8.0|0|0.0|0
0|2020-05-08|103.0|0|8.0|0|0.0|0
0|2020-05-09|103.0|0|8.0|0|0.0|0
0|2020-05-10|103.0|0|8.0|0|0.0|0
0|2020-05-11|103.0|0|8.0|0|0.0|0
0|2020-05-12|103.0|0|8.0|0|0.0|0
0|2020-05-13|104.0|0|8.0|0|0.0|0
