|dates|Gloucester_NewJersey_UnitedStates.JHU_ConfirmedCases.data|Gloucester_NewJersey_UnitedStates.JHU_ConfirmedCases.missing|Gloucester_NewJersey_UnitedStates.JHU_ConfirmedDeaths.data|Gloucester_NewJersey_UnitedStates.JHU_ConfirmedDeaths.missing|Gloucester_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.data|Gloucester_NewJersey_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|2.0|0|0.0|0|0.0|0
0|2020-03-18|2.0|0|0.0|0|0.0|0
0|2020-03-19|2.0|0|0.0|0|0.0|0
0|2020-03-20|5.0|0|0.0|0|0.0|0
0|2020-03-21|6.0|0|0.0|0|0.0|0
0|2020-03-22|8.0|0|0.0|0|0.0|0
0|2020-03-23|13.0|0|0.0|0|0.0|0
0|2020-03-24|19.0|0|0.0|0|0.0|0
0|2020-03-25|23.0|0|0.0|0|0.0|0
0|2020-03-26|33.0|0|0.0|0|0.0|0
0|2020-03-27|40.0|0|0.0|0|0.0|0
0|2020-03-28|51.0|0|1.0|0|0.0|0
0|2020-03-29|72.0|0|1.0|0|0.0|0
0|2020-03-30|89.0|0|1.0|0|0.0|0
0|2020-03-31|114.0|0|0.0|0|0.0|0
0|2020-04-01|149.0|0|2.0|0|0.0|0
0|2020-04-02|169.0|0|2.0|0|0.0|0
0|2020-04-03|183.0|0|3.0|0|0.0|0
0|2020-04-04|215.0|0|3.0|0|0.0|0
0|2020-04-05|248.0|0|3.0|0|0.0|0
0|2020-04-06|279.0|0|3.0|0|0.0|0
0|2020-04-07|311.0|0|5.0|0|0.0|0
0|2020-04-08|340.0|0|7.0|0|0.0|0
0|2020-04-09|413.0|0|8.0|0|0.0|0
0|2020-04-10|447.0|0|8.0|0|0.0|0
0|2020-04-11|487.0|0|9.0|0|0.0|0
0|2020-04-12|532.0|0|9.0|0|0.0|0
0|2020-04-13|566.0|0|9.0|0|0.0|0
0|2020-04-14|587.0|0|11.0|0|0.0|0
0|2020-04-15|602.0|0|14.0|0|0.0|0
0|2020-04-16|624.0|0|18.0|0|0.0|0
0|2020-04-17|664.0|0|22.0|0|0.0|0
0|2020-04-18|683.0|0|23.0|0|0.0|0
0|2020-04-19|737.0|0|24.0|0|0.0|0
0|2020-04-20|770.0|0|25.0|0|0.0|0
0|2020-04-21|808.0|0|25.0|0|0.0|0
0|2020-04-22|856.0|0|29.0|0|0.0|0
0|2020-04-23|899.0|0|30.0|0|0.0|0
0|2020-04-24|923.0|0|30.0|0|0.0|0
0|2020-04-25|949.0|0|30.0|0|0.0|0
0|2020-04-26|976.0|0|31.0|0|0.0|0
0|2020-04-27|1111.0|0|33.0|0|0.0|0
0|2020-04-28|1179.0|0|38.0|0|0.0|0
0|2020-04-29|1208.0|0|40.0|0|0.0|0
0|2020-04-30|1251.0|0|46.0|0|0.0|0
0|2020-05-01|1282.0|0|48.0|0|0.0|0
0|2020-05-02|1334.0|0|50.0|0|0.0|0
0|2020-05-03|1384.0|0|51.0|0|0.0|0
0|2020-05-04|1433.0|0|51.0|0|0.0|0
0|2020-05-05|1467.0|0|61.0|0|0.0|0
0|2020-05-06|1499.0|0|63.0|0|0.0|0
0|2020-05-07|1548.0|0|66.0|0|0.0|0
0|2020-05-08|1593.0|0|72.0|0|0.0|0
0|2020-05-09|1631.0|0|79.0|0|0.0|0
0|2020-05-10|1654.0|0|81.0|0|0.0|0
0|2020-05-11|1654.0|0|81.0|0|0.0|0
0|2020-05-12|1710.0|0|90.0|0|0.0|0
0|2020-05-13|1728.0|0|92.0|0|0.0|0
