|dates|Dawson_Texas_UnitedStates.JHU_ConfirmedCases.data|Dawson_Texas_UnitedStates.JHU_ConfirmedCases.missing|Dawson_Texas_UnitedStates.JHU_ConfirmedDeaths.data|Dawson_Texas_UnitedStates.JHU_ConfirmedDeaths.missing|Dawson_Texas_UnitedStates.JHU_ConfirmedRecoveries.data|Dawson_Texas_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|0.0|0|0.0|0|0.0|0
0|2020-03-21|0.0|0|0.0|0|0.0|0
0|2020-03-22|0.0|0|0.0|0|0.0|0
0|2020-03-23|0.0|0|0.0|0|0.0|0
0|2020-03-24|0.0|0|0.0|0|0.0|0
0|2020-03-25|0.0|0|0.0|0|0.0|0
0|2020-03-26|0.0|0|0.0|0|0.0|0
0|2020-03-27|1.0|0|0.0|0|0.0|0
0|2020-03-28|3.0|0|0.0|0|0.0|0
0|2020-03-29|3.0|0|0.0|0|0.0|0
0|2020-03-30|3.0|0|0.0|0|0.0|0
0|2020-03-31|3.0|0|0.0|0|0.0|0
0|2020-04-01|3.0|0|0.0|0|0.0|0
0|2020-04-02|3.0|0|0.0|0|0.0|0
0|2020-04-03|5.0|0|0.0|0|0.0|0
0|2020-04-04|5.0|0|0.0|0|0.0|0
0|2020-04-05|7.0|0|0.0|0|0.0|0
0|2020-04-06|7.0|0|0.0|0|0.0|0
0|2020-04-07|7.0|0|0.0|0|0.0|0
0|2020-04-08|7.0|0|0.0|0|0.0|0
0|2020-04-09|7.0|0|1.0|0|0.0|0
0|2020-04-10|7.0|0|1.0|0|0.0|0
0|2020-04-11|7.0|0|1.0|0|0.0|0
0|2020-04-12|7.0|0|1.0|0|0.0|0
0|2020-04-13|8.0|0|1.0|0|0.0|0
0|2020-04-14|8.0|0|1.0|0|0.0|0
0|2020-04-15|8.0|0|1.0|0|0.0|0
0|2020-04-16|8.0|0|1.0|0|0.0|0
0|2020-04-17|12.0|0|1.0|0|0.0|0
0|2020-04-18|12.0|0|1.0|0|0.0|0
0|2020-04-19|12.0|0|1.0|0|0.0|0
0|2020-04-20|13.0|0|1.0|0|0.0|0
0|2020-04-21|14.0|0|1.0|0|0.0|0
0|2020-04-22|14.0|0|1.0|0|0.0|0
0|2020-04-23|18.0|0|1.0|0|0.0|0
0|2020-04-24|18.0|0|1.0|0|0.0|0
0|2020-04-25|18.0|0|1.0|0|0.0|0
0|2020-04-26|21.0|0|1.0|0|0.0|0
0|2020-04-27|21.0|0|1.0|0|0.0|0
0|2020-04-28|21.0|0|1.0|0|0.0|0
0|2020-04-29|21.0|0|1.0|0|0.0|0
0|2020-04-30|24.0|0|1.0|0|0.0|0
0|2020-05-01|24.0|0|1.0|0|0.0|0
0|2020-05-02|26.0|0|1.0|0|0.0|0
0|2020-05-03|26.0|0|1.0|0|0.0|0
0|2020-05-04|26.0|0|1.0|0|0.0|0
0|2020-05-05|29.0|0|1.0|0|0.0|0
0|2020-05-06|30.0|0|1.0|0|0.0|0
0|2020-05-07|30.0|0|1.0|0|0.0|0
0|2020-05-08|30.0|0|1.0|0|0.0|0
0|2020-05-09|30.0|0|1.0|0|0.0|0
0|2020-05-10|30.0|0|1.0|0|0.0|0
0|2020-05-11|30.0|0|1.0|0|0.0|0
0|2020-05-12|30.0|0|1.0|0|0.0|0
0|2020-05-13|32.0|0|1.0|0|0.0|0
