|dates|EauClaire_Wisconsin_UnitedStates.JHU_ConfirmedCases.data|EauClaire_Wisconsin_UnitedStates.JHU_ConfirmedCases.missing|EauClaire_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.data|EauClaire_Wisconsin_UnitedStates.JHU_ConfirmedDeaths.missing|EauClaire_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.data|EauClaire_Wisconsin_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-07|0.0|0|0.0|0|0.0|0
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|1.0|0|0.0|0|0.0|0
0|2020-03-20|3.0|0|0.0|0|0.0|0
0|2020-03-21|3.0|0|0.0|0|0.0|0
0|2020-03-22|4.0|0|0.0|0|0.0|0
0|2020-03-23|4.0|0|0.0|0|0.0|0
0|2020-03-24|4.0|0|0.0|0|0.0|0
0|2020-03-25|5.0|0|0.0|0|0.0|0
0|2020-03-26|6.0|0|0.0|0|0.0|0
0|2020-03-27|7.0|0|0.0|0|0.0|0
0|2020-03-28|7.0|0|0.0|0|0.0|0
0|2020-03-29|10.0|0|0.0|0|0.0|0
0|2020-03-30|10.0|0|0.0|0|0.0|0
0|2020-03-31|11.0|0|0.0|0|0.0|0
0|2020-04-01|12.0|0|0.0|0|0.0|0
0|2020-04-02|14.0|0|0.0|0|0.0|0
0|2020-04-03|16.0|0|0.0|0|0.0|0
0|2020-04-04|16.0|0|0.0|0|0.0|0
0|2020-04-05|21.0|0|0.0|0|0.0|0
0|2020-04-06|21.0|0|0.0|0|0.0|0
0|2020-04-07|21.0|0|0.0|0|0.0|0
0|2020-04-08|21.0|0|0.0|0|0.0|0
0|2020-04-09|21.0|0|0.0|0|0.0|0
0|2020-04-10|21.0|0|0.0|0|0.0|0
0|2020-04-11|21.0|0|0.0|0|0.0|0
0|2020-04-12|21.0|0|0.0|0|0.0|0
0|2020-04-13|21.0|0|0.0|0|0.0|0
0|2020-04-14|21.0|0|0.0|0|0.0|0
0|2020-04-15|21.0|0|0.0|0|0.0|0
0|2020-04-16|22.0|0|0.0|0|0.0|0
0|2020-04-17|22.0|0|0.0|0|0.0|0
0|2020-04-18|22.0|0|0.0|0|0.0|0
0|2020-04-19|22.0|0|0.0|0|0.0|0
0|2020-04-20|22.0|0|0.0|0|0.0|0
0|2020-04-21|22.0|0|0.0|0|0.0|0
0|2020-04-22|23.0|0|0.0|0|0.0|0
0|2020-04-23|23.0|0|0.0|0|0.0|0
0|2020-04-24|23.0|0|0.0|0|0.0|0
0|2020-04-25|24.0|0|0.0|0|0.0|0
0|2020-04-26|25.0|0|0.0|0|0.0|0
0|2020-04-27|25.0|0|0.0|0|0.0|0
0|2020-04-28|27.0|0|0.0|0|0.0|0
0|2020-04-29|27.0|0|0.0|0|0.0|0
0|2020-04-30|28.0|0|0.0|0|0.0|0
0|2020-05-01|28.0|0|0.0|0|0.0|0
0|2020-05-02|34.0|0|0.0|0|0.0|0
0|2020-05-03|36.0|0|0.0|0|0.0|0
0|2020-05-04|41.0|0|0.0|0|0.0|0
0|2020-05-05|42.0|0|0.0|0|0.0|0
0|2020-05-06|45.0|0|0.0|0|0.0|0
0|2020-05-07|47.0|0|0.0|0|0.0|0
0|2020-05-08|50.0|0|0.0|0|0.0|0
0|2020-05-09|54.0|0|0.0|0|0.0|0
0|2020-05-10|54.0|0|0.0|0|0.0|0
0|2020-05-11|57.0|0|0.0|0|0.0|0
0|2020-05-12|60.0|0|0.0|0|0.0|0
0|2020-05-13|61.0|0|0.0|0|0.0|0
0|2020-05-14|63.0|0|0.0|0|0.0|0
0|2020-05-15|65.0|0|0.0|0|0.0|0
0|2020-05-16|65.0|0|0.0|0|0.0|0
