|dates|Clay_Minnesota_UnitedStates.JHU_ConfirmedCases.data|Clay_Minnesota_UnitedStates.JHU_ConfirmedCases.missing|Clay_Minnesota_UnitedStates.JHU_ConfirmedDeaths.data|Clay_Minnesota_UnitedStates.JHU_ConfirmedDeaths.missing|Clay_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.data|Clay_Minnesota_UnitedStates.JHU_ConfirmedRecoveries.missing
0|2020-02-08|0.0|0|0.0|0|0.0|0
0|2020-02-09|0.0|0|0.0|0|0.0|0
0|2020-02-10|0.0|0|0.0|0|0.0|0
0|2020-02-11|0.0|0|0.0|0|0.0|0
0|2020-02-12|0.0|0|0.0|0|0.0|0
0|2020-02-13|0.0|0|0.0|0|0.0|0
0|2020-02-14|0.0|0|0.0|0|0.0|0
0|2020-02-15|0.0|0|0.0|0|0.0|0
0|2020-02-16|0.0|0|0.0|0|0.0|0
0|2020-02-17|0.0|0|0.0|0|0.0|0
0|2020-02-18|0.0|0|0.0|0|0.0|0
0|2020-02-19|0.0|0|0.0|0|0.0|0
0|2020-02-20|0.0|0|0.0|0|0.0|0
0|2020-02-21|0.0|0|0.0|0|0.0|0
0|2020-02-22|0.0|0|0.0|0|0.0|0
0|2020-02-23|0.0|0|0.0|0|0.0|0
0|2020-02-24|0.0|0|0.0|0|0.0|0
0|2020-02-25|0.0|0|0.0|0|0.0|0
0|2020-02-26|0.0|0|0.0|0|0.0|0
0|2020-02-27|0.0|0|0.0|0|0.0|0
0|2020-02-28|0.0|0|0.0|0|0.0|0
0|2020-02-29|0.0|0|0.0|0|0.0|0
0|2020-03-01|0.0|0|0.0|0|0.0|0
0|2020-03-02|0.0|0|0.0|0|0.0|0
0|2020-03-03|0.0|0|0.0|0|0.0|0
0|2020-03-04|0.0|0|0.0|0|0.0|0
0|2020-03-05|0.0|0|0.0|0|0.0|0
0|2020-03-06|0.0|0|0.0|0|0.0|0
0|2020-03-07|0.0|0|0.0|0|0.0|0
0|2020-03-08|0.0|0|0.0|0|0.0|0
0|2020-03-09|0.0|0|0.0|0|0.0|0
0|2020-03-10|0.0|0|0.0|0|0.0|0
0|2020-03-11|0.0|0|0.0|0|0.0|0
0|2020-03-12|0.0|0|0.0|0|0.0|0
0|2020-03-13|0.0|0|0.0|0|0.0|0
0|2020-03-14|0.0|0|0.0|0|0.0|0
0|2020-03-15|0.0|0|0.0|0|0.0|0
0|2020-03-16|0.0|0|0.0|0|0.0|0
0|2020-03-17|0.0|0|0.0|0|0.0|0
0|2020-03-18|0.0|0|0.0|0|0.0|0
0|2020-03-19|0.0|0|0.0|0|0.0|0
0|2020-03-20|1.0|0|0.0|0|0.0|0
0|2020-03-21|1.0|0|0.0|0|0.0|0
0|2020-03-22|2.0|0|0.0|0|0.0|0
0|2020-03-23|2.0|0|0.0|0|0.0|0
0|2020-03-24|3.0|0|0.0|0|0.0|0
0|2020-03-25|3.0|0|0.0|0|0.0|0
0|2020-03-26|4.0|0|0.0|0|0.0|0
0|2020-03-27|4.0|0|0.0|0|0.0|0
0|2020-03-28|4.0|0|0.0|0|0.0|0
0|2020-03-29|4.0|0|0.0|0|0.0|0
0|2020-03-30|4.0|0|0.0|0|0.0|0
0|2020-03-31|6.0|0|0.0|0|0.0|0
0|2020-04-01|7.0|0|0.0|0|0.0|0
0|2020-04-02|8.0|0|0.0|0|0.0|0
0|2020-04-03|8.0|0|0.0|0|0.0|0
0|2020-04-04|13.0|0|0.0|0|0.0|0
0|2020-04-05|13.0|0|0.0|0|0.0|0
0|2020-04-06|19.0|0|0.0|0|0.0|0
0|2020-04-07|19.0|0|0.0|0|0.0|0
0|2020-04-08|20.0|0|0.0|0|0.0|0
0|2020-04-09|23.0|0|0.0|0|0.0|0
0|2020-04-10|29.0|0|0.0|0|0.0|0
0|2020-04-11|29.0|0|0.0|0|0.0|0
0|2020-04-12|40.0|0|0.0|0|0.0|0
0|2020-04-13|40.0|0|0.0|0|0.0|0
0|2020-04-14|42.0|0|0.0|0|0.0|0
0|2020-04-15|43.0|0|1.0|0|0.0|0
0|2020-04-16|43.0|0|1.0|0|0.0|0
0|2020-04-17|44.0|0|2.0|0|0.0|0
0|2020-04-18|48.0|0|2.0|0|0.0|0
0|2020-04-19|55.0|0|2.0|0|0.0|0
0|2020-04-20|62.0|0|3.0|0|0.0|0
0|2020-04-21|68.0|0|3.0|0|0.0|0
0|2020-04-22|79.0|0|3.0|0|0.0|0
0|2020-04-23|84.0|0|4.0|0|0.0|0
0|2020-04-24|100.0|0|4.0|0|0.0|0
0|2020-04-25|113.0|0|7.0|0|0.0|0
0|2020-04-26|125.0|0|9.0|0|0.0|0
0|2020-04-27|131.0|0|9.0|0|0.0|0
0|2020-04-28|149.0|0|10.0|0|0.0|0
0|2020-04-29|152.0|0|10.0|0|0.0|0
0|2020-04-30|157.0|0|11.0|0|0.0|0
0|2020-05-01|165.0|0|11.0|0|0.0|0
0|2020-05-02|189.0|0|13.0|0|0.0|0
0|2020-05-03|176.0|0|13.0|0|0.0|0
0|2020-05-04|190.0|0|13.0|0|0.0|0
0|2020-05-05|201.0|0|14.0|0|0.0|0
0|2020-05-06|215.0|0|14.0|0|0.0|0
0|2020-05-07|222.0|0|15.0|0|0.0|0
0|2020-05-08|229.0|0|15.0|0|0.0|0
0|2020-05-09|233.0|0|16.0|0|0.0|0
0|2020-05-10|235.0|0|17.0|0|0.0|0
0|2020-05-11|235.0|0|17.0|0|0.0|0
0|2020-05-12|254.0|0|17.0|0|0.0|0
0|2020-05-13|256.0|0|17.0|0|0.0|0
